ID	adj.P.Val	P.Value	t	B	logFC
976_at	8.87e-09	3.47e-13	1.21e+01	19.36176	2.45
767591_at	1.04e-06	8.13e-11	-9.69	14.45173	-2.07
6624_at	1.20e-06	1.46e-10	9.45	13.91655	2.70
654321_at	1.20e-06	1.87e-10	-9.34	13.68405	-2.55
2828_at	1.66e-06	3.58e-10	9.08	13.08698	1.91
3678_at	1.66e-06	3.97e-10	9.04	12.99026	1.51
187_at	1.66e-06	4.64e-10	8.98	12.84597	2.29
399670_at	1.66e-06	5.18e-10	-8.93	12.74442	-1.73
1577_at	2.13e-06	7.50e-10	-8.78	12.4018	-2.59
57608_at	3.15e-06	1.23e-09	8.59	11.9424	1.79
5276_at	3.83e-06	1.65e-09	-8.47	11.66991	-2.03
22899_at	3.83e-06	1.79e-09	8.44	11.59072	2.37
2615_at	3.91e-06	1.99e-09	8.40	11.49626	2.17
101928784_at	6.24e-06	3.41e-09	-8.19	10.99074	-2.64
5166_at	6.38e-06	3.74e-09	-8.16	10.90524	-2.00
2625_at	9.35e-06	5.85e-09	7.98	10.48709	1.84
101926962_at	1.04e-05	7.39e-09	-7.90	10.26891	-2.75
10157_at	1.04e-05	7.61e-09	-7.88	10.24023	-1.63
7743_at	1.04e-05	7.73e-09	-7.88	10.22566	-1.61
401024_at	1.46e-05	1.14e-08	-7.73	9.858	-1.56
2004_at	1.56e-05	1.28e-08	7.69	9.75407	1.40
100507062_at	1.61e-05	1.38e-08	-7.66	9.68162	-2.47
2022_at	1.76e-05	1.58e-08	7.61	9.55654	1.51
100131564_at	2.29e-05	2.15e-08	-7.49	9.26674	-3.08
150709_at	2.39e-05	2.34e-08	-7.46	9.18726	-1.31
5900_at	2.53e-05	2.57e-08	7.43	9.09921	1.43
1594_at	2.85e-05	3.00e-08	-7.37	8.95084	-1.97
2275_at	3.10e-05	3.40e-08	7.32	8.83527	2.03
595_at	3.43e-05	3.89e-08	7.27	8.7076	1.68
5288_at	3.51e-05	4.12e-08	-7.25	8.65338	-1.11
254773_at	3.96e-05	4.80e-08	-7.19	8.50942	-1.23
6693_at	4.01e-05	5.17e-08	7.17	8.4393	1.81
633_at	4.01e-05	5.18e-08	7.17	8.43777	1.30
6483_at	4.17e-05	5.55e-08	7.14	8.37283	1.81
6263_at	4.31e-05	6.05e-08	-7.11	8.29102	-1.83
101929529_at	4.31e-05	6.12e-08	-7.11	8.28086	-3.06
10349_at	4.31e-05	6.31e-08	-7.09	8.25159	-1.12
54345_at	4.31e-05	6.40e-08	7.09	8.23772	2.25
170954_at	4.48e-05	6.84e-08	7.06	8.17579	1.61
2796_at	5.08e-05	8.29e-08	-6.99	7.99383	-2.51
7040_at	5.08e-05	8.31e-08	6.99	7.99213	1.94
9481_at	5.08e-05	8.46e-08	-6.99	7.97523	-1.90
59274_at	5.08e-05	8.54e-08	6.98	7.9659	1.13
9351_at	5.29e-05	9.10e-08	6.96	7.90582	1.42
10748_at	5.61e-05	1.01e-07	-6.92	7.80377	-1.44
23500_at	5.61e-05	1.02e-07	6.92	7.79902	1.46
100134040_at	5.61e-05	1.05e-07	-6.91	7.77484	-1.90
379013_at	5.61e-05	1.05e-07	-6.91	7.7681	-2.41
157381_at	5.64e-05	1.08e-07	-6.90	7.7435	-1.38
5916_at	5.81e-05	1.13e-07	6.88	7.69724	1.82
26789_at	6.20e-05	1.24e-07	-6.85	7.61324	-2.82
6430_at	6.20e-05	1.29e-07	-6.83	7.57247	-1.03
100033427_at	6.20e-05	1.30e-07	-6.83	7.56707	-2.26
11230_at	6.20e-05	1.31e-07	6.83	7.56298	1.36
692227_at	6.21e-05	1.34e-07	-6.82	7.54359	-2.72
56892_at	6.40e-05	1.40e-07	6.80	7.49804	1.49
1052_at	6.56e-05	1.46e-07	-6.79	7.45806	-1.42
4811_at	6.96e-05	1.58e-07	6.76	7.38561	1.26
9672_at	7.01e-05	1.63e-07	6.75	7.3523	1.93
1536_at	7.01e-05	1.64e-07	6.74	7.34705	3.02
125111_at	7.74e-05	1.85e-07	6.70	7.23686	1.60
117283_at	8.32e-05	2.02e-07	-6.67	7.15353	-2.21
54429_at	8.80e-05	2.20e-07	-6.64	7.07244	-2.28
5287_at	8.80e-05	2.20e-07	6.64	7.07067	1.56
100874096_at	9.38e-05	2.38e-07	-6.61	6.99589	-2.00
8751_at	9.81e-05	2.53e-07	6.59	6.9385	1.64
100033821_at	1.03e-04	2.69e-07	-6.57	6.88164	-1.74
255877_at	1.04e-04	2.78e-07	6.56	6.851	2.00
84168_at	1.04e-04	2.79e-07	6.55	6.84537	1.47
100775107_at	1.04e-04	2.85e-07	-6.55	6.82729	-2.47
4650_at	1.04e-04	2.90e-07	6.54	6.80815	1.40
153396_at	1.04e-04	2.93e-07	-6.54	6.79963	-1.50
284119_at	1.04e-04	2.96e-07	6.53	6.78998	1.34
23208_at	1.15e-04	3.34e-07	6.49	6.67686	2.01
7837_at	1.16e-04	3.40e-07	6.48	6.65865	1.64
54790_at	1.20e-04	3.57e-07	-6.47	6.61303	-1.59
10529_at	1.26e-04	3.79e-07	-6.44	6.55679	-1.85
57572_at	1.27e-04	3.89e-07	6.43	6.53152	1.42
7805_at	1.27e-04	3.91e-07	6.43	6.5266	1.93
5970_at	1.28e-04	4.00e-07	6.42	6.50448	1.21
83442_at	1.28e-04	4.05e-07	6.42	6.49357	1.01
100507308_at	1.32e-04	4.28e-07	-6.40	6.44181	-2.45
392_at	1.32e-04	4.29e-07	6.40	6.43863	1.02
109_at	1.32e-04	4.32e-07	6.40	6.43134	9.95e-01
55740_at	1.32e-04	4.42e-07	6.39	6.41065	1.14
203_at	1.32e-04	4.45e-07	6.39	6.40387	1.06
7791_at	1.32e-04	4.48e-07	6.38	6.39787	1.93
55690_at	1.33e-04	4.63e-07	6.37	6.3671	1.16
654319_at	1.33e-04	4.63e-07	-6.37	6.36608	-2.56
84687_at	1.34e-04	4.71e-07	6.37	6.34988	1.45
65059_at	1.34e-04	4.76e-07	6.36	6.34072	1.34
7072_at	1.37e-04	4.93e-07	-6.35	6.30658	-1.77
1284_at	1.42e-04	5.17e-07	6.33	6.2619	1.69
64411_at	1.43e-04	5.26e-07	6.33	6.24584	1.54
5045_at	1.43e-04	5.31e-07	6.32	6.23665	1.07
7126_at	1.45e-04	5.42e-07	6.32	6.21651	1.14
1981_at	1.45e-04	5.49e-07	6.31	6.20573	8.13e-01
10443_at	1.46e-04	5.62e-07	-6.30	6.1835	-9.98e-01
643432_at	1.46e-04	5.63e-07	-6.30	6.181	-1.14
9448_at	1.51e-04	5.92e-07	6.28	6.13308	1.09
340527_at	1.51e-04	5.95e-07	6.28	6.12892	1.63
3059_at	1.52e-04	6.08e-07	6.27	6.10886	2.02
1950_at	1.52e-04	6.13e-07	-6.27	6.10062	-2.64
64319_at	1.52e-04	6.19e-07	6.27	6.0919	1.50
25960_at	1.53e-04	6.26e-07	6.26	6.08042	1.64
29015_at	1.59e-04	6.65e-07	6.24	6.02381	1.44
83541_at	1.59e-04	6.65e-07	6.24	6.02347	2.01
57169_at	1.61e-04	6.84e-07	6.23	5.9964	9.69e-01
1398_at	1.61e-04	6.87e-07	6.23	5.99227	9.53e-01
100874241_at	1.69e-04	7.25e-07	-6.21	5.94147	-2.67
57580_at	1.74e-04	7.56e-07	6.20	5.90164	1.61
90332_at	1.81e-04	7.97e-07	6.18	5.85145	1.79
7157_at	1.81e-04	7.99e-07	6.18	5.84967	1.71
1282_at	1.83e-04	8.17e-07	6.17	5.82769	1.60
25976_at	1.96e-04	8.81e-07	-6.14	5.75652	-1.29
57479_at	1.96e-04	8.87e-07	6.14	5.75046	1.30
11135_at	2.01e-04	9.19e-07	6.13	5.71612	1.28
84886_at	2.07e-04	9.54e-07	6.11	5.68136	1.25
56005_at	2.10e-04	9.78e-07	6.10	5.6572	1.53
57140_at	2.14e-04	1.01e-06	6.09	5.62461	1.28
25829_at	2.14e-04	1.03e-06	6.09	5.60434	1.30
79940_at	2.14e-04	1.04e-06	-6.08	5.602	-2.35
