ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
A_23_P58266	1.43e-20	3.49e-25	16.884248	46.062754	6.5038715	S100P	S100 calcium binding protein P
A_23_P358542	1.05e-18	5.44e-23	15.2988133	41.3407417	2.8768382	KIFC2	kinesin family member C2
A_23_P200579	1.05e-18	7.71e-23	15.1926074	41.0122144	7.0776287	CELA3B	chymotrypsin like elastase family member 3B
A_23_P119936	3.45e-18	3.37e-22	14.7487727	39.6223771	4.477658	REG3A	regenerating family member 3 alpha
A_32_P105549	4.17e-16	5.08e-20	13.2924378	34.8680414	4.562051		
A_23_P389500	1.24e-15	1.81e-19	12.9359742	33.6588466	6.0743994	REG1B	regenerating family member 1 beta
A_23_P321501	2.64e-15	4.50e-19	12.6824397	32.7879797	5.7752018	DHRS2	dehydrogenase/reductase 2
A_23_P119634	4.78e-15	9.33e-19	12.4815063	32.0914404	4.2521691	UPK1A	uroplakin 1A
A_32_P20997	6.99e-15	1.53e-18	12.345304	31.6161187	4.3094558	CSE1L-AS1	CSE1L antisense RNA 1
A_23_P431139	1.79e-14	4.57e-18	12.048538	30.5716515	4.7032628	CTRB1	chymotrypsinogen B1
A_32_P24762	1.79e-14	4.80e-18	-12.0352195	30.524496	-2.3342421		
A_23_P48570	2.92e-14	8.53e-18	11.8797479	29.9722621	5.9574144	DHRS2	dehydrogenase/reductase 2
A_24_P346725	8.67e-14	2.75e-17	11.566641	28.85031	4.4735252		
A_23_P61524	1.48e-13	5.07e-17	11.4038868	28.262021	2.7551085	CCDC71	coiled-coil domain containing 71
A_32_P60707	2.23e-13	8.16e-17	11.2779292	27.8043855	4.2924438		
A_24_P896326	4.31e-13	1.68e-16	-11.0876356	27.1091706	-2.2025102		
A_32_P207428	4.40e-13	1.82e-16	-11.0664454	27.0314731	-1.4791245	ZNF845	zinc finger protein 845
A_32_P171790	5.09e-13	2.23e-16	-11.0132642	26.8362287	-1.8211442		
A_32_P185741	5.43e-13	2.58e-16	10.9753121	26.6966806	4.12394		
A_32_P420009	5.43e-13	2.65e-16	10.9685159	26.6716725	2.3205905	ALS2CL	ALS2 C-terminal like
A_23_P60793	7.96e-13	4.08e-16	10.855793	26.2560592	2.5239827	ASMTL-AS1	ASMTL antisense RNA 1
A_24_P450194	1.02e-12	5.49e-16	10.7785217	25.9702654	3.0485311	PCBP1-AS1	PCBP1 antisense RNA 1
A_24_P177553	1.21e-12	6.80e-16	10.7230285	25.7645771	4.4158083		
A_24_P798431	1.94e-12	1.13e-15	-10.5903318	25.2712513	-1.5368958		
A_32_P11526	2.04e-12	1.24e-15	10.5669533	25.1841234	4.1790228		
A_32_P82963	2.60e-12	1.67e-15	-10.4905861	24.8990751	-2.0857326		
A_24_P234856	2.60e-12	1.71e-15	-10.4835519	24.8727856	-1.644676	CAMLG	calcium modulating ligand
A_23_P24083	3.92e-12	2.68e-15	10.3685303	24.4421073	3.8735186	PNLIPRP2	pancreatic lipase related protein 2 (gene/pseudogene)
A_23_P26746	4.22e-12	2.99e-15	10.340425	24.3366457	3.6621331		
A_23_P6615	4.65e-12	3.41e-15	10.3068509	24.2105478	4.0118702	CPB1	carboxypeptidase B1
A_32_P12050	5.69e-12	4.36e-15	-10.2431488	23.9709537	-2.864771		
A_32_P204903	5.69e-12	4.51e-15	-10.2346518	23.9389616	-1.597465		
A_23_P131074	5.69e-12	4.58e-15	10.2309442	23.9249998	4.0324412	THEG	theg spermatid protein
A_24_P392723	6.93e-12	5.89e-15	10.1665827	23.6823915	3.9521466	CROCCP3	ciliary rootlet coiled-coil, rootletin pseudogene 3
