ID	adj.P.Val	P.Value	t	B	logFC	SPOT_ID
5166_at	0.000002	1.66e-10	-7.966405	13.14395	-2.125698	5166_at
7743_at	0.00000209	3.46e-10	-7.762033	12.49506	-1.4068133	7743_at
23670_at	0.00073671	1.83e-07	-6.032816	6.91112	-1.3675742	23670_at
23175_at	0.00152394	5.05e-07	-5.750681	6.00047	-1.084476	23175_at
10560_at	0.0015866	6.57e-07	-5.677081	5.76382	-1.2311247	10560_at
1524_at	0.00237392	1.35e-06	5.475054	5.11677	3.1247505	1524_at
1594_at	0.00237392	1.38e-06	-5.469576	5.09929	-2.807932	1594_at
26084_at	0.00265598	1.76e-06	-5.400254	4.87831	-0.9445523	26084_at
9231_at	0.00504914	3.76e-06	-5.184595	4.19476	-1.2340242	9231_at
2634_at	0.00546365	4.53e-06	5.132001	4.02907	1.5950326	2634_at
80144_at	0.00865351	7.88e-06	-4.972677	3.52991	-0.6574927	80144_at
10475_at	0.00866557	8.61e-06	4.947178	3.45043	0.6957907	10475_at
4069_at	0.0089312	1.04e-05	4.8917	3.27794	3.4113422	4069_at
22982_at	0.0089312	1.08e-05	-4.882058	3.24802	-1.0723624	22982_at
963_at	0.0089312	1.18e-05	4.856809	3.16976	2.7231759	963_at
9535_at	0.0089312	1.18e-05	4.855176	3.1647	1.0773012	9535_at
3142_at	0.00895816	1.26e-05	4.836696	3.10751	1.6933755	3142_at
23761_at	0.00917975	1.37e-05	-4.81297	3.03418	-0.8439367	23761_at
79745_at	0.01032134	1.65e-05	-4.758692	2.86687	-0.6348774	79745_at
23014_at	0.01032134	1.71e-05	-4.748067	2.83419	-1.1822561	23014_at
29095_at	0.01103454	1.92e-05	4.714247	2.73034	0.8386535	29095_at
51063_at	0.01148569	2.21e-05	4.672326	2.60197	1.1487889	51063_at
1378_at	0.01148569	2.36e-05	-4.653435	2.54425	-0.8550711	1378_at
962_at	0.01148569	2.37e-05	4.652085	2.54013	2.2624846	962_at
64131_at	0.01148569	2.42e-05	-4.646144	2.522	-1.1017453	64131_at
2717_at	0.01148569	2.56e-05	4.630047	2.47291	0.6689975	2717_at
1192_at	0.01148569	2.72e-05	4.611826	2.41742	0.853669	1192_at
3055_at	0.01148569	2.72e-05	4.611288	2.41578	2.5059188	3055_at
2948_at	0.01148569	2.76e-05	-4.607581	2.4045	-0.8785172	2948_at
4208_at	0.01305322	3.24e-05	4.559741	2.25923	1.0379609	4208_at
10046_at	0.01414439	3.63e-05	-4.526213	2.15776	-0.7416805	10046_at
64061_at	0.01464957	3.88e-05	-4.506353	2.09778	-0.6820721	64061_at
56172_at	0.01688943	4.62e-05	-4.454792	1.94256	-0.8547439	56172_at
2219_at	0.01805358	5.39e-05	4.408201	1.8029	2.8030359	2219_at
60312_at	0.01805358	5.76e-05	-4.388608	1.74435	-0.5748374	60312_at
2207_at	0.01805358	5.77e-05	4.388096	1.74282	2.2725898	2207_at
3059_at	0.01805358	5.89e-05	4.381608	1.72345	1.6754401	3059_at
3105_at	0.01805358	5.95e-05	4.378827	1.71515	0.4592788	3105_at
7305_at	0.01805358	5.96e-05	4.378459	1.71406	2.9010881	7305_at
10095_at	0.01805358	5.98e-05	4.377207	1.71032	1.3521669	10095_at
10513_at	0.01859332	6.31e-05	-4.360924	1.66179	-0.5956243	10513_at
10161_at	0.01901517	6.89e-05	4.334618	1.58355	1.3303866	10161_at
1555_at	0.01901517	6.91e-05	-4.333924	1.58149	-0.864385	1555_at
1831_at	0.01901517	6.93e-05	-4.332889	1.57842	-1.0778337	1831_at
65124_at	0.01902018	7.34e-05	-4.31571	1.52743	-1.1100773	65124_at
1442_at	0.01902018	7.46e-05	-4.31069	1.51255	-0.6553755	1442_at
28968_at	0.01902018	7.51e-05	-4.308461	1.50595	-1.2197472	28968_at
64799_at	0.01902018	7.56e-05	-4.306533	1.50024	-0.4631311	64799_at
80148_at	0.01993205	8.09e-05	-4.286123	1.43983	-0.825801	80148_at
10114_at	0.02010708	8.40e-05	-4.274619	1.40584	-0.4851958	10114_at
10637_at	0.02010708	8.49e-05	-4.271347	1.39618	-1.2776288	10637_at
3043_at	0.02412342	1.04e-04	4.210052	1.2158	3.2731221	3043_at
5480_at	0.02447557	1.09e-04	4.194608	1.17053	0.8559914	5480_at
10144_at	0.02447557	1.11e-04	-4.188758	1.1534	-0.5471079	10144_at
5698_at	0.02447557	1.13e-04	4.185617	1.14421	1.1255131	5698_at
4242_at	0.02447557	1.14e-04	4.182993	1.13653	0.8005114	4242_at
23753_at	0.02611056	1.23e-04	4.157776	1.06287	0.9285875	23753_at
2752_at	0.02653992	1.27e-04	-4.14744	1.03273	-0.9464885	2752_at
2987_at	0.02665473	1.30e-04	4.140867	1.01359	0.5122967	2987_at
23410_at	0.02723153	1.38e-04	-4.124039	0.96463	-0.4557183	23410_at
23428_at	0.02723153	1.40e-04	-4.119433	0.95125	-0.8602061	23428_at
51155_at	0.02723153	1.40e-04	4.117873	0.94672	1.1820589	51155_at
79608_at	0.02723153	1.44e-04	-4.109962	0.92375	-0.8060722	79608_at
834_at	0.02723153	1.45e-04	4.107217	0.91579	1.2972469	834_at
55930_at	0.02723153	1.48e-04	-4.100541	0.89643	-0.8796092	55930_at
56892_at	0.02723153	1.49e-04	4.099785	0.89424	1.3567341	56892_at
9510_at	0.02815965	1.58e-04	4.081115	0.84018	1.88052	9510_at
7940_at	0.02815965	1.59e-04	4.080229	0.83762	1.532233	7940_at
10437_at	0.02894378	1.66e-04	4.066075	0.79672	2.0347876	10437_at
55086_at	0.02894378	1.70e-04	-4.059112	0.77663	-0.8776055	55086_at
107_at	0.02894378	1.70e-04	-4.058384	0.77452	-0.8673798	107_at
79174_at	0.02965876	1.77e-04	4.046491	0.74024	0.7168814	79174_at
55251_at	0.02975864	1.80e-04	-4.041172	0.72492	-1.0566552	55251_at
3689_at	0.03355564	2.08e-04	3.996347	0.59623	2.4175858	3689_at
6624_at	0.03355564	2.10e-04	3.992973	0.58657	0.7568128	6624_at
2289_at	0.03355564	2.11e-04	-3.991304	0.58179	-1.7075467	2289_at
4637_at	0.03449758	2.20e-04	3.978588	0.54543	0.4560823	4637_at
51067_at	0.03773721	2.44e-04	3.946478	0.45387	0.6788103	51067_at
29108_at	0.03807521	2.49e-04	3.939691	0.43456	1.8487926	29108_at
56895_at	0.03870933	2.56e-04	3.930563	0.40862	0.5737701	56895_at
10875_at	0.04008851	2.72e-04	3.912506	0.3574	1.2775897	10875_at
2542_at	0.04008851	2.72e-04	-3.911804	0.35541	-1.0735471	2542_at
23221_at	0.04135844	2.86e-04	-3.89626	0.31141	-0.9143215	23221_at
23411_at	0.04135844	2.88e-04	-3.894399	0.30615	-0.6226041	23411_at
4067_at	0.0438502	3.12e-04	3.869162	0.23493	1.370625	4067_at
54494_at	0.0438502	3.12e-04	-3.868508	0.23308	-0.7633414	54494_at
55700_at	0.04405623	3.21e-04	3.860114	0.20945	0.615389	55700_at
989_at	0.04405623	3.24e-04	-3.857043	0.20081	-0.813829	989_at
2052_at	0.04405623	3.25e-04	-3.85618	0.19838	-1.2638694	2052_at
55295_at	0.04484982	3.34e-04	-3.846987	0.17254	-0.5350309	55295_at
1577_at	0.04629441	3.49e-04	-3.833429	0.13448	-0.8876453	1577_at
8897_at	0.04643512	3.54e-04	-3.828997	0.12206	-0.3341785	8897_at
84617_at	0.0469086	3.61e-04	3.82234	0.10341	0.8907924	84617_at
55303_at	0.04884183	3.80e-04	3.806091	0.05797	1.0095857	55303_at
4277_at	0.05027175	3.96e-04	3.793524	0.02289	1.2370836	4277_at
219899_at	0.05056361	4.02e-04	-3.788338	0.00843	-0.6386923	219899_at
4128_at	0.05091907	4.09e-04	-3.782794	-0.00702	-1.2482074	4128_at
473_at	0.05177054	4.20e-04	-3.77422	-0.03088	-0.3165463	473_at
4162_at	0.05185639	4.25e-04	3.770444	-0.04138	0.9359118	4162_at
51393_at	0.05229811	4.39e-04	3.760529	-0.06892	0.8264878	51393_at
63928_at	0.05229811	4.40e-04	-3.759432	-0.07197	-0.924076	63928_at
85377_at	0.05229811	4.42e-04	3.758176	-0.07545	0.6290262	85377_at
23362_at	0.05402803	4.63e-04	-3.743169	-0.11705	-0.6302421	23362_at
5877_at	0.05402803	4.65e-04	3.741519	-0.12162	0.3719416	5877_at
29074_at	0.05597718	4.87e-04	3.726991	-0.1618	0.5195677	29074_at
221_at	0.05597718	4.91e-04	-3.724014	-0.17002	-0.5224335	221_at
837_at	0.05678854	5.03e-04	3.716362	-0.19114	0.7985446	837_at
55187_at	0.05742372	5.16e-04	-3.708517	-0.21277	-0.4614604	55187_at
8407_at	0.05742372	5.18e-04	3.706814	-0.21746	0.7651766	8407_at
9858_at	0.06034062	5.50e-04	-3.687879	-0.26955	-0.4981951	9858_at
79155_at	0.06089735	5.65e-04	3.67904	-0.29381	0.5368467	79155_at
2263_at	0.06089735	5.67e-04	-3.677915	-0.2969	-0.7228859	2263_at
149111_at	0.06089735	5.75e-04	-3.673467	-0.30909	-0.5606966	149111_at
23643_at	0.06089735	5.78e-04	3.671764	-0.31376	1.6392126	23643_at
10458_at	0.06089735	5.80e-04	-3.670531	-0.31714	-0.5676579	10458_at
23589_at	0.06093148	5.87e-04	3.666715	-0.32759	0.6497222	23589_at
9376_at	0.06093148	5.90e-04	-3.664764	-0.33293	-2.1570859	9376_at
2804_at	0.06371829	6.23e-04	-3.647496	-0.38014	-0.6042713	2804_at
1353_at	0.06603246	6.51e-04	-3.633156	-0.41925	-0.4769248	1353_at
10987_at	0.06628926	6.59e-04	3.629169	-0.43011	0.57375	10987_at
9266_at	0.06669731	6.68e-04	3.624468	-0.44291	0.5238993	9266_at
6282_at	0.06735334	6.87e-04	3.615486	-0.46733	0.7227587	6282_at
25837_at	0.06735334	6.90e-04	-3.614254	-0.47067	-0.4186196	25837_at
25816_at	0.06735334	6.97e-04	3.611043	-0.47939	1.4602094	25816_at
8725_at	0.06735334	6.97e-04	-3.610673	-0.4804	-0.4326523	8725_at
1717_at	0.0673682	7.08e-04	-3.60563	-0.49408	-0.80251	1717_at
54407_at	0.0673682	7.09e-04	-3.605052	-0.49565	-0.7364539	54407_at
2669_at	0.0673682	7.14e-04	3.602857	-0.5016	1.4668371	2669_at
81563_at	0.06795419	7.36e-04	-3.593197	-0.52778	-1.4423252	81563_at
51499_at	0.06795419	7.40e-04	3.591193	-0.5332	0.5078014	51499_at
26234_at	0.06795419	7.48e-04	-3.58755	-0.54306	-0.5059273	26234_at
51428_at	0.06795419	7.56e-04	3.584201	-0.55212	0.5396166	51428_at
57337_at	0.06795419	7.58e-04	-3.583314	-0.55452	-0.3397629	57337_at
3098_at	0.06795419	7.72e-04	3.577323	-0.5707	0.5095336	3098_at
54910_at	0.06795419	7.75e-04	3.576051	-0.57414	0.7226817	54910_at
9771_at	0.06795419	7.77e-04	3.575257	-0.57628	1.0958627	9771_at
6223_at	0.06795419	7.82e-04	3.573215	-0.58179	0.6790226	6223_at
23336_at	0.06795419	7.82e-04	3.572969	-0.58246	0.8883046	23336_at
309_at	0.06795419	7.84e-04	3.572347	-0.58414	0.7159453	309_at
55851_at	0.06795419	7.88e-04	3.570683	-0.58862	0.4921753	55851_at
2791_at	0.06833104	7.98e-04	3.566532	-0.59982	0.6951977	2791_at
4938_at	0.0729021	8.59e-04	3.542329	-0.66494	1.8235002	4938_at
9667_at	0.0729021	8.63e-04	-3.540605	-0.66957	-0.5317561	9667_at
53407_at	0.0730819	8.72e-04	3.537497	-0.67792	0.5369797	53407_at
10019_at	0.07320378	8.79e-04	3.534666	-0.68551	0.9197703	10019_at
5824_at	0.07420173	9.08e-04	-3.523919	-0.71431	-0.4531982	5824_at
79891_at	0.07420173	9.09e-04	-3.523717	-0.71485	-0.4311387	79891_at
1475_at	0.07420173	9.10e-04	3.52344	-0.71559	2.0236195	1475_at
51021_at	0.07454505	9.20e-04	3.519691	-0.72563	0.4727407	51021_at
8291_at	0.0746816	9.28e-04	3.516875	-0.73316	0.8400047	8291_at
5962_at	0.07535288	9.42e-04	-3.511719	-0.74694	-0.5981643	5962_at
