ID	adj.P.Val	P.Value	t	B	logFC	SPOT_ID
100_at	2.54e-10	6.09e-14	14.3412368	21.64927	0.89785466	adenosine deaminase
2335_at	2.54e-10	6.53e-14	14.2992561	21.58545	1.68867932	fibronectin 1
53827_at	2.54e-10	7.61e-14	14.2052385	21.44187	1.14398213	FXYD domain containing ion transport regulator 5
51063_at	2.54e-10	8.41e-14	14.1451153	21.34958	1.21131568	calcium homeostasis modulator 2
953_at	5.27e-10	2.51e-13	13.4928881	20.32426	0.95046864	ectonucleoside triphosphate diphosphohydrolase 1
919_at	5.27e-10	2.62e-13	13.4689506	20.28577	1.22435107	CD247 molecule
7045_at	5.89e-10	3.41e-13	13.3151415	20.03698	2.39614232	transforming growth factor beta induced
5166_at	6.11e-10	4.05e-13	-13.2170144	19.87691	-1.7434584	pyruvate dehydrogenase kinase 4
1043_at	9.36e-10	6.98e-13	12.9062199	19.36286	2.14034901	CD52 molecule
3489_at	1.55e-09	1.28e-12	12.566098	18.78777	1.91037589	insulin like growth factor binding protein 6
6876_at	2.63e-09	2.53e-12	12.1934794	18.1423	2.12357696	transgelin
4162_at	2.63e-09	2.62e-12	12.1745916	18.10914	1.1405123	melanoma cell adhesion molecule
2014_at	1.79e-08	1.93e-11	11.1252399	16.19824	1.19751633	epithelial membrane protein 3
23208_at	2.15e-08	2.51e-11	10.9916777	15.94504	1.16962512	synaptotagmin 11
51155_at	2.15e-08	2.67e-11	10.9593018	15.88331	0.98132336	hematological and neurological expressed 1
948_at	2.70e-08	3.58e-11	10.8132221	15.60311	2.12668809	CD36 molecule
1524_at	2.71e-08	3.82e-11	10.7798112	15.53862	2.63143786	C-X3-C motif chemokine receptor 1
154_at	3.43e-08	5.22e-11	10.6250044	15.23793	1.1513566	adrenoceptor beta 2
57124_at	3.43e-08	5.39e-11	10.609108	15.20687	1.13305293	CD248 molecule
11314_at	3.61e-08	5.98e-11	10.5579614	15.10672	1.17132114	CD300a molecule
7124_at	3.90e-08	6.92e-11	10.4864672	14.96614	0.75288794	tumor necrosis factor
962_at	3.90e-08	7.11e-11	10.4726567	14.9389	2.14640028	CD48 molecule
3001_at	6.14e-08	1.17e-10	10.2306527	14.45749	1.94342639	granzyme A
