Gene ID	Gene Symbol	
100	ADA	
2335	FN1	
53827	FXYD5	
51063	CALHM2	
953	ENTPD1	
919	CD247	
7045	TGFBI	
5166	PDK4	
1043	CD52	
3489	IGFBP6	
6876	TAGLN	
4162	MCAM	
2014	EMP3	
23208	SYT11	
51155	JPT1	
948	CD36	
1524	CX3CR1	
154	ADRB2	
57124	CD248	
11314	CD300A	
7124	TNF	
962	CD48	
3001	GZMA	
313	AOAH	
4277	MICB	
874	CBR3	
2841	GPR18	
2026	ENO2	
56899	ANKS1B	
64321	SOX17	
64131	XYLT1	
29108	PYCARD	
30850	CDR2L	
687	KLF9	
2207	FCER1G	
10475	TRIM38	
7262	PHLDA2	
1436	CSF1R	
79778	MICALL2	
10161	LPAR6	
3560	IL2RB	
28526	TRDC	
1536	CYBB	
81563	C1orf21	
23014	FBXO21	
51316	PLAC8	
107	ADCY1	
960	CD44	
83442	SH3BGRL3	
834	CASP1	
1794	DOCK2	
929	CD14	
59	ACTA2	
7743	ZNF189	
5507	PPP1R3C	
3689	ITGB2	
695	BTK	
27286	SRPX2	
7940	LST1	
1520	CTSS	
29925	GMPPB	
64943	NT5DC2	
6016	RIT1	
4739	NEDD9	
1675	CFD	
10095	ARPC1B	
3915	LAMC1	
8038	ADAM12	
976	ADGRE5	
3587	IL10RA	
1306	COL15A1	
7351	UCP2	
4794	NFKBIE	
55297	CCDC91	
55107	ANO1	
4125	MAN2B1	
51192	CKLF	
10797	MTHFD2	
2219	FCN1	
22808	MRAS	
54941	RNF125	
1230	CCR1	
10403	NDC80	
4893	NRAS	
10981	RAB32	
1050	CEBPA	
5376	PMP22	
9510	ADAMTS1	
9454	HOMER3	
240	ALOX5	
1290	COL5A2	
3357	HTR2B	
80342	TRAF3IP3	
87	ACTN1	
8726	EED	
64231	MS4A6A	
3460	IFNGR2	
51338	MS4A4A	
5791	PTPRE	
3937	LCP2	
10019	SH2B3	
5592	PRKG1	
53829	P2RY13	
5880	RAC2	
11344	TWF2	
3872	KRT17	
6352	CCL5	
23603	CORO1C	
10769	PLK2	
6659	SOX4	
684959	SNORA25	
7264	GFUS	
7305	TYROBP	
6275	S100A4	
2359	FPR3	
4069	LYZ	
2717	GLA	
7133	TNFRSF1B	
2146	EZH2	
8612	PLPP2	
57103	TIGAR	
8530	CST7	
389	RHOC	
8477	GPR65	
3055	HCK	
3699	ITIH3	
7056	THBD	
51311	TLR8	
10288	LILRB2	
9263	STK17A	
7535	ZAP70	
23753	SDF2L1	
83483	PLVAP	
51118	UTP11	
11098	PRSS23	
1396	CRIP1	
55577	NAGK	
10437	IFI30	
80301	PLEKHO2	
2919	CXCL1	
55131	RBM28	
56901	COXFA4L2	
9404	LPXN	
375035	SFT2D2	
79581	SLC52A2	
2037	EPB41L2	
1896	EDA	
8795	TNFRSF10B	
5549	PRELP	
4839	NOP2	
3003	GZMK	
26084	ARHGEF26	
55803	ADAP2	
963	CD53	
79899	PRR5L	
1030	CDKN2B	
2769	GNA15	
56652	TWNK	
3669	ISG20	
10962	MLLT11	
7424	VEGFC	
871	SERPINH1	
9770	RASSF2	
712	C1QA	
79713	IGFLR1	
5732	PTGER2	
11059	WWP1	
23643	LY96	
29992	PILRA	
713	C1QB	
51435	SCARA3	
2289	FKBP5	
56905	PRMT2IP	
2760	GM2A	
3142	HLX	
7805	LAPTM5	
23166	STAB1	
5499	PPP1CA	
55366	LGR4	
10123	ARL4C	
56892	TCIM	
56938	BMAL2	
1513	CTSK	
55914	ERBIN	
11000	SLC27A3	
1445	CSK	
8445	DYRK2	
60673	ATG101	
23176	SEPTIN8	
5577	PRKAR2B	
11326	VSIG4	
10513	APPBP2	
23625	FAM89B	
10560	SLC19A2	
432	ASGR1	
3635	INPP5D	
5947	RBP1	
309	ANXA6	
10493	VAT1	
5918	RARRES1	
837	CASP4	
2200	FBN1	
5777	PTPN6	
55151	TMEM38B	
4313	MMP2	
6775	STAT4	
3182	HNRNPAB	
6372	CXCL6	
9266	CYTH2	
2982	GUCY1A1	
1831	TSC22D3	
2015	ADGRE1	
3759	KCNJ2	
7837	PXDN	
5999	RGS4	
1278	COL1A2	
64780	MICAL1	
55003	PAK1IP1	
26136	TES	
112464	CAVIN3	
894	CCND2	
