Gene ID	Gene Symbol	
55273	TMEM100	
8835	SOCS2	
4543	MTNR1A	
10426	TUBGCP3	
25976	TIPARP	
7763	ZFAND5	
5166	PDK4	
10560	SLC19A2	
687	KLF9	
6867	TACC1	
10458	BAIAP2	
1831	TSC22D3	
5519	PPP2R1B	
80148	SLC66A2	
29116	MYLIP	
10157	AASS	
5054	SERPINE1	
23767	FLRT3	
10637	LEFTY1	
55281	TMEM140	
1647	GADD45A	
11214	AKAP13	
54463	RETREG1	
9334	B4GALT5	
22936	ELL2	
25895	EEF1AKMT3	
2983	GUCY1B1	
79884	MAP9	
55729	ATF7IP	
1594	CYP27B1	
8743	TNFSF10	
23424	TDRD7	
6809	STX3	
32	ACACB	
5208	PFKFB2	
11329	STK38	
51365	PLA1A	
7538	ZFP36	
1849	DUSP7	
2308	FOXO1	
2965	GTF2H1	
85458	DIXDC1	
3570	IL6R	
23220	DTX4	
3105	HLA-A	
2354	FOSB	
10166	SLC25A15	
23228	PLCL2	
27332	ZNF638	
9099	USP2	
1081	CGA	
1843	DUSP1	
5270	SERPINE2	
25940	TSLIG3A	
10140	TOB1	
57798	GATAD1	
8431	NR0B2	
79675	FASTKD1	
55763	EXOC1	
9601	PDIA4	
28231	SLCO4A1	
131408	FAM131A	
871	SERPINH1	
5034	P4HB	
10421	CD2BP2	
1154	CISH	
4236	MFAP1	
3964	LGALS8	
26064	RAI14	
5144	PDE4D	
4976	OPA1	
64061	TSPYL2	
55035	NOL8	
10486	CAP2	
51499	TRIAP1	
6733	SRPK2	
8470	SORBS2	
4502	MT2A	
26019	UPF2	
26872	STEAP1	
2339	FNTA	
25816	TNFAIP8	
8503	PIK3R3	
6928	HNF1B	
4982	TNFRSF11B	
23469	PHF3	
23627	PRND	
55109	AGGF1	
9235	IL32	
8443	GNPAT	
1471	CST3	
79693	YRDC	
3949	LDLR	
3433	IFIT2	
3300	DNAJB2	
54885	TBC1D8B	
1019	CDK4	
23764	MAFF	
3162	HMOX1	
9477	MED20	
9819	TSC22D2	
79629	OCEL1	
6897	TARS1	
8501	SLC43A1	
8405	SPOP	
112399	EGLN3	
1555	CYP2B6	
25841	ABTB2	
3574	IL7	
4758	NEU1	
57613	FAM234B	
5479	PPIB	
7096	TLR1	
3430	IFI35	
11104	KATNA1	
7098	TLR3	
6452	SH3BP2	
1577	CYP3A5	
79888	LPCAT1	
63928	CHP2	
9209	LRRFIP2	
9470	EIF4E2	
51747	LUC7L3	
54800	KLHL24	
4739	NEDD9	
5187	PER1	
2633	GBP1	
6446	SGK1	
10370	CITED2	
83759	RBM4B	
65986	ZBTB10	
11343	MGLL	
90	ACVR1	
6239	RREB1	
5930	RBBP6	
1390	CREM	
151050	KANSL1L	
1175	AP2S1	
60370	AVPI1	
11082	ESM1	
91746	YTHDC1	
5696	PSMB8	
9474	ATG5	
55589	BMP2K	
64135	IFIH1	
25776	CBY1	
6016	RIT1	
23119	HIC2	
58472	SQOR	
5728	PTEN	
5917	RARS1	
84560	MT4	
4247	MGAT2	
3301	DNAJA1	
6117	RPA1	
161	AP2A2	
8880	FUBP1	
9126	SMC3	
84898	PLXDC2	
3484	IGFBP1	
26034	IPCEF1	
8480	RAE1	
3588	IL10RB	
7431	VIM	
5412	UBL3	
7289	TULP3	
7374	UNG	
8645	KCNK5	
51621	KLF13	
23041	MON2	
10960	LMAN2	
23286	WWC1	
24148	PRPF6	
54925	ZSCAN32	
23503	ZFYVE26	
10138	YAF2	
7704	ZBTB16	
1736	DKC1	
1558	CYP2C8	
3837	KPNB1	
6532	SLC6A4	
26097	CHTOP	
1495	CTNNA1	
23252	OTUD3	
55000	TUG1	
55332	DRAM1	
55127	HEATR1	
2908	NR3C1	
5378	PMS1	
604	BCL6	
9761	MLEC	
760	CA2	
9863	MAGI2	
80176	SPSB1	
