GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
100463488	5.03e-20	2.27e-24	0.5891	-1.02e+01	-6.00	268.87	MTRNR2L10	MT-RNR2 like 10 (pseudogene)
54209	2.46e-18	2.22e-22	0.2991	-9.73	-2.91	22.22	TREM2	triggering receptor expressed on myeloid cells 2
1277	1.15e-16	1.55e-20	0.242	-9.29	-2.25	993.31	COL1A1	collagen type I alpha 1 chain
3762	1.61e-15	3.63e-19	0.1977	-8.95	-1.77	29.61	KCNJ5	potassium inwardly rectifying channel subfamily J member 5
3687	1.61e-15	3.59e-19	0.1317	-8.95	-1.18	289.03	ITGAX	integrin subunit alpha X
343071	6.79e-15	1.84e-18	0.4331	-8.77	-3.80	68.03	PRAMEF10	PRAME family member 10
51330	2.60e-14	8.23e-18	0.4284	-8.60	-3.68	50.13	TNFRSF12A	TNF receptor superfamily member 12A
10457	3.32e-14	1.20e-17	0.1922	-8.55	-1.64	922.59	GPNMB	glycoprotein nmb
822	3.59e-14	1.46e-17	0.2327	-8.53	-1.99	54.57	CAPG	capping actin protein, gelsolin like
644	5.04e-14	2.28e-17	0.1203	-8.48	-1.02	98.17	BLVRA	biliverdin reductase A
6275	1.18e-13	5.87e-17	0.146	-8.37	-1.22	97	S100A4	S100 calcium binding protein A4
645382	1.43e-13	7.74e-17	0.4355	-8.34	-3.63	51.94	PRAMEF33	PRAME family member 33
106632260	1.67e-13	9.82e-17	0.4093	-8.31	-3.40	30.13	RNA5-8SN1	RNA, 5.8S ribosomal N1
10537	1.99e-13	1.26e-16	0.2297	-8.28	-1.90	607.47	UBD	ubiquitin D
1786	2.42e-13	1.64e-16	0.0679	-8.25	-5.60e-01	409.93	DNMT1	DNA methyltransferase 1
1043	2.70e-13	1.95e-16	0.1818	-8.22	-1.50	79.93	CD52	CD52 molecule
10319	3.11e-13	2.53e-16	0.2473	-8.19	-2.03	164.2	LAMC3	laminin subunit gamma 3
100008587	3.11e-13	2.39e-16	0.4121	-8.20	-3.38	30.15	RNA5-8SN5	RNA, 5.8S ribosomal N5
29	4.12e-13	3.69e-16	0.0981	-8.15	-8.00e-01	338.44	ABR	ABR activator of RhoGEF and GTPase
109864274	4.12e-13	3.72e-16	0.4108	-8.15	-3.35	29.78	RNA5-8SN4	RNA, 5.8S ribosomal N4
9235	4.21e-13	3.99e-16	0.2074	-8.14	-1.69	1201.62	IL32	interleukin 32
51278	5.33e-13	5.72e-16	0.1275	-8.10	-1.03	95.45	IER5	immediate early response 5
100500837	5.33e-13	5.37e-16	0.2159	-8.10	-1.75	37.89	MIR3606	microRNA 3606
729830	5.33e-13	6.25e-16	0.0851	8.08	6.88e-01	288.49	FHIP1A	FHF complex subunit HOOK interacting protein 1A
4069	5.33e-13	6.14e-16	0.1953	-8.09	-1.58	1250.27	LYZ	lysozyme
109910381	5.33e-13	6.20e-16	0.4065	-8.09	-3.29	31.24	RNA5-8SN3	RNA, 5.8S ribosomal N3
109864281	6.95e-13	8.47e-16	0.4082	-8.05	-3.29	30.94	RNA5-8SN2	RNA, 5.8S ribosomal N2
1281	8.33e-13	1.05e-15	0.1387	-8.02	-1.11	6389.36	COL3A1	collagen type III alpha 1 chain
286530	2.26e-12	2.96e-15	0.1511	-7.89	-1.19	55.66	P2RY8	P2Y receptor family member 8
9540	2.47e-12	3.34e-15	0.1441	-7.88	-1.14	111.37	TP53I3	tumor protein p53 inducible protein 3
2167	2.48e-12	3.47e-15	0.3255	-7.87	-2.56	141.24	FABP4	fatty acid binding protein 4
