ID	adj.P.Val	P.Value	t	B	logFC	Gene.Symbol	GB_LIST	SPOT_ID
11748659_a_at	0.00609	1.34e-07	-8.5237755	7.23541	-3.2311282	EFEMP1	NM_001039348,NM_001039349,NM_004105	
11719421_a_at	0.00609	2.47e-07	-8.1602034	6.73126	-1.6019903	ABCC1	NM_004996,NM_019862,NM_019898,NM_019899,NM_019900	
11744449_a_at	0.00795	4.83e-07	-7.7714582	6.16905	-1.5523844	ARHGAP4	NM_001164741,NM_001666	
11759908_at	0.00933	1.05e-06	-7.3373894	5.51229	-1.5065576	ITGBL1	NM_004791	
11718269_x_at	0.00933	1.14e-06	-7.2930376	5.44344	-1.3777648	ANGPTL2	NM_012098	
11718293_a_at	0.00933	1.36e-06	-7.1944914	5.28928	-1.2654213	CDKN2A	NM_000077,NM_058195,NM_058197	
11731394_a_at	0.00933	1.49e-06	-7.1446476	5.21069	-2.5782682	VIM	NM_003380	
11745779_a_at	0.00933	1.54e-06	-7.1263629	5.18176	-1.2422671	MLL5	NM_018682,NM_182931	
11751953_a_at	0.00933	2.11e-06	-6.9566317	4.91053	-1.2605059	PAPLN	NM_173462	
11732450_s_at	0.00933	2.11e-06	-6.9555052	4.90871	-1.2863891	AGRN	NM_198576	
11747693_a_at	0.00933	2.23e-06	6.9280843	4.86444	1.2883051	MME	NM_000902,NM_007287,NM_007288,NM_007289	
11737201_at	0.00933	2.33e-06	-6.903894	4.82527	-0.9389022	CSF1	NM_000757,NM_172210,NM_172211,NM_172212	
11715355_at	0.00933	2.46e-06	-6.8754642	4.77912	-1.1873626	COL1A2	NM_000089	
11731112_at	0.01044	3.08e-06	6.7552584	4.58249	2.0566563	GNMT	NM_018960	
11729157_a_at	0.01044	3.58e-06	-6.6757054	4.45104	-1.2157425	MFAP4	NM_002404	
11734968_a_at	0.01044	3.69e-06	-6.6594624	4.42406	-1.0371797	THEMIS	NM_001010923,NM_001164685,NM_001164687	
11758231_x_at	0.01044	3.86e-06	-6.6370143	4.38672	-2.7462923	HLA-DPA1	NM_033554	
11715847_x_at	0.01044	3.97e-06	-6.6216506	4.36111	-1.1959005	PLAT	NM_000930,NM_033011	
11729258_at	0.01044	4.02e-06	-6.6152698	4.35046	-0.9410853	MNS1	NM_018365	
11715934_s_at	0.01097	4.44e-06	-6.5628764	4.26278	-1.9208957	TAGLN	NM_001001522,NM_003186	
11717774_a_at	0.01146	4.93e-06	-6.5084999	4.1713	-1.0455286	PLEKHB1	NM_001130033,NM_001130034,NM_001130035,NM_001130036,NM_021200	
11724944_at	0.01146	5.28e-06	-6.473249	4.11173	-1.6300194	CLSTN2	NM_022131	
11753810_a_at	0.01146	5.34e-06	-6.4674299	4.10188	-1.3291413	CCL5	NM_002985	
11759907_at	0.01165	5.66e-06	-6.4370646	4.05037	-2.0406876	ITGBL1	NM_004791	
11733870_at	0.01219	6.39e-06	-6.3748996	3.94445	-1.4836489	HLA-DOA	NM_002119	
11717581_s_at	0.01219	6.63e-06	-6.3554001	3.9111	-1.278027	CD52	NM_001803	
11752142_a_at	0.01219	7.10e-06	-6.320533	3.8513	-1.2819513	FLNA	NM_001110556,NM_001456	
11744643_a_at	0.01219	7.12e-06	6.3188305	3.84837	1.446245	C5orf27	NR_026936	
11738435_x_at	0.01219	7.43e-06	-6.296982	3.81079	-1.7264448	CD74	NM_001025158,NM_001025159,NM_004355	
11719840_at	0.01219	7.50e-06	-6.2921892	3.80254	-1.2924265	PHLDA3	NM_012396	
11743800_a_at	0.01219	7.65e-06	-6.281937	3.78487	-2.1960169	DNAH2	NM_020877	
11752100_s_at	0.01262	8.18e-06	-6.2482554	3.7267	-0.9698505	E2F3	NM_001949	
11748036_a_at	0.0127	8.48e-06	-6.2294074	3.69407	-1.0960814	ATP2A3	NM_005173,NM_174953,NM_174954,NM_174955,NM_174956,NM_174957,NM_174958	
11728937_at	0.0132	9.09e-06	-6.1945178	3.63351	-1.1514089	GFRA2	NM_001165038,NM_001165039,NM_001495	
11747177_x_at	0.01394	9.88e-06	-6.1519804	3.55941	-1.7074471	AQP1	NM_198098	
11731938_a_at	0.01478	1.10e-05	6.0959131	3.46129	1.4253509	FTCD	NM_006657,NM_206965	
11751610_a_at	0.01478	1.11e-05	-6.0942175	3.45832	-1.3406037	DPYSL3	NM_001387	
11732368_a_at	0.01518	1.17e-05	-6.0674554	3.4113	-1.2627107	FGF14	NM_004115,NM_175929	
11736547_a_at	0.01529	1.22e-05	-6.044964	3.37169	-1.1445323	FANCD2	NM_001018115,NM_033084	
11764153_at	0.01529	1.24e-05	-6.0379322	3.35929	-0.7987467	---	AW953952	
11717455_at	0.01535	1.27e-05	-6.0234831	3.33379	-1.2201863	SPOCK2	NM_001134434,NM_014767	
11757941_s_at	0.01641	1.40e-05	-5.9778655	3.25306	-2.3919361	THBS2	NM_003247	
11741521_a_at	0.01802	1.58e-05	5.9161625	3.14333	1.1158414	HAO2	NM_001005783,NM_016527	
11724627_a_at	0.01802	1.61e-05	5.907888	3.12857	1.8013158	MAT1A	NM_000429	
11715625_a_at	0.01892	1.72e-05	-5.8724915	3.0653	-1.3642779	SH3BGRL	NM_003022	
11725214_a_at	0.0192	1.84e-05	5.8402214	3.00746	1.6157627	HAAO	NM_012205	
11716019_at	0.0192	1.88e-05	-5.8294553	2.98812	-1.0232322	RAB31	NM_006868	
11736746_a_at	0.0192	1.95e-05	-5.8119801	2.9567	-1.9790425	ADAM28	NM_014265,NM_021777	
11761516_x_at	0.0192	1.96e-05	5.8096244	2.95246	1.7098657	HNRNPM	NM_005968,NM_031203	
11718780_a_at	0.0192	1.96e-05	-5.8087057	2.9508	-1.4228074	SSBP2	NM_012446	
11746965_a_at	0.0192	1.98e-05	5.8030541	2.94063	1.3068427	ANPEP	NM_001150	
11744357_a_at	0.01947	2.05e-05	-5.7865297	2.91085	-1.0804953	TACC1	NM_001122824,NM_001146216,NM_006283	
11763684_x_at	0.01959	2.21e-05	-5.7485959	2.84232	-2.1639153	IGK@ /// IGKC	U79763.1	
11750231_x_at	0.01959	2.23e-05	-5.7452672	2.8363	-1.7989634	IGH@ /// IGHG1 /// IGHG2 /// IGHG3 /// IGHM /// IGHV4-31 /// LOC100290146	XM_001718220,XM_002347483	
11745244_x_at	0.01959	2.30e-05	-5.7307	2.80992	-1.8540992	IGH@ /// IGHG1 /// IGHG2 /// IGHG3 /// IGHM /// IGHV4-31 /// LOC100290146 /// LOC100294459	XM_001718220,XM_002347483,XM_002348257	
11746917_s_at	0.01959	2.32e-05	-5.7249853	2.79956	-1.1146215	ANXA8 /// ANXA8L1 /// ANXA8L2	NM_001040084,NM_001098845,NM_001630	
11720528_at	0.01959	2.37e-05	-5.7146125	2.78075	-2.0340644	LTBP2	NM_000428	
