ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1676385	0.0000175	5.80e-10	9.5340327	12.593302	1.12528472	NA		
ILMN_1652434	0.0000175	7.17e-10	9.4351529	12.401284	0.61070205	NA		
ILMN_2322498	0.0000199	1.22e-09	9.1897491	11.918327	1.00725096	213385297	RORA	RAR related orphan receptor A
ILMN_2167922	0.0000342	3.20e-09	-8.753433	11.03697	-0.64120592	612339293	TRMT5	tRNA methyltransferase 5
ILMN_1758128	0.0000342	3.50e-09	-8.7140415	10.955964	-0.86492804	374253798	CYGB	cytoglobin
ILMN_1867517	0.0000425	5.99e-09	8.4761622	10.461722	1.1638943	16550830	RORA	RAR related orphan receptor A
ILMN_2359456	0.0000425	6.10e-09	-8.468612	10.445893	-0.59661436	38327614	ERGIC3	ERGIC and golgi 3
ILMN_1767514	0.000045	7.37e-09	8.3853238	10.270698	0.72564803	NA		
ILMN_1706546	0.0000716	1.32e-08	8.1325851	9.732571	0.4205334	402794174	MAX	MYC associated factor X
ILMN_1652123	0.0000795	1.75e-08	-8.0111487	9.47055	-0.73747604	48255932	HMGN1	high mobility group nucleosome binding domain 1
ILMN_2366703	0.0000795	2.01e-08	7.9526967	9.343632	0.72121765	323510626	SGK3	serum/glucocorticoid regulated kinase family member 3
ILMN_1687223	0.0000795	2.42e-08	-7.8740191	9.171984	-0.309636	966751372	ZNF514	zinc finger protein 514
ILMN_1810712	0.0000795	2.63e-08	7.8388776	9.095015	0.43798028	310832411	ARHGEF12	Rho guanine nucleotide exchange factor 12
ILMN_1797975	0.0000795	2.63e-08	-7.8379058	9.092884	-0.4427559	4504098	CXCR3	C-X-C motif chemokine receptor 3
ILMN_1765606	0.0000795	2.70e-08	7.8269993	9.068957	0.43505624	991820335	YAF2	YY1 associated factor 2
ILMN_1662878	0.0000795	2.78e-08	-7.8149218	9.04244	-0.314976	117938313	MZB1	marginal zone B and B1 cell specific protein
ILMN_2160209	0.0000795	2.78e-08	-7.8148259	9.04223	-0.33423366	218505669	EPCAM	epithelial cell adhesion molecule
ILMN_1835905	0.0000795	2.93e-08	7.7925241	8.993207	0.38790452	6301278		
ILMN_1763540	0.0000883	3.44e-08	7.7251821	8.844728	0.54195482	163644282	PSME4	proteasome activator subunit 4
ILMN_1795507	0.0000893	3.66e-08	7.699011	8.786842	1.01350348	27436952	ABCA6	ATP binding cassette subfamily A member 6
ILMN_1903858	0.0000901	3.97e-08	7.6649424	8.711336	0.37501079	5234902		
ILMN_2306565	0.0000901	4.55e-08	-7.6074282	8.583477	-0.33444218	240848542	MTX2	metaxin 2
ILMN_1745976	0.0000901	4.67e-08	-7.5965111	8.559152	-0.26376175	118402591	TRAF4	TNF receptor associated factor 4
ILMN_1658420	0.0000901	4.69e-08	7.5954739	8.55684	0.68603284	45827724	DSCAM	DS cell adhesion molecule
ILMN_2293692	0.0000901	4.80e-08	7.5856219	8.534872	0.48676513	119943103	CREBBP	CREB binding protein
ILMN_2399877	0.0000901	4.80e-08	-7.5854974	8.534594	-0.38086929	240849530	COG5	component of oligomeric golgi complex 5
ILMN_1815392	0.0000933	5.32e-08	7.5420596	8.437564	0.47456992	226507776	ACTRT1	actin related protein T1
ILMN_1748767	0.0000933	5.35e-08	-7.5398753	8.432678	-0.4489316	NA		
ILMN_1712040	0.0000967	5.75e-08	7.5097206	8.365147	0.48766679	558472845	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1
ILMN_1892895	0.0000967	5.94e-08	7.496301	8.335051	0.51101853	39887221		
ILMN_1747504	0.0001049	6.66e-08	7.4489043	8.228545	0.47719817	262359928	AHCTF1	AT-hook containing transcription factor 1
ILMN_1910805	0.0001194	7.83e-08	-7.3819477	8.07753	-0.32029303	NA		
ILMN_2179837	0.0001232	8.55e-08	-7.3457804	7.995688	-0.52394169	221316571	BANF1	barrier to autointegration factor 1
ILMN_1801043	0.0001232	8.58e-08	-7.3441002	7.991882	-1.64832287	89276752	GSN	gelsolin
ILMN_1773968	0.0001367	9.95e-08	7.2832244	7.853689	0.43545247	66346682	SERBP1	SERPINE1 mRNA binding protein 1
ILMN_1893633	0.0001367	1.02e-07	-7.2730959	7.830646	-0.46913429	302393536	PRKCQ-AS1	PRKCQ antisense RNA 1
ILMN_2366654	0.0001367	1.06e-07	7.2559305	7.791558	0.81777937	451172092	NR5A2	nuclear receptor subfamily 5 group A member 2
ILMN_1689623	0.0001367	1.06e-07	7.2555224	7.790629	0.34446371	NA		
ILMN_1661346	0.0001428	1.14e-07	-7.2269165	7.725396	-0.77542422	NA		
ILMN_1805833	0.0001429	1.19e-07	7.2110088	7.68907	0.40690815	NA		
ILMN_1720233	0.0001429	1.20e-07	7.2061338	7.677931	0.54733973	414144285	CWC25	CWC25 spliceosome associated protein homolog
ILMN_1712950	0.0001546	1.33e-07	-7.1641132	7.581774	-0.66321179	394582017	PFN1	profilin 1
ILMN_1703564	0.0001604	1.44e-07	-7.1325085	7.509289	-0.56677994	528524490	DYNLRB1	dynein light chain roadblock-type 1
ILMN_1727977	0.0001604	1.45e-07	7.1299662	7.503453	0.37440503	NA		
ILMN_1651315	0.0001604	1.51e-07	7.1124857	7.463295	0.32306404	83715963	HMG20B	high mobility group 20B
ILMN_1693896	0.0001604	1.52e-07	7.1087072	7.454609	0.27747679	924183250	ATP8A2	ATPase phospholipid transporting 8A2
ILMN_1653728	0.0001604	1.57e-07	7.0965795	7.426718	0.45564045	110825959	ERBB4	erb-b2 receptor tyrosine kinase 4
ILMN_2306033	0.0001604	1.58e-07	7.0946913	7.422373	0.53222909	619328980	PRAME	preferentially expressed antigen in melanoma
ILMN_1752283	0.0001671	1.68e-07	7.0689712	7.363147	0.86508347	1023300905	ITCH	itchy E3 ubiquitin protein ligase
