GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
100463488	2.83e-16	1.23e-20	0.5888	-9.313665	-5.4834345	210.52	MTRNR2L10	MT-RNR2 like 10 (pseudogene)
1277	5.94e-14	5.19e-18	0.2436	-8.649067	-2.106509	976.23	COL1A1	collagen type I alpha 1 chain
54209	1.74e-13	3.05e-17	0.309	-8.444764	-2.6097521	20.02	TREM2	triggering receptor expressed on myeloid cells 2
3687	1.74e-13	2.53e-17	0.1294	-8.466387	-1.0953742	285.17	ITGAX	integrin subunit alpha X
130399	2.35e-12	5.13e-16	0.1019	8.108323	0.8264792	195.96	ACVR1C	activin A receptor type 1C
343071	3.34e-12	8.75e-16	0.4257	-8.043184	-3.4242952	56.11	PRAMEF10	PRAME family member 10
3762	5.51e-12	1.69e-15	0.2019	-7.962486	-1.6073991	28.57	KCNJ5	potassium inwardly rectifying channel subfamily J member 5
106632260	1.13e-11	3.96e-15	0.4037	-7.856309	-3.1717203	28.38	RNA5-8SN1	RNA, 5.8S ribosomal N1
29	1.22e-11	4.81e-15	0.0998	-7.831686	-0.7817231	347.19	ABR	ABR activator of RhoGEF and GTPase
644	1.31e-11	5.85e-15	0.1191	-7.807191	-0.9297394	96.8	BLVRA	biliverdin reductase A
1786	1.31e-11	6.30e-15	0.07	-7.797798	-0.5458071	412.68	DNMT1	DNA methyltransferase 1
51330	1.52e-11	7.98e-15	0.39	-7.76784	-3.0295616	35.71	TNFRSF12A	TNF receptor superfamily member 12A
822	1.68e-11	1.10e-14	0.2278	-7.727448	-1.7601626	51.45	CAPG	capping actin protein, gelsolin like
100500837	1.68e-11	1.05e-14	0.2145	-7.732989	-1.6588248	38.09	MIR3606	microRNA 3606
100008587	1.68e-11	1.10e-14	0.406	-7.726854	-3.137438	28.36	RNA5-8SN5	RNA, 5.8S ribosomal N5
109910381	2.11e-11	1.48e-14	0.398	-7.689655	-3.0604437	29.72	RNA5-8SN3	RNA, 5.8S ribosomal N3
109864281	2.25e-11	1.77e-14	0.3989	-7.66613	-3.0579328	29.42	RNA5-8SN2	RNA, 5.8S ribosomal N2
109864274	2.25e-11	1.70e-14	0.404	-7.671285	-3.0991089	27.69	RNA5-8SN4	RNA, 5.8S ribosomal N4
645382	2.27e-11	1.88e-14	0.4276	-7.658428	-3.2745885	42.62	PRAMEF33	PRAME family member 33
10319	2.60e-11	2.27e-14	0.239	-7.634405	-1.8243098	155.7	LAMC3	laminin subunit gamma 3
286530	4.36e-11	4.00e-14	0.1454	-7.561027	-1.0991683	54.28	P2RY8	P2Y receptor family member 8
9235	4.70e-11	4.52e-14	0.2033	-7.545084	-1.5338479	1114.46	IL32	interleukin 32
9719	6.46e-11	6.49e-14	0.2006	-7.4977	-1.5042981	385.47	ADAMTSL2	ADAMTS like 2
6275	7.17e-11	7.52e-14	0.1447	-7.478477	-1.081994	93.61	S100A4	S100 calcium binding protein A4
64098	1.39e-10	1.52e-13	0.1041	-7.38577	-0.7687362	211.37	PARVG	parvin gamma
752	2.24e-10	2.55e-13	0.1257	-7.316411	-0.9194014	123.39	FMNL1	formin like 1
3059	2.74e-10	3.24e-13	0.1026	-7.284108	-0.7476783	442.49	HCLS1	hematopoietic cell-specific Lyn substrate 1
9540	4.13e-10	5.27e-13	0.1397	-7.218061	-1.0080274	107.89	TP53I3	tumor protein p53 inducible protein 3
4046	4.13e-10	5.41e-13	0.1656	-7.214512	-1.1949287	116.34	LSP1	lymphocyte specific protein 1
6560	4.13e-10	5.37e-13	0.1266	-7.215564	-0.913715	462.18	SLC12A4	solute carrier family 12 member 4
10457	4.37e-10	5.92e-13	0.1948	-7.202293	-1.4033375	847.4	GPNMB	glycoprotein nmb
1850	4.84e-10	6.77e-13	0.3864	-7.183948	-2.77597	20.61	DUSP8	dual specificity phosphatase 8
1289	5.46e-10	7.87e-13	0.1714	-7.163336	-1.2279722	482.36	COL5A1	collagen type V alpha 1 chain
117143	5.71e-10	8.84e-13	0.0657	7.147511	0.46981	741.71	TADA1	transcriptional adaptor 1
650669	5.71e-10	8.60e-13	0.1861	-7.151202	-1.3309645	45.12	GAS6-AS1	GAS6 antisense RNA 1
9266	5.71e-10	8.99e-13	0.1156	-7.145151	-0.8257298	251.1	CYTH2	cytohesin 2
10272	6.79e-10	1.10e-12	0.2007	-7.117663	-1.4285619	95.56	FSTL3	follistatin like 3
91373	6.93e-10	1.15e-12	0.1351	-7.11105	-0.960671	58.76	UAP1L1	UDP-N-acetylglucosamine pyrophosphorylase 1 like 1
1043	7.96e-10	1.38e-12	0.1852	-7.085581	-1.3119602	76.02	CD52	CD52 molecule
23452	7.96e-10	1.39e-12	0.1104	-7.084964	-0.7822995	314.54	ANGPTL2	angiopoietin like 2
84179	8.09e-10	1.45e-12	0.2029	-7.079292	-1.4366858	65.26	SLC49A3	solute carrier family 49 member 3
55920	8.31e-10	1.60e-12	0.0807	-7.065668	-0.5699942	398.93	RCC2	regulator of chromosome condensation 2
6282	8.31e-10	1.59e-12	0.1993	-7.06675	-1.4082357	159.98	S100A11	S100 calcium binding protein A11
4323	8.31e-10	1.56e-12	0.1444	-7.068705	-1.020546	317.39	MMP14	matrix metallopeptidase 14
114787	9.44e-10	1.99e-12	0.1792	-7.035004	-1.2608098	13.49	GPRIN1	G protein regulated inducer of neurite outgrowth 1
80727	9.44e-10	2.06e-12	0.204	-7.030617	-1.4342701	124.66	TTYH3	tweety family member 3
283234	9.44e-10	1.91e-12	0.1937	-7.041007	-1.3636998	57.48	CCDC88B	coiled-coil domain containing 88B
4069	9.44e-10	1.89e-12	0.1924	-7.042373	-1.3546337	1156.88	LYZ	lysozyme
2621	9.44e-10	2.06e-12	0.159	-7.030116	-1.1176037	283.12	GAS6	growth arrest specific 6
51393	9.44e-10	1.98e-12	0.1346	-7.036113	-0.9467856	99.48	TRPV2	transient receptor potential cation channel subfamily V member 2
51278	1.15e-09	2.61e-12	0.1261	-6.997141	-0.8823206	90.62	IER5	immediate early response 5
54531	1.15e-09	2.60e-12	0.1125	-6.997925	-0.7869645	70.01	MIER2	MIER family member 2
1281	1.17e-09	2.71e-12	0.1403	-6.992181	-0.9811758	6169.43	COL3A1	collagen type III alpha 1 chain
729830	1.17e-09	2.77e-12	0.0838	6.988818	0.5857393	291.44	FHIP1A	FHF complex subunit HOOK interacting protein 1A
54825	1.20e-09	3.00e-12	0.1661	-6.977825	-1.1587085	1017.37	CDHR2	cadherin related family member 2
3040	1.20e-09	2.97e-12	0.3425	-6.979189	-2.3907114	107.15	HBA2	hemoglobin subunit alpha 2
581	1.20e-09	2.91e-12	0.1475	-6.982063	-1.0300884	88.43	BAX	BCL2 associated X, apoptosis regulator
23149	1.28e-09	3.25e-12	0.181	-6.966546	-1.2605991	29.53	FCHO1	FCH and mu domain containing endocytic adaptor 1
28638	1.30e-09	3.34e-12	0.192	-6.962422	-1.3365543	59.68	TRBC2	T cell receptor beta constant 2
81794	1.41e-09	3.71e-12	0.158	-6.947972	-1.0980195	111.43	ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10
100507347	1.42e-09	3.79e-12	0.2091	-6.944666	-1.4522808	70.17	VIM-AS1	VIM antisense RNA 1
54587	1.50e-09	4.09e-12	0.1603	-6.934157	-1.1114445	129.9	MXRA8	matrix remodeling associated 8
10870	1.50e-09	4.12e-12	0.1801	-6.932946	-1.2487798	28.51	HCST	hematopoietic cell signal transducer
147138	1.51e-09	4.21e-12	0.1381	-6.929906	-0.9566949	178.74	TMC8	transmembrane channel like 8
285189	1.64e-09	4.66e-12	0.0778	6.915457	0.5378823	1437.92	PLGLA	plasminogen like A (pseudogene)
50619	1.65e-09	4.76e-12	0.1337	-6.912649	-0.9241914	66.58	DEF6	DEF6 guanine nucleotide exchange factor
9902	1.71e-09	5.00e-12	0.1884	-6.905559	-1.3013169	171.59	MRC2	mannose receptor C type 2
91544	1.73e-09	5.13e-12	0.1383	-6.901859	-0.9545739	76.87	UBXN11	UBX domain protein 11
152007	2.05e-09	6.36e-12	0.1443	-6.871331	-0.9916047	58.29	GLIPR2	GLI pathogenesis related 2
64837	2.05e-09	6.19e-12	0.1677	-6.875114	-1.1531826	37.15	KLC2	kinesin light chain 2
54440	2.05e-09	6.27e-12	0.1267	-6.873309	-0.8710765	131.5	SASH3	SAM and SH3 domain containing 3
6850	2.09e-09	6.59e-12	0.1071	-6.86625	-0.7352125	265.25	SYK	spleen associated tyrosine kinase
5329	2.15e-09	6.86e-12	0.247	-6.86061	-1.6946903	47.09	PLAUR	plasminogen activator, urokinase receptor
