ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
201893_x_at	5.74e-30	4.65e-34	2.52e+01	67.152203	2.10	DCN	decorin
208306_x_at	5.74e-30	5.15e-34	2.52e+01	67.051186	2.55	HLA-DRB1	major histocompatibility complex, class II, DR beta 1
209312_x_at	8.48e-30	1.14e-33	2.48e+01	66.276811	3.05	LOC101060835///LOC100996809///HLA-DRB5///HLA-DRB4///HLA-DRB1///HLA-DQB1	HLA class II histocompatibility antigen, DQ beta 1 chain-like///HLA class II histocompatibility antigen, DRB1-10 beta chain-like///major histocompatibility complex, class II, DR beta 5///major histocompatibility complex, class II, DR beta 4///major histocompatibility complex, class II, DR beta 1///major histocompatibility complex, class II, DQ beta 1
211990_at	8.51e-30	1.53e-33	2.47e+01	65.992117	3.02	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1
217028_at	1.10e-29	2.47e-33	2.45e+01	65.526077	4.40	CXCR4	C-X-C motif chemokine receptor 4
216834_at	2.60e-29	7.00e-33	2.40e+01	64.507503	4.73	RGS1	regulator of G-protein signaling 1
215193_x_at	2.97e-29	9.33e-33	2.39e+01	64.226571	2.95	LOC101060835///LOC100996809///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1	HLA class II histocompatibility antigen, DQ beta 1 chain-like///HLA class II histocompatibility antigen, DRB1-10 beta chain-like///major histocompatibility complex, class II, DR beta 4///major histocompatibility complex, class II, DR beta 3///major histocompatibility complex, class II, DR beta 1///major histocompatibility complex, class II, DQ beta 1
211813_x_at	3.08e-29	1.11e-32	2.38e+01	64.05962	2.41	DCN	decorin
208894_at	3.46e-29	1.50e-32	2.37e+01	63.765809	3.33	HLA-DRA	major histocompatibility complex, class II, DR alpha
214247_s_at	3.46e-29	1.56e-32	2.37e+01	63.727767	3.09	DKK3	dickkopf WNT signaling pathway inhibitor 3
221671_x_at	3.88e-29	2.01e-32	2.36e+01	63.477859	3.42	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
221651_x_at	3.88e-29	2.14e-32	2.36e+01	63.41459	3.43	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
215121_x_at	3.88e-29	2.27e-32	2.35e+01	63.360167	4.09	CYAT1///IGLV1-44///IGLC1	immunoglobulin lambda light chain-like///immunoglobulin lambda variable 1-44///immunoglobulin lambda constant 1
211991_s_at	9.63e-29	6.05e-32	2.31e+01	62.398857	3.36	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1
209201_x_at	9.92e-29	6.68e-32	2.31e+01	62.301692	3.29	CXCR4	C-X-C motif chemokine receptor 4
215379_x_at	1.11e-28	8.01e-32	2.30e+01	62.124492	4.20	IGLV1-44	immunoglobulin lambda variable 1-44
209138_x_at	1.60e-28	1.22e-31	2.28e+01	61.710163	4.32	IGLC1	immunoglobulin lambda constant 1
214677_x_at	2.89e-28	2.34e-31	2.26e+01	61.075915	4.51	IGLC1	immunoglobulin lambda constant 1
210982_s_at	3.94e-28	3.36e-31	2.24e+01	60.718246	3.09	HLA-DRA	major histocompatibility complex, class II, DR alpha
209619_at	7.72e-28	6.93e-31	2.21e+01	60.008839	2.95	CD74	CD74 molecule
201744_s_at	7.90e-28	7.57e-31	2.21e+01	59.92266	3.94	LUM	lumican
214836_x_at	7.90e-28	7.80e-31	2.21e+01	59.892816	3.36	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
202992_at	8.31e-28	8.58e-31	2.20e+01	59.799033	2.29	C7	complement component 7
217478_s_at	1.13e-27	1.21e-30	2.19e+01	59.460067	3.05	HLA-DMA	major histocompatibility complex, class II, DM alpha
211896_s_at	1.27e-27	1.43e-30	2.18e+01	59.299432	2.24	DCN	decorin
211919_s_at	1.60e-27	1.87e-30	2.17e+01	59.03261	3.17	CXCR4	C-X-C motif chemokine receptor 4
215176_x_at	1.85e-27	2.33e-30	2.16e+01	58.818946	4.72	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
208949_s_at	1.85e-27	2.35e-30	2.16e+01	58.811266	3.68	LGALS3	lectin, galactoside binding soluble 3
201162_at	1.85e-27	2.41e-30	2.16e+01	58.785053	2.38	IGFBP7	insulin like growth factor binding protein 7
211430_s_at	2.57e-27	3.46e-30	2.15e+01	58.429095	4.74	MIR8071-2///MIR8071-1///IGHV4-31///IGHM///IGHG2///IGHG1	microRNA 8071-2///microRNA 8071-1///immunoglobulin heavy variable 4-31///immunoglobulin heavy constant mu///immunoglobulin heavy constant gamma 2 (G2m marker)///immunoglobulin heavy constant gamma 1 (G1m marker)
201842_s_at	8.80e-27	1.22e-29	2.10e+01	57.186849	3.73	EFEMP1	EGF containing fibulin like extracellular matrix protein 1
206070_s_at	2.09e-26	3.00e-29	2.06e+01	56.305472	3.62	EPHA3	EPH receptor A3
210397_at	2.88e-26	4.27e-29	2.05e+01	55.957793	3.47	DEFB1	defensin beta 1
