ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
219628_at	1.26e-08	2.30e-13	-14.4643655	19.560806	-1.78469203	ZMAT3	zinc finger matrin-type 3
205081_at	3.52e-08	1.29e-12	-13.3495492	18.109416	-2.39607785	CRIP1	cysteine rich protein 1
203355_s_at	1.53e-07	8.41e-12	-12.2124826	16.488701	-2.2743467	PSD3	pleckstrin and Sec7 domain containing 3
220421_at	1.76e-07	1.56e-11	11.8532727	15.944908	1.53757953	BTNL8	butyrophilin like 8
226930_at	1.76e-07	1.61e-11	-11.8361259	15.918552	-2.15524472	FNDC1	fibronectin type III domain containing 1
218613_at	4.24e-07	4.66e-11	-11.2388099	14.977147	-1.54504547	PSD3	pleckstrin and Sec7 domain containing 3
224454_at	5.38e-07	6.90e-11	11.0237302	14.626841	1.36453578	ETNK1	ethanolamine kinase 1
215305_at	5.93e-07	9.56e-11	10.8466852	14.333867	1.17026642	PDGFRA	platelet derived growth factor receptor alpha
233194_at	5.93e-07	9.77e-11	10.8351687	14.314664	1.36821315	STARD13-AS	STARD13 antisense RNA
208662_s_at	1.23e-06	2.42e-10	-10.3538662	13.495913	-0.86440607	TTC3P1///TTC3	tetratricopeptide repeat domain 3 pseudogene 1///tetratricopeptide repeat domain 3
227221_at	1.23e-06	2.48e-10	-10.3400043	13.471859	-1.20586239	ZMAT3	zinc finger matrin-type 3
235571_at	1.62e-06	3.56e-10	-10.1529283	13.144586	-1.08481806	MIR34A	microRNA 34a
34726_at	1.86e-06	4.43e-10	-10.0409234	12.946278	-0.82698067	CACNB3	calcium voltage-gated channel auxiliary subunit beta 3
225725_at	2.63e-06	6.75e-10	-9.8267634	12.562118	-1.56807964	ZMAT3	zinc finger matrin-type 3
210999_s_at	3.07e-06	8.43e-10	9.7144232	12.357963	1.16634468	GRB10	growth factor receptor bound protein 10
209035_at	3.36e-06	9.84e-10	-9.6371665	12.216504	-1.50247309	MDK	midkine (neurite growth-promoting factor 2)
204388_s_at	5.26e-06	1.64e-09	9.3844395	11.747662	1.523166	MAOA	monoamine oxidase A
203666_at	5.77e-06	1.90e-09	-9.3113663	11.610351	-1.76107541	CXCL12	C-X-C motif chemokine ligand 12
205776_at	7.07e-06	2.50e-09	9.177412	11.356589	2.17498403	FMO5	flavin containing monooxygenase 5
244492_at	7.07e-06	2.59e-09	9.161183	11.325664	0.92929901		
1558748_at	7.26e-06	2.79e-09	-9.1249714	11.25652	-1.50302763		
238593_at	7.95e-06	3.20e-09	-9.0584186	11.128932	-1.84897083	C11orf80	chromosome 11 open reading frame 80
222477_s_at	8.12e-06	3.57e-09	-9.006707	11.02934	-0.9807268	TM7SF3	transmembrane 7 superfamily member 3
225142_at	8.12e-06	3.57e-09	9.0065152	11.02897	1.21138335	KDM7A	lysine demethylase 7A
224937_at	8.90e-06	4.08e-09	-8.9427432	10.905598	-1.8563263	PTGFRN	prostaglandin F2 receptor inhibitor
230463_at	9.19e-06	4.38e-09	8.9086422	10.839377	1.07387367		
219700_at	9.77e-06	4.83e-09	-8.8617496	10.748031	-1.60789511	PLXDC1	plexin domain containing 1
1569263_at	1.17e-05	6.19e-09	8.7440542	10.517308	1.54349355		
240422_at	1.17e-05	6.21e-09	8.7427977	10.514833	2.45054685		
240025_x_at	1.17e-05	6.41e-09	8.7279232	10.485523	0.99234443		
219087_at	1.29e-05	7.35e-09	-8.6634056	10.358006	-2.59672076	ASPN	asporin
238405_at	1.56e-05	9.17e-09	8.5597236	10.151767	1.28750329		
228371_s_at	1.60e-05	9.69e-09	8.5338323	10.100012	0.68403546		
223710_at	1.80e-05	1.17e-08	8.4464518	9.924598	0.70972306	CCL26	C-C motif chemokine ligand 26
224694_at	1.80e-05	1.18e-08	-8.4437082	9.919072	-1.25155456	ANTXR1	anthrax toxin receptor 1
207547_s_at	1.80e-05	1.19e-08	8.4396674	9.91093	2.02835464	FAM107A	family with sequence similarity 107 member A
205088_at	2.04e-05	1.39e-08	8.3664679	9.763021	1.18593073	MAMLD1	mastermind like domain containing 1
216176_at	2.04e-05	1.42e-08	-8.3573327	9.744506	-0.88149126	HCRP1	hepatocellular carcinoma-related HCRP1
210306_at	2.40e-05	1.71e-08	-8.2706234	9.568132	-1.35159807	L3MBTL1	l(3)mbt-like 1 (Drosophila)
236338_at	2.73e-05	2.00e-08	8.2003463	9.424349	1.42621207		
236402_at	2.83e-05	2.17e-08	8.1617906	9.34515	1.03651138	BRAF	B-Raf proto-oncogene, serine/threonine kinase
224397_s_at	2.83e-05	2.18e-08	8.160404	9.342297	0.917969	TMTC1	transmembrane and tetratricopeptide repeat containing 1
233305_at	2.85e-05	2.25e-08	8.1466249	9.313936	1.12622772	NECAB1	N-terminal EF-hand calcium binding protein 1
209062_x_at	2.86e-05	2.34e-08	8.1272826	9.274075	0.83989929	NCOA3	nuclear receptor coactivator 3
210645_s_at	2.86e-05	2.35e-08	-8.1253103	9.270007	-0.80264151	TTC3P1///TTC3	tetratricopeptide repeat domain 3 pseudogene 1///tetratricopeptide repeat domain 3
231098_at	2.87e-05	2.49e-08	-8.0991151	9.215926	-1.86095767		
218007_s_at	2.87e-05	2.52e-08	-8.0947405	9.206884	-0.76237518	RPS27L	ribosomal protein S27 like
1555851_s_at	2.87e-05	2.55e-08	-8.088577	9.194141	-0.98548347	SEPW1	selenoprotein W, 1
201626_at	2.87e-05	2.60e-08	8.0806827	9.17781	1.39055979	INSIG1	insulin induced gene 1
202376_at	2.87e-05	2.63e-08	8.0746254	9.165273	2.35800949	SERPINA3	serpin family A member 3
207982_at	2.94e-05	2.75e-08	8.0554941	9.125639	0.64025705	HIST1H1T	histone cluster 1, H1t
205381_at	2.94e-05	2.86e-08	-8.0372367	9.087765	-2.13774914	LRRC17	leucine rich repeat containing 17
226189_at	2.94e-05	2.93e-08	-8.0267652	9.06602	-1.8648946	ITGB8	integrin subunit beta 8
237919_at	2.94e-05	2.95e-08	8.0230064	9.05821	0.71612629	RFFL	ring finger and FYVE-like domain containing E3 ubiquitin protein ligase
204615_x_at	2.94e-05	2.96e-08	8.0217649	9.05563	1.25523369	IDI1	isopentenyl-diphosphate delta isomerase 1
213496_at	3.01e-05	3.09e-08	-8.001946	9.014414	-2.46753371	PLPPR4	phospholipid phosphatase related 4
235334_at	3.01e-05	3.14e-08	7.9951335	9.000233	1.73202147	ST6GALNAC3	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3
237618_at	3.33e-05	3.54e-08	7.9409511	8.887195	1.01235518		
244383_at	3.48e-05	3.81e-08	-7.9077523	8.817716	-1.29572545		
224516_s_at	3.48e-05	3.82e-08	-7.9064077	8.814899	-1.09496824	CXXC5	CXXC finger protein 5
242767_at	3.48e-05	3.88e-08	7.8991791	8.799747	1.37233921	LMCD1	LIM and cysteine rich domains 1
203477_at	3.59e-05	4.07e-08	-7.8778063	8.754904	-2.50898132	COL15A1	collagen type XV alpha 1 chain
208881_x_at	3.70e-05	4.33e-08	7.8508912	8.698333	1.30310504	IDI1	isopentenyl-diphosphate delta isomerase 1
204389_at	3.70e-05	4.33e-08	7.850132	8.696736	1.45067674	MAOA	monoamine oxidase A
242756_at	3.75e-05	4.46e-08	-7.8373685	8.66987	-1.24530007		
229280_s_at	3.77e-05	4.55e-08	-7.8282732	8.650711	-0.9135808	CASC15	cancer susceptibility candidate 15 (non-protein coding)
201194_at	3.93e-05	4.89e-08	-7.7962939	8.583248	-0.94712369	SEPW1	selenoprotein W, 1
201310_s_at	3.93e-05	4.90e-08	-7.7949466	8.580402	-1.67065317	NREP	neuronal regeneration related protein
205305_at	3.93e-05	4.97e-08	7.7891897	8.56824	1.18054661	FGL1	fibrinogen like 1
