ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
4184	0.000172	8.88e-09	-8.2150719	9.855023	-4.535626	COMP	cartilage oligomeric matrix protein
39393	0.000172	1.27e-08	-8.0631977	9.536617	-4.6433505	COMP	cartilage oligomeric matrix protein
11916	0.000172	1.56e-08	7.9777132	9.355785	2.8406584	HHIP	hedgehog interacting protein
44865	0.000172	1.59e-08	7.9707373	9.340978	4.5837133	RTKN2	rhotekin 2
5270	0.000191	2.45e-08	7.789803	8.954228	3.3779595	LHFPL3-AS2	LHFPL3 antisense RNA 2
40000	0.000191	2.64e-08	7.7583757	8.886528	3.2176282		
44951	0.00038	6.14e-08	7.4126374	8.131634	3.8595239	AGBL1	ATP/GTP binding protein like 1
3236	0.000569	1.05e-07	-7.1956961	7.648668	-3.4072766	PODNL1	podocan like 1
43820	0.000898	2.18e-07	6.9044397	6.989382	4.0998161	RTKN2	rhotekin 2
31092	0.000898	2.22e-07	6.8972927	6.973052	2.4288146	P3H2	prolyl 3-hydroxylase 2
21754	0.000898	2.28e-07	-6.8868433	6.949163	-3.5714691	COL3A1	collagen type III alpha 1 chain
44003	0.000921	2.55e-07	6.8423736	6.847327	2.9350368	HHIP	hedgehog interacting protein
39911	0.000998	2.99e-07	-6.7791438	6.702059	-2.2228608	SRRM3	serine/arginine repetitive matrix 3
6665	0.001028	3.32e-07	-6.7383773	6.608109	-2.1317166	RSRP1	arginine and serine rich protein 1
32103	0.00143	5.18e-07	-6.5639154	6.203527	-2.217953	LOX	lysyl oxidase
2219	0.00143	6.39e-07	-6.4818158	6.01176	-2.2112977	LOX	lysyl oxidase
1148	0.00143	6.67e-07	-6.4653913	5.973294	-2.6544952	RARRES1	retinoic acid receptor responder 1
2179	0.00143	6.95e-07	-6.4490393	5.934963	-2.1786115	LOX	lysyl oxidase
31630	0.00143	7.29e-07	-6.4303984	5.891226	-2.2041698	LOX	lysyl oxidase
17832	0.00143	7.40e-07	-6.4250282	5.878618	-2.218607	LOX	lysyl oxidase
28948	0.00143	7.50e-07	-6.4194556	5.86553	-2.1784987	SRPX2	sushi repeat containing protein, X-linked 2
23923	0.00143	7.57e-07	-6.4161468	5.857758	-2.2214424	LOX	lysyl oxidase
20720	0.00143	8.25e-07	6.3825208	5.778693	2.5131918	SFTPD	surfactant protein D
6444	0.00143	8.55e-07	-6.3687128	5.746186	-2.2518344	LOX	lysyl oxidase
13159	0.00143	9.26e-07	-6.3377161	5.67313	-2.861644	ACAN	aggrecan
43887	0.00143	9.29e-07	-6.33655	5.670379	-3.6651681	SNORD14E	small nucleolar RNA, C/D box 14E
18973	0.00143	9.59e-07	6.3241985	5.641233	2.9083661	TNNC1	troponin C1, slow skeletal and cardiac type
18611	0.00143	9.69e-07	-6.3203283	5.632097	-2.708644	HIST1H2AM	histone cluster 1, H2am
38681	0.00143	1.01e-06	-6.3054689	5.597002	-2.154712	LOX	lysyl oxidase
14611	0.00143	1.02e-06	-6.299614	5.583168	-3.3369691	AKR1B10	aldo-keto reductase family 1 member B10
6018	0.00143	1.05e-06	-6.2910805	5.562995	-2.1961533	LOX	lysyl oxidase
12991	0.00143	1.06e-06	-6.2873814	5.554249	-4.234644	SAA4	serum amyloid A4, constitutive
15263	0.001483	1.16e-06	6.2505119	5.46698	3.5900621	CRTAC1	cartilage acidic protein 1
32248	0.001483	1.20e-06	6.2381207	5.437615	3.4655302		
12589	0.001483	1.21e-06	6.2336096	5.42692	2.8636017	F11	coagulation factor XI
20576	0.001483	1.26e-06	-6.2203909	5.395567	-2.6785767	HTR2A	5-hydroxytryptamine receptor 2A
27147	0.001483	1.29e-06	6.2100635	5.371059	2.3720094	CTNND2	catenin delta 2
9667	0.001483	1.31e-06	-6.2037419	5.35605	-2.5954799	PAPPA	pappalysin 1
41239	0.001483	1.35e-06	-6.1933727	5.331422	-2.1929262	LILRB5	leukocyte immunoglobulin like receptor B5
28710	0.001483	1.43e-06	-6.1710292	5.278313	-2.107953	LOX	lysyl oxidase
9039	0.001483	1.43e-06	6.1694537	5.274566	2.0876794	ADRB2	adrenoceptor beta 2
23947	0.001483	1.44e-06	6.1687716	5.272944	2.0883103	ADRB2	adrenoceptor beta 2
8069	0.00154	1.53e-06	6.145155	5.216741	4.9133161	ITLN2	intelectin 2
35986	0.001653	1.69e-06	6.1068517	5.125457	2.1098251	ADRB2	adrenoceptor beta 2
33019	0.001653	1.74e-06	6.0950126	5.097209	1.5538652	DLC1	DLC1 Rho GTPase activating protein
34126	0.001653	1.77e-06	6.0876692	5.07968	2.0868123	ADRB2	adrenoceptor beta 2
10255	0.001653	1.79e-06	-6.08373	5.070275	-3.343148	CYP24A1	cytochrome P450 family 24 subfamily A member 1
38997	0.001787	1.98e-06	-6.0458168	4.979668	-2.2300515	TYMSOS	TYMS opposite strand
17502	0.001822	2.09e-06	-6.024293	4.928162	-1.9068948	MRO	maestro
734	0.001822	2.11e-06	-6.0216058	4.921728	-3.9950261	KRT6C	keratin 6C
41667	0.001822	2.14e-06	6.0151811	4.906342	2.0597329	ADRB2	adrenoceptor beta 2
29593	0.001845	2.24e-06	5.9985179	4.866418	2.0564769	ADRB2	adrenoceptor beta 2
3604	0.001845	2.25e-06	5.9957996	4.859903	2.8076775		
36503	0.001944	2.42e-06	-5.968627	4.79473	-3.2847243	CRLF1	cytokine receptor like factor 1
5358	0.002041	2.59e-06	5.9430805	4.733388	2.0666754	ADRB2	adrenoceptor beta 2
41214	0.002063	2.69e-06	5.9283982	4.698104	2.2968968		
8153	0.002063	2.84e-06	-5.9080907	4.649267	-2.3201862	KIF11	kinesin family member 11
154	0.002063	2.84e-06	5.9069374	4.646492	2.0419385	ADRB2	adrenoceptor beta 2
34180	0.002063	2.84e-06	5.9069249	4.646462	2.0254925	ADRB2	adrenoceptor beta 2
44087	0.002063	2.85e-06	-5.9057886	4.643728	-2.4479911		
31921	0.002307	3.30e-06	-5.8508836	4.511475	-2.8117749	THBS2	thrombospondin 2
19546	0.002307	3.30e-06	-5.8506429	4.510894	-3.9055397	SPP1	secreted phosphoprotein 1
15407	0.002339	3.40e-06	-5.8393877	4.483747	-3.8873044	SPP1	secreted phosphoprotein 1
8425	0.002385	3.52e-06	5.8259729	4.451376	2.0139349	ADRB2	adrenoceptor beta 2
17188	0.002465	3.69e-06	-5.8075157	4.40681	-3.8805223	SPP1	secreted phosphoprotein 1
1083	0.002486	3.78e-06	-5.7985302	4.385103	-3.9072897	SPP1	secreted phosphoprotein 1
21290	0.00259	4.05e-06	-5.7729879	4.323357	-2.2212861	HIST1H2AE	histone cluster 1, H2ae
35814	0.00259	4.13e-06	-5.7652682	4.304684	-3.9179647	SPP1	secreted phosphoprotein 1
