GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
55273	9.89e-41	4.50e-45	0.2466	-14.088087	-3.4742981	394.09	TMEM100	transmembrane protein 100
6532	1.37e-37	1.25e-41	0.4806	-13.516522	-6.495751	1579	SLC6A4	solute carrier family 6 member 4
57716	4.83e-37	6.58e-41	0.3267	-13.393676	-4.3759914	735.7	PRX	periaxin
2034	1.75e-36	3.18e-40	0.2088	-13.276215	-2.7721807	12031.51	EPAS1	endothelial PAS domain protein 1
8547	5.73e-33	1.30e-36	0.4162	-12.638082	-5.260185	338.8	FCN3	ficolin 3
94	5.80e-33	1.58e-36	0.1915	-12.622664	-2.4174421	821.86	ACVRL1	activin A receptor like type 1
65009	4.05e-32	1.29e-35	0.1998	-12.456483	-2.4893471	227.07	NDRG4	NDRG family member 4
10319	7.66e-32	2.79e-35	0.2855	-12.394822	-3.5391988	382.22	LAMC3	laminin subunit gamma 3
100532742	3.43e-31	1.40e-34	0.208	-12.264583	-2.5515317	86.22	PIR-FIGF	PIR-FIGF readthrough
4756	1.59e-30	7.22e-34	0.0904	-12.131234	-1.0966595	579.64	NEO1	neogenin 1
105375355	1.81e-30	9.04e-34	0.2569	-12.112803	-3.1117752	360.06	UPK3B	uroplakin 3B
177	4.57e-30	2.50e-33	0.3705	-12.029221	-4.4562295	2495.69	AGER	advanced glycosylation end-product specific receptor
23266	9.93e-30	6.29e-33	0.1189	-11.952667	-1.4213787	1276.5	ADGRL2	adhesion G protein-coupled receptor L2
9037	9.93e-30	6.32e-33	0.174	-11.952238	-2.080187	1355.22	SEMA5A	semaphorin 5A
4641	7.33e-29	5.00e-32	0.1365	-11.779155	-1.6078249	2143.34	MYO1C	myosin IC
659	9.94e-29	7.23e-32	0.1303	-11.748005	-1.5311399	3174.87	BMPR2	bone morphogenetic protein receptor type 2
745	1.47e-28	1.14e-31	0.2781	-11.709466	-3.2564342	531.62	MYRF	myelin regulatory factor
5898	8.19e-28	6.71e-31	0.127	-11.558236	-1.4678167	318.76	RALA	RAS like proto-oncogene A
4038	1.62e-27	1.40e-30	0.1757	-11.494977	-2.0199566	402.72	LRP4	LDL receptor related protein 4
107984234	1.85e-27	1.69e-30	0.1999	11.478786	2.2940713	135.44	LOC107984234	
29091	2.65e-27	2.53e-30	0.2729	-11.443686	-3.1227505	284.53	STXBP6	syntaxin binding protein 6
4651	5.43e-27	5.43e-30	0.1257	-11.377215	-1.4303376	1145.33	MYO10	myosin X
56920	9.10e-27	9.51e-30	0.3118	-11.328193	-3.5315807	504.56	SEMA3G	semaphorin 3G
84886	2.43e-26	2.66e-29	0.1788	-11.237926	-2.0091622	1407.6	C1orf198	chromosome 1 open reading frame 198
9806	2.85e-26	3.24e-29	0.2573	-11.220348	-2.8873578	1840.63	SPOCK2	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2
57556	2.66e-25	3.15e-28	0.1482	-11.01747	-1.6325365	755.56	SEMA6A	semaphorin 6A
650	3.40e-25	4.18e-28	0.2586	-10.99197	-2.8422677	353.86	BMP2	bone morphogenetic protein 2
105378558	5.23e-25	6.90e-28	0.3695	10.946554	4.0451531	57.85	EBF3-AS1	EBF3 antisense RNA 1
2277	5.23e-25	6.89e-28	0.2811	-10.946674	-3.077093	96.22	VEGFD	vascular endothelial growth factor D
80014	3.17e-24	4.32e-27	0.1542	-10.779129	-1.6620365	974.5	WWC2	WW and C2 domain containing 2
7123	3.46e-24	4.88e-27	0.254	-10.767951	-2.7347007	275.68	CLEC3B	C-type lectin domain family 3 member B
83648	4.26e-24	6.20e-27	0.2668	-10.745879	-2.866723	171.29	FAM167A	family with sequence similarity 167 member A
54221	5.61e-24	8.42e-27	0.2407	10.717535	2.5802219	110.53	SNTG2	syntrophin gamma 2
27063	1.35e-23	2.09e-26	0.5766	-10.633237	-6.1306074	147.52	ANKRD1	ankyrin repeat domain 1
400120	2.42e-23	3.86e-26	0.4779	-10.575796	-5.0537556	37.17	SERTM1	serine rich and transmembrane domain containing 1
3133	3.23e-23	5.28e-26	0.1813	-10.54632	-1.9121878	7017.69	HLA-E	major histocompatibility complex, class I, E
1850	6.08e-23	1.02e-25	0.2214	-10.48402	-2.3212601	241.3	DUSP8	dual specificity phosphatase 8
64759	8.84e-23	1.53e-25	0.1259	-10.44607	-1.3147826	2404.77	TNS3	tensin 3
114805	9.76e-23	1.73e-25	0.417	-10.43419	-4.3509906	33.82	GALNT13	polypeptide N-acetylgalactosaminyltransferase 13
10529	2.30e-22	4.19e-25	0.1587	-10.349849	-1.6422502	1155.59	NEBL	nebulette
80223	3.31e-22	6.17e-25	0.1862	-10.312695	-1.9198083	2642.05	RAB11FIP1	RAB11 family interacting protein 1
125488	3.39e-22	6.47e-25	0.1138	10.308277	1.1728655	359.69	TTC39C	tetratricopeptide repeat domain 39C
57513	7.96e-22	1.56e-24	0.2288	-10.223464	-2.3386458	920.84	CASKIN2	CASK interacting protein 2
8706	9.06e-22	1.81e-24	0.1764	-10.208682	-1.8004836	206.02	B3GALNT1	beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)
4133	1.30e-21	2.73e-24	0.2011	-10.16886	-2.0453044	369.94	MAP2	microtubule associated protein 2
7134	1.30e-21	2.82e-24	0.3577	-10.165685	-3.6362389	62.71	TNNC1	troponin C1, slow skeletal and cardiac type
11099	1.30e-21	2.67e-24	0.1372	-10.17106	-1.3950457	750.24	PTPN21	protein tyrosine phosphatase non-receptor type 21
100820829	1.30e-21	2.83e-24	0.3593	-10.165265	-3.652276	137.38	MYZAP	myocardial zonula adherens protein
23237	1.35e-21	3.02e-24	0.4662	-10.159136	-4.7357694	57.7	ARC	activity regulated cytoskeleton associated protein
3675	1.40e-21	3.19e-24	0.1516	-10.153822	-1.5389486	1869.22	ITGA3	integrin subunit alpha 3
4148	1.42e-21	3.30e-24	0.3579	-10.150344	-3.6327869	55.88	MATN3	matrilin 3
