ID	adj.P.Val	P.Value	t	B	logFC	SPOT_ID
1286_at	9.18e-09	7.56e-13	11.318133	19.070715	4.3922209	1286_at
6424_at	8.71e-08	1.44e-11	10.089567	16.295818	3.0172856	6424_at
55283_at	2.19e-07	8.04e-11	-9.405912	14.657572	-1.8888064	55283_at
2885_at	2.19e-07	9.20e-11	9.353481	14.529141	0.6015667	2885_at
79630_at	2.19e-07	1.03e-10	9.310263	14.422977	1.226262	79630_at
3489_at	2.19e-07	1.37e-10	-9.199116	14.148713	-1.6820302	3489_at
4067_at	2.19e-07	1.46e-10	9.173944	14.086353	0.9126173	4067_at
2743_at	2.19e-07	1.67e-10	-9.123535	13.961198	-1.5527364	2743_at
54829_at	2.19e-07	1.71e-10	9.112999	13.934995	1.7868019	54829_at
10095_at	2.19e-07	1.80e-10	9.09365	13.886828	0.9802511	10095_at
3426_at	2.34e-07	2.19e-10	9.0184	13.699002	1.1901135	3426_at
4882_at	2.34e-07	2.31e-10	-8.998336	13.648784	-1.2887115	4882_at
10409_at	2.42e-07	2.59e-10	8.954994	13.540111	0.9952699	10409_at
22918_at	2.93e-07	3.38e-10	8.853704	13.2851	1.2348372	22918_at
9060_at	3.02e-07	3.73e-10	8.816453	13.190951	0.9135295	9060_at
1123_at	5.28e-07	6.96e-10	8.58142	12.592423	1.5522611	1123_at
56904_at	5.92e-07	8.29e-10	-8.516131	12.424794	-1.8119445	56904_at
2669_at	6.89e-07	1.02e-09	8.438159	12.223832	1.263582	2669_at
5270_at	6.95e-07	1.09e-09	8.414884	12.163682	1.7164449	5270_at
51117_at	1.09e-06	1.84e-09	-8.221483	11.661025	-0.9600662	51117_at
201501_at	1.09e-06	1.88e-09	-8.212694	11.638062	-3.8866347	201501_at
11098_at	1.25e-06	2.26e-09	8.144646	11.459925	1.5509266	11098_at
2617_at	1.30e-06	2.52e-09	8.105365	11.356817	0.5211204	2617_at
382_at	1.30e-06	2.60e-09	-8.093931	11.326766	-0.9158089	382_at
9258_at	1.30e-06	2.67e-09	8.083496	11.299324	1.2054332	9258_at
6692_at	1.31e-06	2.80e-09	-8.066129	11.253621	-1.0411173	6692_at
405_at	1.31e-06	2.91e-09	-8.052162	11.21684	-0.7391799	405_at
9500_at	1.33e-06	3.06e-09	8.033865	11.168613	0.6180347	9500_at
25792_at	1.33e-06	3.19e-09	-8.019015	11.129441	-1.1441427	25792_at
7043_at	1.33e-06	3.30e-09	8.007228	11.098329	0.8426157	7043_at
2782_at	1.34e-06	3.57e-09	7.977964	11.021005	0.3986245	2782_at
2122_at	1.34e-06	3.62e-09	7.97277	11.007269	1.3358863	2122_at
1634_at	1.34e-06	3.67e-09	-7.968045	10.994772	-0.8126547	1634_at
56683_at	1.34e-06	3.76e-09	7.958902	10.97058	0.5452135	56683_at
9470_at	1.39e-06	4.14e-09	7.92409	10.878367	0.6104864	9470_at
11031_at	1.39e-06	4.42e-09	7.900565	10.815964	1.0815163	11031_at
2934_at	1.39e-06	4.45e-09	-7.898283	10.809908	-3.2016865	2934_at
54732_at	1.39e-06	4.63e-09	7.883795	10.771436	0.4684649	54732_at
AFFX-BioB-M_at	1.39e-06	4.69e-09	-7.878594	10.757621	-2.5404157	AFFX-BioB-M_at
64066_at	1.39e-06	4.74e-09	-7.875288	10.748837	-1.437289	64066_at
6445_at	1.39e-06	4.74e-09	-7.874908	10.747826	-1.6054695	6445_at
2192_at	1.39e-06	4.82e-09	-7.868928	10.731934	-1.8528186	2192_at
10487_at	1.47e-06	5.20e-09	7.841412	10.658744	0.5761704	10487_at
2263_at	1.49e-06	5.39e-09	-7.828343	10.623948	-0.8762294	2263_at
57658_at	1.49e-06	5.55e-09	-7.817719	10.595645	-1.2208879	57658_at
8425_at	1.49e-06	5.78e-09	-7.803587	10.557978	-1.2573378	8425_at
55052_at	1.49e-06	5.78e-09	7.803096	10.556667	0.5184727	55052_at
5348_at	1.57e-06	6.20e-09	-7.778209	10.490268	-2.2959361	5348_at
2274_at	1.70e-06	7.06e-09	7.730959	10.363992	0.5265422	2274_at
51309_at	1.70e-06	7.13e-09	-7.727433	10.354557	-0.5721455	51309_at
10043_at	1.70e-06	7.25e-09	-7.721298	10.338139	-1.0318275	10043_at
5479_at	1.70e-06	7.34e-09	7.717032	10.32672	0.4864459	5479_at
57337_at	1.70e-06	7.43e-09	-7.712549	10.314716	-1.7431592	57337_at
7450_at	1.71e-06	7.60e-09	7.70459	10.293399	0.9614774	7450_at
10627_at	1.75e-06	7.94e-09	7.688688	10.250787	0.6396854	10627_at
5192_at	1.79e-06	8.24e-09	-7.675527	10.215497	-0.9033128	5192_at
51599_at	1.82e-06	8.53e-09	-7.663134	10.182245	-0.9005247	51599_at
23550_at	2.04e-06	9.74e-09	-7.615265	10.053637	-0.6620515	23550_at
57326_at	2.04e-06	1.02e-08	-7.599777	10.011965	-0.8651798	57326_at
23612_at	2.04e-06	1.04e-08	-7.591708	9.990243	-0.6929045	23612_at
94134_at	2.04e-06	1.05e-08	-7.58681	9.977054	-0.8070436	94134_at
AFFX-r2-Ec-bioB-M_at	2.04e-06	1.06e-08	-7.583602	9.968413	-2.7715177	AFFX-r2-Ec-bioB-M_at
4926_at	2.04e-06	1.09e-08	-7.576528	9.949357	-0.923709	4926_at
AFFX-BioB-5_at	2.04e-06	1.09e-08	-7.575339	9.946153	-2.5243298	AFFX-BioB-5_at
1388_at	2.04e-06	1.13e-08	-7.563689	9.914757	-0.8806758	1388_at
7570_at	2.04e-06	1.13e-08	7.563067	9.913079	0.4214592	7570_at
64123_at	2.04e-06	1.13e-08	7.562623	9.911882	0.9534413	64123_at
84065_at	2.05e-06	1.15e-08	-7.556401	9.895107	-1.1111706	84065_at
22925_at	2.15e-06	1.22e-08	-7.534835	9.836922	-1.7305971	22925_at
64121_at	2.17e-06	1.25e-08	7.525595	9.811976	0.6085928	64121_at
10362_at	2.25e-06	1.32e-08	-7.507457	9.762977	-1.347138	10362_at
7837_at	2.29e-06	1.36e-08	7.496527	9.733432	1.17924	7837_at
57502_at	2.29e-06	1.39e-08	7.489128	9.713425	1.2771468	57502_at
29855_at	2.29e-06	1.40e-08	7.486733	9.706946	0.5463981	29855_at
10136_at	2.47e-06	1.53e-08	-7.454672	9.620164	-0.935649	10136_at
81617_at	2.49e-06	1.56e-08	-7.446851	9.598975	-1.9461268	81617_at
60343_at	2.50e-06	1.59e-08	-7.441188	9.58363	-0.5903943	60343_at
10261_at	2.62e-06	1.69e-08	7.419433	9.524641	1.2702268	10261_at
3654_at	2.67e-06	1.76e-08	7.404643	9.484508	0.6106393	3654_at
11197_at	2.67e-06	1.76e-08	-7.403473	9.481333	-2.535133	11197_at
166_at	2.67e-06	1.83e-08	-7.390512	9.446138	-0.8111673	166_at
6426_at	2.67e-06	1.86e-08	-7.385372	9.432177	-1.2587907	6426_at
3490_at	2.67e-06	1.86e-08	7.385343	9.432098	0.5129914	3490_at
375056_at	2.67e-06	1.87e-08	-7.382608	9.424667	-0.4350481	375056_at
55916_at	2.67e-06	1.88e-08	-7.380887	9.419991	-0.8546115	55916_at
64398_at	2.67e-06	1.89e-08	-7.37803	9.412229	-0.6023332	64398_at
9124_at	2.67e-06	1.92e-08	7.374117	9.401593	0.5339474	9124_at
54978_at	2.67e-06	1.94e-08	-7.369691	9.389564	-0.8525682	54978_at
64376_at	2.92e-06	2.17e-08	-7.329454	9.280092	-0.8005925	64376_at
185_at	2.92e-06	2.18e-08	-7.327563	9.274942	-1.6076863	185_at
79442_at	2.92e-06	2.21e-08	-7.323197	9.263051	-1.8460062	79442_at
4924_at	2.92e-06	2.22e-08	-7.322434	9.260974	-1.4862793	4924_at
84818_at	2.96e-06	2.29e-08	-7.31061	9.22876	-2.4572967	84818_at
5189_at	2.96e-06	2.29e-08	-7.310151	9.227509	-0.7256146	5189_at
57447_at	3.02e-06	2.37e-08	-7.29921	9.197686	-1.3576871	57447_at
5528_at	3.09e-06	2.45e-08	-7.287153	9.164807	-0.5413929	5528_at
1008_at	3.15e-06	2.54e-08	-7.27374	9.12821	-1.4529841	1008_at
5652_at	3.15e-06	2.54e-08	-7.273551	9.127696	-1.0946782	5652_at
9328_at	3.21e-06	2.63e-08	-7.261851	9.095756	-1.1651029	9328_at
8549_at	3.21e-06	2.65e-08	-7.259444	9.089184	-1.5325636	8549_at
6442_at	3.23e-06	2.69e-08	-7.254054	9.074462	-3.4664087	6442_at
6050_at	3.41e-06	2.87e-08	-7.231205	9.012025	-0.7920065	6050_at
