ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1653028	0.0955	0.00000202	-5.4745347	1.425	-1.04625856	734520329	COL4A1	collagen type IV alpha 1 chain
ILMN_1837152	0.135	0.00000571	5.1627469	0.912	0.67930108	24784161		
ILMN_1874566	0.2093	0.00001675	-4.8360296	0.37	-0.51615967	3144567		
ILMN_1781149	0.2093	0.00001839	-4.8074202	0.322	-0.90061367	66933017	INMT	indolethylamine N-methyltransferase
ILMN_3236391	0.2093	0.00002395	-4.7263848	0.187	-0.68159556	NA		
ILMN_1778444	0.2093	0.00002656	-4.6945229	0.134	-1.46571644	224809310	FKBP5	FK506 binding protein 5
ILMN_3309889	0.3263	0.0000519	4.4870168	-0.211	0.42607972	262205823	MIR570	microRNA 570
ILMN_1702363	0.3263	0.00006691	-4.4076072	-0.342	-0.71927544	189571635	SULF1	sulfatase 1
ILMN_1748124	0.3263	0.00007117	-4.3882207	-0.374	-0.91077911	62865623	TSC22D3	TSC22 domain family member 3
ILMN_1651365	0.3263	0.00007696	-4.3636728	-0.415	-0.91480967	344313164	ZBED2	zinc finger BED-type containing 2
ILMN_1807201	0.3263	0.00008569	4.3298453	-0.471	1.75172756	154350223	FAM104A	family with sequence similarity 104 member A
ILMN_1683179	0.3263	0.00008921	-4.3171395	-0.492	-0.51304561	192807325	RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator
ILMN_1685433	0.3263	0.00009009	-4.3140417	-0.497	-1.24563547	366392936	COL8A1	collagen type VIII alpha 1 chain
ILMN_1666222	0.3263	0.00009663	-4.2919051	-0.534	-0.95572247	34304355	PHACTR3	phosphatase and actin regulator 3
ILMN_1693192	0.3498	0.00011332	-4.2414584	-0.617	-2.03186594	208879450	PI3	peptidase inhibitor 3
ILMN_1744381	0.3498	0.00012222	-4.2174451	-0.657	-0.62887364	383286745	SERPINE1	serpin family E member 1
ILMN_1810172	0.3498	0.00012576	-4.2083453	-0.672	-0.73114911	170784837	SFRP4	secreted frizzled related protein 4
ILMN_2193817	0.4696	0.0001809	-4.0921466	-0.863	-0.55164286	221136795	CLEC4G	C-type lectin domain family 4 member G
ILMN_2376403	0.4696	0.00018874	-4.0785083	-0.885	-1.13918842	62865622	TSC22D3	TSC22 domain family member 3
ILMN_1735192	0.4785	0.0002024	-4.056009	-0.922	-0.51168378	364502938	COLEC11	collectin subfamily member 11
ILMN_1657871	0.5066	0.00023526	-4.0074253	-1.001	-0.50179469	90186265	RSAD2	radical S-adenosyl methionine domain containing 2
ILMN_1672148	0.5066	0.00025373	-3.9829281	-1.041	-1.01983661	223468662	AKR1B10	aldo-keto reductase family 1 member B10
ILMN_3277905	0.5066	0.00025412	-3.9824327	-1.042	-0.71417553	NA		
ILMN_1735996	0.5066	0.00025718	-3.9785476	-1.049	-0.56066147	633257760	NOX4	NADPH oxidase 4
ILMN_3244888	0.5126	0.00027107	-3.9614673	-1.076	-0.43109394	209862752	LINC00167	long intergenic non-protein coding RNA 167
ILMN_1699778	0.5324	0.0002928	3.9363703	-1.117	0.39651083	222136625	NKIRAS2	NFKB inhibitor interacting Ras like 2
ILMN_3234513	0.5672	0.00032407	3.903252	-1.171	0.52526181	NA		
ILMN_1844593	0.5672	0.00033593	-3.8914938	-1.19	-0.55721464	33338085	NRG1	neuregulin 1
ILMN_1778308	0.571	0.00035261	-3.8756174	-1.216	-0.50019981	116256355	COL4A4	collagen type IV alpha 4 chain
ILMN_1685097	0.571	0.0003623	3.8667338	-1.23	1.296155	NA		
ILMN_1738552	0.5871	0.00042124	-3.8171557	-1.31	-0.60114011	169790838	SLC1A3	solute carrier family 1 member 3
ILMN_1763558	0.5871	0.00042627	-3.8132397	-1.317	-0.43182925	544583586	RGN	regucalcin
ILMN_3241657	0.5871	0.00044144	-3.8016933	-1.335	-0.63416203	374858055	TMEM204	transmembrane protein 204
ILMN_1710876	0.5871	0.00045432	-3.7921887	-1.351	-0.39115889	NA		
ILMN_1703852	0.5871	0.00046903	3.7816503	-1.368	0.59480422	317171923	EFNB2	ephrin B2
ILMN_1814215	0.5871	0.00047729	-3.7758718	-1.377	-0.68054094	148839327	SCNN1G	sodium channel epithelial 1 gamma subunit
ILMN_1753251	0.5871	0.00049398	-3.7644798	-1.395	-0.39981639	24234740	SEMA6D	semaphorin 6D
ILMN_1684368	0.5871	0.00049991	-3.7605246	-1.402	-0.47998078	296317235	SMIM3	small integral membrane protein 3
ILMN_1721770	0.5871	0.00050152	-3.7594548	-1.403	-0.76019589	966751447	PAPPA	pappalysin 1
ILMN_1788237	0.5871	0.00050916	3.7544374	-1.411	0.75829917	NA		
ILMN_1679357	0.5871	0.00050973	-3.7540682	-1.412	-0.87159472	124248515	DEFA1B	defensin alpha 1B
ILMN_1750153	0.5871	0.00052155	3.746455	-1.424	0.32838456	116642872	OR52A1	olfactory receptor family 52 subfamily A member 1
ILMN_1913060	0.5873	0.00053411	-3.7385419	-1.437	-0.62570775	34532879	CMKLR1	chemerin chemokine-like receptor 1
ILMN_1787441	0.5913	0.00055025	3.7286368	-1.453	0.39313064	NA		
ILMN_1769187	0.6014	0.00057243	3.715475	-1.474	0.44633181	NA		
ILMN_1872457	0.6076	0.00059121	-3.7047034	-1.491	-0.50569314	1424310		
ILMN_3201216	0.6259	0.00062646	3.6853522	-1.522	0.56867856	NA		
ILMN_1680965	0.6259	0.00064199	-3.6771574	-1.535	-1.10269528	NA		
ILMN_1674080	0.6259	0.00064872	-3.6736628	-1.541	-0.38322067	NA		
ILMN_2267508	0.6308	0.00067019	-3.662749	-1.558	-0.41568667	110835716	CAPSL	calcyphosine like
ILMN_1814643	0.6308	0.00068047	-3.657645	-1.566	-0.40211844	NA		
ILMN_2402392	0.6457	0.00071942	-3.6389459	-1.596	-0.59984283	366392936	COL8A1	collagen type VIII alpha 1 chain
ILMN_1683021	0.6457	0.00072388	-3.6368677	-1.599	-0.45812783	NA		
ILMN_1691156	0.6563	0.00077428	-3.6141961	-1.635	-0.77775769	71274112	MT1A	metallothionein 1A
ILMN_1775170	0.6563	0.00077642	-3.6132614	-1.637	-0.80414628	194239656	MT1X	metallothionein 1X
ILMN_1741648	0.6563	0.00078246	3.610647	-1.641	1.30466797	NA		
ILMN_1715351	0.6563	0.00079123	3.6068862	-1.647	0.39486581	215490007	AIMP1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1
ILMN_1721312	0.6632	0.00082379	-3.593262	-1.668	-0.43205553	NA		
ILMN_1667087	0.6632	0.00082763	3.5916909	-1.671	0.48288856	38505219	ACSM5	acyl-CoA synthetase medium-chain family member 5
ILMN_1673191	0.6863	0.00087094	-3.5744208	-1.698	-1.46576919	126116577	S100A7A	S100 calcium binding protein A7A
ILMN_2411864	0.6894	0.00089415	-3.5655018	-1.712	-0.51083086	34304355	PHACTR3	phosphatase and actin regulator 3
ILMN_1708535	0.6894	0.00092136	-3.5553285	-1.728	-0.32628447	NA		
ILMN_1709094	0.6894	0.0009304	-3.5520113	-1.734	-0.59594331	189095278	LIFR	leukemia inhibitory factor receptor alpha
ILMN_1738979	0.6894	0.00094994	-3.5449423	-1.745	-0.43146297	157671926	SPATA5	spermatogenesis associated 5
ILMN_1680952	0.6894	0.00097369	-3.536538	-1.758	-0.39082508	NA		
ILMN_3284429	0.6894	0.00098785	-3.5316212	-1.766	-0.46667875	359385720	SMIM22	small integral membrane protein 22
ILMN_1701101	0.6894	0.00102127	-3.5202785	-1.784	-0.44659147	NA		
