GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
6424	1.08e-74	4.34e-79	0.2516	-18.8293946	-4.73806111	817.3	SFRP4	secreted frizzled related protein 4
50507	4.49e-61	3.61e-65	0.1567	-17.0480538	-2.6722711	235.01	NOX4	NADPH oxidase 4
1286	1.30e-50	1.57e-54	0.1365	-15.5507641	-2.12223896	832.12	COL4A4	collagen type IV alpha 4 chain
1295	1.95e-46	3.14e-50	0.2235	-14.9032441	-3.3312138	1140.39	COL8A1	collagen type VIII alpha 1 chain
1282	1.04e-44	2.10e-48	0.1013	-14.6199017	-1.48041916	5967.77	COL4A1	collagen type IV alpha 1 chain
7837	5.10e-43	1.23e-46	0.1128	-14.3399235	-1.61697663	1287.85	PXDN	peroxidasin
283208	6.09e-43	1.72e-46	0.1778	-14.3168162	-2.54592271	56.83	P4HA3	prolyl 4-hydroxylase subunit alpha 3
170692	1.19e-42	3.85e-46	0.1769	-14.2606207	-2.52242297	146.99	ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18
1378	3.32e-42	1.20e-45	0.1571	-14.1808351	-2.22745274	297.7	CR1	complement C3b/C4b receptor 1 (Knops blood group)
1293	5.23e-41	2.11e-44	0.1087	-13.9785861	-1.51928913	28407.07	COL6A3	collagen type VI alpha 3 chain
2	3.50e-39	1.55e-42	0.0751	-13.6691299	-1.0267389	10058.71	A2M	alpha-2-macroglobulin
22918	3.87e-39	1.87e-42	0.0899	-13.6555496	-1.22708091	2236.25	CD93	CD93 molecule
6507	1.15e-38	6.04e-42	0.0771	-13.5699227	-1.04662845	622.56	SLC1A3	solute carrier family 1 member 3
5054	4.41e-38	2.49e-41	0.2547	-13.4657545	-3.42970049	429.27	SERPINE1	serpin family E member 1
100507632	4.71e-38	2.85e-41	0.1609	-13.4557393	-2.1648502	94.17	LINC00968	long intergenic non-protein coding RNA 968
114902	2.65e-37	1.81e-40	0.1371	-13.318306	-1.82587508	140.22	C1QTNF5	C1q and TNF related 5
83552	2.65e-37	1.81e-40	0.1371	-13.318306	-1.82587508	140.22	MFRP	membrane frizzled-related protein
11098	3.21e-37	2.33e-40	0.1266	-13.2996467	-1.68417851	2720.56	PRSS23	serine protease 23
6716	4.31e-36	3.30e-39	0.2399	-13.0997689	-3.14316667	39.2	SRD5A2	steroid 5 alpha-reductase 2
23208	1.26e-35	1.02e-38	0.0674	-13.0140232	-0.87664958	295.74	SYT11	synaptotagmin 11
101929415	3.98e-35	3.51e-38	0.1545	-12.9191228	-1.99618402	32.61	PENK-AS1	PENK antisense RNA 1
2669	3.98e-35	3.53e-38	0.0941	-12.9187234	-1.21508463	391.02	GEM	GTP binding protein overexpressed in skeletal muscle
713	1.59e-34	1.47e-37	0.1596	-12.8083179	-2.04480275	728.9	C1QB	complement C1q B chain
23213	1.68e-34	1.63e-37	0.1841	-12.8005662	-2.35619069	1175.37	SULF1	sulfatase 1
23704	3.53e-34	3.55e-37	0.1367	-12.7397597	-1.74189238	162.19	KCNE4	potassium voltage-gated channel subfamily E regulatory subunit 4
541471	3.57e-34	3.74e-37	0.1117	-12.7358887	-1.42292832	303.82	MIR4435-2HG	MIR4435-2 host gene
200162	1.60e-33	1.80e-36	0.1216	12.6125473	1.53344064	238.17	SPAG17	sperm associated antigen 17
441094	1.60e-33	1.79e-36	0.0933	-12.6131761	-1.17664616	111.25	NR2F1-AS1	NR2F1 antisense RNA 1
3479	1.97e-33	2.30e-36	0.1162	-12.593217	-1.46347599	1061.82	IGF1	insulin like growth factor 1
107986413	1.12e-32	1.35e-35	0.083	-12.452745	-1.03397846	158.37	LOC107986413	
2202	1.41e-32	1.77e-35	0.0741	-12.4312909	-0.92062399	3340.21	EFEMP1	EGF containing fibulin extracellular matrix protein 1
1240	1.41e-32	1.82e-35	0.0952	-12.429132	-1.18298002	695.58	CMKLR1	chemerin chemokine-like receptor 1
5270	1.45e-32	1.93e-35	0.1586	-12.424122	-1.9706074	1023.82	SERPINE2	serpin family E member 2
1490	1.52e-32	2.08e-35	0.1762	-12.4183586	-2.18803938	2847.13	CCN2	cellular communication network factor 2
3490	3.32e-32	4.67e-35	0.0706	-12.3533155	-0.8721561	3266	IGFBP7	insulin like growth factor binding protein 7
3912	3.44e-32	4.98e-35	0.0461	-12.3481642	-0.56926414	5381.03	LAMB1	laminin subunit beta 1
714	6.22e-32	9.27e-35	0.1307	-12.2981056	-1.60745222	682.63	C1QC	complement C1q C chain
3507	6.25e-32	9.57e-35	0.4045	-12.2955245	-4.97355453	315.72	IGHM	immunoglobulin heavy constant mu
