gene,kidney_logFC,kidney_adj_p_value,liver_logFC,liver_adj_p_value,lung_logFC,lung_adj_p_value,skin_logFC,skin_adj_p_value,is_ECM_gene,matrisome_category,matrisome_division
AEBP1,1.67758834,0.000102,-1.07007992,0.0062103,-0.7989775,0.000162,-0.73168653,2.51e-07,True,ECM Glycoproteins,Core matrisome
BMP1,-1.6414568,0.000855,1.642421,3.04e-07,0.87506283,1.54e-09,-0.66011388,3.72e-16,True,ECM Regulators,Matrisome-associated
CCL19,1.6645841,0.00232,-1.47993455,0.0186169,-3.520365,1.89e-13,-1.50947281,1.74e-19,True,Secreted Factors,Matrisome-associated
CCL2,2.17500819,1.47e-05,-1.8050286,0.04978,-2.5212675,8.69e-05,-1.43692,1e-17,True,Secreted Factors,Matrisome-associated
CCL21,0.9320614,0.0033,-1.3596551,0.0033836,2.1132709,3.16e-13,-1.1466899,0.00107,True,Secreted Factors,Matrisome-associated
CCL5,1.28174734,1.78e-06,-1.3291413,0.01146,1.6986755,6.65e-11,-1.28732668,1.17e-10,True,Secreted Factors,Matrisome-associated
CLEC2D,-1.4879459,0.00817,-0.60657867,0.0014039,-1.8605923,2.93e-15,-0.9510868,0.00527,True,ECM-affiliated Proteins,Matrisome-associated
COL15A1,2.19890718,6.62e-07,-0.60382602,0.0071231,-1.3335039,6.28e-29,-1.08431296,2.69e-24,True,Collagens,Core matrisome
COL1A1,1.75677827,1.68e-05,-1.2970953,0.03495,-1.77332415,8.23e-27,-1.299026,1.44e-17,True,Collagens,Core matrisome
COL1A2,2.65687138,1.2e-05,-1.1873626,0.00933,-1.05881,0.00561,-0.64727756,3.42e-10,True,Collagens,Core matrisome
COL3A1,1.45801204,0.00078,-1.2277397,0.03495,-1.61665883,8.19e-25,-0.96693176,1.48e-12,True,Collagens,Core matrisome
COLEC11,-0.6936599,0.0157,-0.73023411,0.0368862,-2.0706525,2.9e-06,-0.76029975,1.44e-05,True,ECM-affiliated Proteins,Matrisome-associated
FGF14,-1.1344432,0.0089,-1.2627107,0.01518,-1.51832835,8.77e-27,-0.69128514,3.28e-09,True,Secreted Factors,Matrisome-associated
LAMC3,0.62190975,0.000713,-1.31088742,0.0100478,0.73075977,9.65e-16,0.68068461,5.98e-08,True,ECM Glycoproteins,Core matrisome
LTBP2,1.3045644,0.00093,-2.0340644,0.01959,-0.72371299,4.52e-13,-1.22845963,1.63e-17,True,ECM Glycoproteins,Core matrisome
MDK,-1.9247646,1.75e-06,-0.97178003,0.0096649,-0.87458787,1.83e-34,-0.97964026,5.12e-13,True,Secreted Factors,Matrisome-associated
MFAP4,0.69586103,0.0288,-1.21039013,0.0081603,1.1601555,2.23e-09,-1.5803459,2.43e-05,True,ECM Glycoproteins,Core matrisome
PDGFD,-0.8901066,0.0146,-1.05559167,0.002057,-1.3643127,4.45e-07,-0.8761549,2.33e-05,True,Secreted Factors,Matrisome-associated
SERPINE2,1.0038187,0.000792,-0.66736081,0.0425783,-1.3449823,2.74e-08,-1.9706074,1.45e-32,True,ECM Regulators,Matrisome-associated
SERPINF2,2.7390396,0.000802,1.3225455,0.043,0.63997202,3.11e-20,-0.59567572,1.22e-08,True,ECM Regulators,Matrisome-associated
SERPINH1,0.94882229,5.44e-06,-0.79163778,0.0016122,0.7277705,7.93e-06,-0.73761569,1.02e-15,True,ECM Regulators,Matrisome-associated
SPARCL1,1.41812269,0.0054,-0.88501875,0.0246792,-1.7856164,7.63e-14,-0.60177431,3.08e-18,True,ECM Glycoproteins,Core matrisome
SVEP1,-1.653771,0.00079,-0.81211897,0.0462718,0.77483,0.000555,-1.4205033,0.000299,True,ECM Glycoproteins,Core matrisome
VWF,0.6088809,0.000127,-1.08837672,0.044949,0.80510831,2.46e-17,-0.97442246,2.94e-25,True,ECM Glycoproteins,Core matrisome
