gene,kidney_logFC,kidney_adj_p_value,liver_logFC,liver_adj_p_value,lung_logFC,lung_adj_p_value,skin_logFC,skin_adj_p_value,is_ECM_gene,matrisome_category,kidney_val_logFC,kidney_val_adj_p_value,kidney_validated,kidney_validated_sig,liver_val_logFC,liver_val_adj_p_value,liver_validated,liver_validated_sig,lung_val_logFC,lung_val_adj_p_value,lung_validated,lung_validated_sig,skin_val_logFC,skin_val_adj_p_value,skin_validated,skin_validated_sig,n_organs_validated,n_organs_validated_sig,n_organs_found_in_val
COL6A3,2.0573452,0.000224,-0.6273797,8.54e-06,-1.0107487,8.26e-17,-1.51928913,5.23e-41,True,Collagens,1.3252779,0.0336,True,True,-0.6273797,8.54e-06,True,True,-0.798875,0.0316,True,True,-0.73765658,0.9982,True,False,4,3,4
COL3A1,1.45801204,0.00078,-0.9811758,1.17e-09,-1.61665883,8.19e-25,-0.81357764,1.33e-07,True,Collagens,1.5780112,0.00236,True,True,-0.9811758,1.17e-09,True,True,-2.03371458,0.000146,True,True,-0.22449897,0.9997,True,False,4,3,4
ITGB4,0.6613426,0.0344,-0.957251,0.000311,-0.88878708,2.13e-17,-1.1008732,2.09e-05,False,,0.6613426,0.0344,True,True,-0.957251,0.000311,True,True,-1.13817791,0.00914,True,True,-0.29931297,0.9997,True,False,4,3,4
SERPINE1,-1.3926229,0.00607,-1.3305706,0.000119,1.05529982,3.15e-06,-3.42970049,4.41e-38,True,ECM Regulators,-1.3926229,0.00607,True,True,-1.3305706,0.000119,True,True,1.75243769,0.0266,True,True,-0.62887364,0.3498,True,False,4,3,4
THBS1,0.8024248,0.00287,-1.3840433,8.01e-07,1.16263442,7.21e-13,-2.45515344,9.01e-30,True,ECM Glycoproteins,0.8024248,0.00287,True,True,-1.3840433,8.01e-07,True,True,0.92526059,0.000127,True,True,-0.68501125,0.9997,True,False,4,3,4
NEDD9,-0.8368033,8.86e-09,-0.9250317,2.99e-05,0.82461892,2.94e-20,-0.7314623,8.21e-32,False,,-0.7894888,0.00207,True,True,-0.9250317,2.99e-05,True,True,1.13651964,0.000441,True,True,-0.34036372,0.9226,True,False,4,3,4
VCAM1,1.1785603,0.000479,-0.6241443,0.000949,-1.47585872,6.78e-15,-1.27270789,6.53e-25,False,,1.0793146,0.041,True,True,-0.6241443,0.000949,True,True,-1.48881668,0.0245,True,True,-0.44456303,0.9997,True,False,4,3,4
COL1A1,1.75677827,1.68e-05,-2.106509,5.94e-14,-1.77332415,8.23e-27,-1.39555934,1.02e-11,True,Collagens,0.6781739,0.242,True,False,-2.106509,5.94e-14,True,True,-2.97815507,9.09e-05,True,True,-0.60954833,0.9997,True,False,4,2,4
AK1,1.06,0.000132,-0.6247377,7.05e-05,0.8675318,1.32e-08,-0.6665455,0.000208,False,,0.6670189,0.00196,True,True,-0.6247377,7.05e-05,True,True,0.18694117,0.334,True,False,-0.03355119,0.9997,True,False,4,2,4
ALDH1A3,0.93936967,0.00405,-0.6724844,0.000513,-0.83635418,1.58e-17,-0.64415251,2.84e-12,False,,0.6994625,0.31,True,False,-0.6724844,0.000513,True,True,-1.58104825,0.0227,True,True,-0.54853189,0.9997,True,False,4,2,4
VWF,0.6088809,0.000127,-1.3967071,3.08e-07,0.80510831,2.46e-17,-0.97442246,2.94e-25,True,ECM Glycoproteins,0.4639446,0.599,True,False,-1.3967071,3.08e-07,True,True,0.72140694,0.00716,True,True,-0.45297386,0.9997,True,False,4,2,4
