gene,kidney_logFC,kidney_adj_p_value,liver_logFC,liver_adj_p_value,lung_logFC,lung_adj_p_value,skin_logFC,skin_adj_p_value,is_ECM_gene,matrisome_category,kidney_val_logFC,kidney_val_adj_p_value,kidney_validated,kidney_validated_sig,liver_val_logFC,liver_val_adj_p_value,liver_validated,liver_validated_sig,lung_val_logFC,lung_val_adj_p_value,lung_validated,lung_validated_sig,skin_val_logFC,skin_val_adj_p_value,skin_validated,skin_validated_sig,n_organs_validated,n_organs_validated_sig,n_organs_found_in_val
ABCA2,0.754,0.0184,-0.9464594,2.15e-06,0.7241173,2.99e-13,-0.7888702,0.00115,False,,0.2731065,0.314,True,False,-0.9464594,2.15e-06,True,True,-0.51987131,0.0178,False,False,0.11427975,0.9997,False,False,2,1,4
ABR,0.804,0.00789,-0.7817231,1.22e-11,0.6243914,1.17e-09,-0.6852117,0.000853,False,,0.1872575,0.68,True,False,-0.7817231,1.22e-11,True,True,-0.05698581,0.766,False,False,-0.07143386,0.9997,True,False,3,1,4
ACVRL1,1.11,0.00238,-0.6962237,0.000663,1.08757686,4.87e-26,-0.8758795,2.86e-05,False,,0.2303202,0.57,True,False,-0.6962237,0.000663,True,True,0.80811233,0.18,True,False,-0.62945217,0.9997,True,False,4,1,4
ADAMTS4,0.607,0.0483,-1.0955597,5.29e-05,0.86596639,1.75e-05,-1.25140058,6.38e-17,True,ECM Regulators,-0.079919,0.855,False,False,-1.0955597,5.29e-05,True,True,0.46284744,0.0933,True,False,-0.10491622,0.9997,True,False,3,1,4
AEBP1,1.67758834,0.000102,-1.4481006,3.25e-08,-0.7989775,0.000162,-0.73168653,2.51e-07,True,ECM Glycoproteins,0.9983504,0.0465,True,True,-1.4481006,3.25e-08,True,True,-0.69105443,0.138,True,False,-0.33336303,0.9997,True,False,4,2,4
AK1,1.06,0.000132,-0.6247377,7.05e-05,0.8675318,1.32e-08,-0.6665455,0.000208,False,,0.6670189,0.00196,True,True,-0.6247377,7.05e-05,True,True,0.18694117,0.334,True,False,-0.03355119,0.9997,True,False,4,2,4
ALDH1A3,0.93936967,0.00405,-0.6724844,0.000513,-0.83635418,1.58e-17,-0.64415251,2.84e-12,False,,0.6994625,0.31,True,False,-0.6724844,0.000513,True,True,-1.58104825,0.0227,True,True,-0.54853189,0.9997,True,False,4,2,4
ALOX5AP,0.7558053,0.00954,-0.8548185,1.25e-05,2.1277095,8.21e-15,-0.71136016,2.93e-08,False,,0.6550931,0.336,True,False,-0.8548185,1.25e-05,True,True,0.12905164,0.83,True,False,-0.00367622,0.9997,True,False,4,1,4
APOE,-0.6189439,0.0367,-0.8193506,0.000566,-0.9451025,0.0182,-1.5840227,1.03e-05,False,,0.1956482,0.832,False,False,-0.8193506,0.000566,True,True,-0.91442078,0.0245,True,True,0.10893939,0.9997,False,False,2,2,4
ARHGDIA,1.07,0.00139,-0.8665498,1.78e-05,1.0882795,6.33e-16,-0.801239,5.75e-05,False,,0.5191644,0.0282,True,True,-0.8665498,1.78e-05,True,True,-0.41327994,0.281,False,False,0.09266708,0.9997,False,False,2,2,4
ARPC1B,1.01528997,5.34e-07,-1.038096,6.81e-08,1.5068918,1.27e-12,-0.76150055,1.76e-22,False,,1.581637,0.00203,True,True,-1.038096,6.81e-08,True,True,-0.24145904,0.362,False,False,-0.27197419,0.9997,True,False,3,2,4
ATN1,0.747,0.023,-0.6230259,2.23e-05,1.1409055,2.02e-14,-0.6569725,0.00144,False,,0.5839591,0.0436,True,True,-0.6230259,2.23e-05,True,True,-0.46138742,0.156,False,False,-0.12267839,0.9997,True,False,3,2,4
ATP13A2,1.06,0.00345,-0.8898458,0.000134,0.8105005,2.22e-11,-0.722155,0.0033,False,,0.3975204,0.153,True,False,-0.8898458,0.000134,True,True,-0.42958833,0.0596,False,False,-0.07157311,0.9997,True,False,3,1,4
AXL,0.64941235,0.00108,-0.8123497,1.41e-06,0.710175,2.38e-08,-0.6616573,1.95e-05,False,,1.1297394,0.0123,True,True,-0.8123497,1.41e-06,True,True,-0.35460252,0.25,False,False,0.16406211,0.9997,False,False,2,2,4
B3GNT7,0.826,0.0271,-1.005824,7.93e-06,0.8579364,2.52e-10,-0.61661257,1.29e-08,False,,-0.0345222,0.951,False,False,-1.005824,7.93e-06,True,True,0.14659132,0.183,True,False,0.15441017,0.9997,False,False,2,1,4
BCAT1,0.69831977,0.000101,-1.1336473,1.32e-06,-1.8281532,3.52e-11,-0.73335406,1.26e-09,False,,-0.3147385,0.529,False,False,-1.1336473,1.32e-06,True,True,0.49993041,0.0467,False,False,-0.04305811,0.9997,True,False,2,1,4
BCL6B,2.0,0.000104,-0.64408,3.08e-06,1.1357414,9.12e-11,-0.6093325,8.86e-11,False,,0.9643135,0.0225,True,True,-0.64408,3.08e-06,True,True,0.32872236,0.00458,True,True,0.20998019,0.9997,False,False,3,3,4
BGN,1.3,4.01e-05,-0.9240678,2.03e-07,1.6897859,2.59e-14,-1.05428224,5.54e-09,True,Proteoglycans,1.3945656,0.0032,True,True,-0.9240678,2.03e-07,True,True,-0.98529793,0.24,False,False,-0.3746585,0.9997,True,False,3,2,4
BIRC3,0.61156787,0.00114,-0.608069,0.000527,-2.5476009,2.7e-14,-0.63877663,8.51e-07,False,,-0.4217299,0.591,False,False,-0.608069,0.000527,True,True,0.27355942,0.476,False,False,-0.29880644,0.9997,True,False,2,1,4
BTBD2,0.654019,0.00487,-0.7747797,0.000622,1.5337159,7.04e-17,-1.1133308,0.000527,False,,0.654019,0.00487,True,True,-0.7747797,0.000622,True,True,-0.87672715,0.0442,False,False,0.08025444,0.9997,False,False,2,2,4
C1QB,2.12340911,6.14e-06,-1.1519683,0.000269,1.8793668,1.38e-14,-2.04480275,1.59e-34,True,ECM-affiliated Proteins,1.0261845,0.104,True,False,-1.1519683,0.000269,True,True,-0.47675546,0.435,False,False,-0.53045925,0.9997,True,False,3,1,4
