bit_mask,count,n_tissues_shared,present_in,absent_in,sample_genes
0010,4085,1,Liver,"Skin,Kidney,Lungs","---, A1BG, A2ML1, A2MP1, A3GALT2, A4GALT, AADACP1, ABCA7, ABCB10, ABCB4///ABCB1"
0100,3422,1,Kidney,"Skin,Liver,Lungs","AATK, ABCC10, ABCC12, ABCC3, ABHD14A///ACY1, ABHD17C, ABHD3, ABHD5, ABLIM1, ABRACL"
0001,3419,1,Lungs,"Skin,Kidney,Liver","1060P11.3///KIR2DS2///KIR2DL5B///KIR3DL3///KIR2DL5A///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS4///KIR2DS3///KIR2DS1///KIR2DL3///KIR2DL2///KIR2DL1///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS3///KIR2DL1, 1060P11.3///KIR2DS2///KIR2DL5B///KIR3DL3///KIR2DL5A///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS4///KIR2DS3///KIR2DS1///KIR2DL4///KIR2DL3///KIR2DL2///KIR2DL1///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS3///KIR2DL1, AADACL2-AS1, AAR2, AARS2, ABALON, ABCA11P, ABCA11P///ZNF141, ABCB7, ABCC5-AS1"
0110,2957,2,"Kidney,Liver","Skin,Lungs","A1CF, A4GNT, AADAC, AADACL2, AAK1, ABAT, ABCA1, ABCA12, ABCA9, ABCC11"
0111,2539,3,"Kidney,Liver,Lungs",Skin,"AASDHPPT, AASS, ABCA10, ABCA5, ABCB1, ABCC13, ABCC9, ABCD3, ABCE1, ABHD10"
0101,1963,2,"Kidney,Lungs","Skin,Liver","AADAT, AAED1, AAGAB, AAMDC, AARD, AASDH, ABCA4, ABCB8, ABCC5, ABCC8"
0011,1738,2,"Liver,Lungs","Skin,Kidney","A1BG-AS1, ABCA13, ABCA8, ABCB4, ABCC2, ABHD16A, ABHD17A, ABRA, ABTB3, ACADL"
1111,573,4,"Skin,Kidney,Liver,Lungs",(none),"ABCA6, ABR, ACAD8, ACADM, ACSS2, ACSS3, ACTG2, ACVRL1, ADAMTS3, ADAMTS4"
1000,553,1,Skin,"Kidney,Liver,Lungs","A2M-AS1, AAAS, AACSP1, ABHD8, ACSM1, ACSM4, ACTN3, ADAM20, ADAMTS12, ADGRB1"
1110,479,3,"Skin,Kidney,Liver",Lungs,"A2M, ABCB5, ABHD17B, ACOT2, ADA2, ADAM2, ADAMTS18, ADIPOQ, AFM, AGBL4"
1010,371,2,"Skin,Liver","Kidney,Lungs","ACTL7A, ACVR1C, ADAMTS16, ADAMTS2, ADCYAP1, ADGRL4, AHR, AKR1B15, ALDH3B2, ALDOC"
1011,348,3,"Skin,Liver,Lungs",Kidney,"ABCA2, ACADS, ACADSB, ACAN, ADAMDEC1, ADAMTSL2, ADGRA2, ADORA3, ADRA1A, ADRA1D"
1100,264,2,"Skin,Kidney","Liver,Lungs","ABCB11, ACTA1, ACTR3B, ADAP2, ADCY2, ADGRF5, ADGRL3, AHSA2P, ALDH1L1, ANKRD30A"
1001,246,2,"Skin,Lungs","Kidney,Liver","ACAA2, ACKR2, ADAM7-AS1, ADAMTS6, ADAMTS9-AS1, ALPK3, ANGPT2, AOC4P, APBA3, ASTN2-AS1"
1101,245,3,"Skin,Kidney,Lungs",Liver,"ABCA3, ABCD2, ABHD14A, ACSL1, ACTN4, ADAM12, ADAM19, ADCY8, ADH1B, AES"
