gene,kidney_logFC,kidney_adj_p_value,liver_logFC,liver_adj_p_value,lung_logFC,lung_adj_p_value,skin_logFC,skin_adj_p_value,is_ECM_gene,matrisome_category
AEBP1,1.67758834,0.000102,-1.07007992,0.0062103,-0.7989775,0.000162,-0.73168653,2.51e-07,True,ECM Glycoproteins
CCL19,1.6645841,0.00232,-1.47993455,0.0186169,-3.520365,1.89e-13,-1.50947281,1.74e-19,True,Secreted Factors
CCL2,2.17500819,1.47e-05,-1.8050286,0.04978,-2.5212675,8.69e-05,-1.43692,1e-17,True,Secreted Factors
CCL21,0.9320614,0.0033,-1.3596551,0.0033836,2.1132709,3.16e-13,-1.1466899,0.00107,True,Secreted Factors
CCL5,1.28174734,1.78e-06,-1.3291413,0.01146,1.6986755,6.65e-11,-1.28732668,1.17e-10,True,Secreted Factors
CD3D,0.9263287,0.000181,-0.82562977,0.0206647,1.386985,1.14e-10,-0.63981003,0.00206,False,
CD48,2.14640028,3.9e-08,-0.85546177,0.0010856,-1.189135,0.0002,-0.77635953,4.65e-09,False,
CFB,1.2222763,0.000486,1.6607728,0.03048,-1.7995491,6.15e-10,-0.62863209,3.86e-10,False,
CH25H,0.92065484,0.000692,-1.29958335,0.032577,0.9650686,0.00051,-0.95198533,1.02e-13,False,
COL15A1,2.19890718,6.62e-07,-0.60382602,0.0071231,-1.3335039,6.28e-29,-1.08431296,2.6899999999999997e-24,True,Collagens
COL1A1,1.75677827,1.68e-05,-1.2970953,0.03495,-1.77332415,8.23e-27,-1.39555934,1.02e-11,True,Collagens
COL1A2,2.65687138,1.2e-05,-1.1873626,0.00933,-1.05881,0.00561,-0.92280591,8.31e-09,True,Collagens
COL3A1,1.45801204,0.00078,-1.2277397,0.03495,-1.61665883,8.19e-25,-0.81357764,1.33e-07,True,Collagens
COLEC11,-0.6936599,0.0157,-0.73023411,0.0368862,-2.0706525,2.9e-06,-0.86930272,0.000534,True,ECM-affiliated Proteins
CORO1A,1.21135591,8.47e-05,-0.60202018,0.0135936,1.4075773,4.64e-11,-0.64369084,1.73e-08,False,
CPE,1.21484343,5.71e-05,-0.73739111,0.0014804,-0.72755826,3.39e-10,-0.7246665,0.000152,False,
CYP3A7,-1.10357721,0.000812,-2.27076228,0.0001936,2.2403525,5.54e-06,-1.5246944,0.0235,False,
FABP4,1.1770375,0.00812,-1.29313192,0.0047279,3.2476127,1.11e-07,-1.6617342,1.04e-11,False,
GEM,2.2,0.000964,-2.8216037,0.02528,-1.23767686,5.45e-20,-1.21508463,3.98e-35,False,
GFRA1,0.64427413,0.0197,0.89876625,0.024132,-0.81832284,4.74e-13,-0.9718428,0.00388,False,
HDAC7,1.06,0.00142,-1.2680699,0.04609,0.8662077,2.03e-16,-0.6370295,0.00232,False,
HLA-DPA1,0.66929765,0.000447,-2.7462923,0.01044,0.8431909,1.26e-10,-0.6557647,3.25e-07,False,
HSPB6,1.33,0.0203,-0.7717858,0.03126,1.1857723,1.74e-08,-0.93117698,3.43e-05,False,
IGHM,1.4485453,0.00856,-2.0887353,0.03835,-1.3059125,1.85e-06,-4.97355453,6.25e-32,False,
INMT,1.55,0.000723,-0.92946818,0.034647,1.4261375,1.43e-06,-0.88509554,7.2e-16,False,
ISLR,1.03459811,0.000824,-0.84942901,0.0062026,1.32894,8.3e-10,-1.3685904,5.55e-05,False,
