organ,gene,n_original,rho_original,p_original_adj,n_pooled,rho_pooled,p_pooled_adj,power_improved
Liver,AEBP1,10,0.5085133809309825,0.3334755086790493,87,0.451814171058131,7.835261814720127e-05,True
Liver,COL15A1,0,,,87,-0.0006120431641931,0.9957849458315742,False
Liver,COL1A1,10,-0.3368901148667759,0.4264386820368485,87,0.2827898179623701,0.0185633900380268,True
Liver,COL1A2,10,-0.3368901148667759,0.4264386820368485,87,0.2509200685075733,0.0333678571084494,True
Liver,COL3A1,10,0.5847903880706299,0.3334755086790493,87,0.1619796639964393,0.1562128615709281,False
Liver,SPP1,0,,,87,0.179356467252412,0.1562128615709281,False
Liver,VWF,10,0.1779796833258438,0.6227695474948177,87,0.3761439948503703,0.0011551508158797,True
Lung,AEBP1,10,-0.4666666666666666,0.4348464929126663,27,-0.0982966831744972,0.8545091788012277,False
Lung,COL15A1,0,,,27,-0.0481125224324688,0.8545091788012277,False
Lung,COL1A1,10,-0.1393939393939393,0.7009318849100584,27,-0.0596121820542112,0.8545091788012277,False
Lung,COL1A2,10,0.1393939393939393,0.7009318849100584,27,-0.1249319134540384,0.8545091788012277,False
Lung,COL3A1,10,0.709090909090909,0.1083296168376621,27,-0.0481970833629792,0.8545091788012277,False
Lung,SPP1,0,,,27,0.0721687836487032,0.8545091788012277,False
Lung,VWF,10,0.2969696969696969,0.6745027854502618,27,0.1794707183121466,0.8545091788012277,False
Skin,AEBP1,10,0.006060606060606,0.9867429111949892,58,0.36801932902968487,0.005226587874017984,True
Skin,COL15A1,0,,,58,0.6190034881463011,7.792375805556706e-07,True
Skin,COL1A1,10,-0.1272727272727272,0.9075712684534868,58,0.5906975130265318,2.4614370526602753e-06,True
Skin,COL1A2,10,-0.1393939393939393,0.9075712684534868,58,0.4858907332896435,0.0001931909737612549,True
Skin,COL3A1,10,0.3696969696969697,0.7326251882320558,58,0.385901242522757,0.003882961492762074,True
Skin,SPP1,0,,,58,0.12380069762926021,0.35450723830407055,False
Skin,VWF,10,0.5515151515151515,0.4920058833481748,58,0.6562400415153505,1.5672388548592605e-07,True
