gene,matrisome_division,matrisome_category,logFC_skin,adj_p_skin,logFC_kidney,adj_p_kidney,logFC_liver,adj_p_liver,logFC_lungs,adj_p_lungs,ensembl_id,eqtl_dataset_id
ADAMTS3,Matrisome-associated,ECM Regulators,-0.78132882,1.04e-10,-1.6110248,0.000924,1.376786,7.21e-07,-0.6646768,6.45e-07,ENSG00000156140,eqtl-a-ENSG00000156140
ADAMTS4,Matrisome-associated,ECM Regulators,-1.25140058,6.38e-17,-1.2907076,0.013,-1.32,4.97e-06,0.86596639,1.75e-05,ENSG00000158859,eqtl-a-ENSG00000158859
ADAMTS5,Matrisome-associated,ECM Regulators,-0.5994905,1.59e-09,0.8293416,6.45e-05,0.973,9.44e-07,-0.8701305,2.74e-05,ENSG00000154736,eqtl-a-ENSG00000154736
ADAMTS9,Matrisome-associated,ECM Regulators,-0.74034591,1.85e-19,1.4578395,0.00191,0.653,0.000416,-0.7004141,0.0122,ENSG00000163638,eqtl-a-ENSG00000163638
AEBP1,Core matrisome,ECM Glycoproteins,-0.73168653,2.51e-07,1.67758834,0.000102,1.65,9.36e-22,-1.1375456,3.96e-05,ENSG00000106624,eqtl-a-ENSG00000106624
ANGPT1,Matrisome-associated,Secreted Factors,-0.7084126,9.5e-12,1.1175397,0.000187,0.674,1.12e-05,-1.493596,9.24e-07,ENSG00000154188,eqtl-a-ENSG00000154188
ASPN,Core matrisome,Proteoglycans,-1.5953384,2.9200000000000003e-26,1.30770179,9.22e-05,2.51,5.8e-25,-2.87354942,8.21e-43,ENSG00000106819,eqtl-a-ENSG00000106819
BGN,Core matrisome,Proteoglycans,-1.05428224,5.54e-09,1.3,4.01e-05,1.73,1.9e-18,1.6897859,2.59e-14,ENSG00000182492,eqtl-a-ENSG00000182492
BMP1,Matrisome-associated,ECM Regulators,-0.66011388,3.72e-16,-1.6414568,0.000855,1.642421,3.04e-07,0.87506283,1.54e-09,ENSG00000168487,eqtl-a-ENSG00000168487
C1QB,Matrisome-associated,ECM-affiliated Proteins,-2.04480275,1.59e-34,2.12340911,6.14e-06,1.58,2.27e-10,1.8793668,1.38e-14,ENSG00000173369,eqtl-a-ENSG00000173369
C1QC,Matrisome-associated,ECM-affiliated Proteins,-1.60745222,6.22e-32,1.7838783,0.0134,1.755158,3.85e-06,1.8560909,7.26e-16,ENSG00000159189,eqtl-a-ENSG00000159189
CCL18,Matrisome-associated,Secreted Factors,-2.32784977,6.09e-08,1.03172662,0.000464,0.731,6.23e-05,-1.20803147,1.39e-13,ENSG00000275385,eqtl-a-ENSG00000275385
CCL19,Matrisome-associated,Secreted Factors,-1.50947281,1.74e-19,1.6645841,0.00232,3.78,3.61e-20,-3.520365,1.89e-13,ENSG00000172724,eqtl-a-ENSG00000172724
CCL2,Matrisome-associated,Secreted Factors,-1.43692,1e-17,2.17500819,1.47e-05,-2.27,2.98e-09,-2.5212675,8.69e-05,ENSG00000108691,eqtl-a-ENSG00000108691
CCL21,Matrisome-associated,Secreted Factors,-1.1466899,0.00107,0.9320614,0.0033,2.51,3.78e-19,2.1132709,3.16e-13,ENSG00000137077,eqtl-a-ENSG00000137077
CCL4,Matrisome-associated,Secreted Factors,-1.82764786,1.41e-13,1.18102508,0.000309,1.45,3.83e-10,0.7543223,0.000357,ENSG00000275302,eqtl-a-ENSG00000275302
CCL5,Matrisome-associated,Secreted Factors,-1.28732668,1.17e-10,1.28174734,1.78e-06,2.29,1.88e-18,1.6986755,6.65e-11,ENSG00000271503,eqtl-a-ENSG00000271503
CCN2,Core matrisome,ECM Glycoproteins,-2.18803938,1.52e-32,-1.665847,5e-05,-1.89,3.05e-07,-1.7984968,1.89e-07,ENSG00000118523,eqtl-a-ENSG00000118523
COL15A1,Core matrisome,Collagens,-1.08431296,2.6899999999999997e-24,2.19890718,6.62e-07,1.42,7.56e-07,-1.3335039,6.28e-29,ENSG00000204291,eqtl-a-ENSG00000204291
COL1A1,Core matrisome,Collagens,-1.299026,1.44e-17,1.75677827,1.68e-05,-2.25,1.15e-16,-1.77332415,8.23e-27,ENSG00000108821,eqtl-a-ENSG00000108821
COL1A2,Core matrisome,Collagens,-0.64727756,3.42e-10,2.65687138,1.2e-05,2.29,8.34e-20,-1.05881,0.00561,ENSG00000164692,eqtl-a-ENSG00000164692
COL3A1,Core matrisome,Collagens,-0.96693176,1.48e-12,3.3215404,0.00010849,-1.11,8.33e-13,-1.61665883,8.19e-25,ENSG00000168542,eqtl-a-ENSG00000168542
COL4A1,Core matrisome,Collagens,-1.48041916,1.04e-44,-1.403906,1.29e-05,2.24,5.79e-17,-1.4796275,1.76e-07,ENSG00000187498,eqtl-a-ENSG00000187498
COL4A2,Core matrisome,Collagens,-1.10593268,2.25e-20,-1.2185731,7.65e-06,2.47,7.47e-19,-1.6538911,1.2e-08,ENSG00000134871,eqtl-a-ENSG00000134871
COL5A2,Core matrisome,Collagens,-1.36821426,2.6899999999999997e-24,1.63287273,1.08e-06,1.17,1.18e-09,-1.8825305,2.1e-14,ENSG00000204262,eqtl-a-ENSG00000204262
COL6A3,Core matrisome,Collagens,-1.51928913,5.23e-41,2.0573452,0.000224,1.84,3.5e-14,-1.0107487,8.26e-17,ENSG00000163359,eqtl-a-ENSG00000163359
