gene,kidney_logFC,kidney_adj_p_value,liver_logFC,liver_adj_p_value,lung_logFC,lung_adj_p_value,skin_logFC,skin_adj_p_value,is_ECM_gene,matrisome_category
ADAMTS4,-1.2907076,0.013,-1.32,4.97e-06,0.86596639,1.75e-05,-1.25140058,6.38e-17,True,ECM Regulators
AEBP1,1.67758834,0.000102,-1.57,2.18e-09,-0.7989775,0.000162,-0.73168653,2.51e-07,True,ECM Glycoproteins
BGN,1.3,4.01e-05,-0.902,2.37e-07,1.6897859,2.59e-14,-1.05428224,5.54e-09,True,Proteoglycans
C1QB,2.12340911,6.14e-06,-1.17,0.000285,1.8793668,1.38e-14,-2.04480275,1.59e-34,True,ECM-affiliated Proteins
C1QC,1.7838783,0.0134,-1.15,0.000994,1.8560909,7.26e-16,-1.60745222,6.22e-32,True,ECM-affiliated Proteins
CCL18,1.03172662,0.000464,-0.707,0.000648,-1.20803147,1.39e-13,-2.32784977,6.09e-08,True,Secreted Factors
CCL19,1.6645841,0.00232,-1.46,2.56e-05,-3.520365,1.89e-13,-1.50947281,1.74e-19,True,Secreted Factors
CCL2,2.17500819,1.47e-05,-2.27,2.98e-09,-2.5212675,8.69e-05,-1.43692,1e-17,True,Secreted Factors
CCL21,0.9320614,0.0033,-1.55,6.46e-07,2.1132709,3.16e-13,-1.1466899,0.00107,True,Secreted Factors
CCL4,1.18102508,0.000309,-1.35,1.74e-08,0.7543223,0.000357,-1.82764786,1.41e-13,True,Secreted Factors
CCL5,1.28174734,1.78e-06,-1.04,3.82e-09,1.6986755,6.65e-11,-1.28732668,1.17e-10,True,Secreted Factors
COL15A1,2.19890718,6.62e-07,-1.06,0.0024,-1.3335039,6.28e-29,-1.08431296,2.6899999999999997e-24,True,Collagens
COL1A1,1.75677827,1.68e-05,-2.25,1.15e-16,-1.77332415,8.23e-27,-1.39555934,1.02e-11,True,Collagens
COL1A2,2.65687138,1.2e-05,-1.3,6.17e-11,-1.05881,0.00561,-0.92280591,8.31e-09,True,Collagens
COL3A1,1.45801204,0.00078,-1.11,8.33e-13,-1.61665883,8.19e-25,-0.81357764,1.33e-07,True,Collagens
COL6A3,2.0573452,0.000224,-0.679,3.42e-06,-1.0107487,8.26e-17,-1.51928913,5.23e-41,True,Collagens
COLEC11,-0.6936599,0.0157,-0.695,2.22e-05,-2.0706525,2.9e-06,-0.86930272,0.000534,True,ECM-affiliated Proteins
CTSS,1.4322483,4.94e-07,-0.691,3.92e-07,-1.2954109,1.21e-11,-0.76136234,9.54e-12,True,ECM Regulators
F13A1,1.29036425,0.00659,-1.05,3.15e-05,-1.1844791,1.55e-06,-0.75520201,2.76e-12,True,ECM Regulators
FBN1,0.98766503,9.93e-06,-0.744,2.32e-06,-2.3309555,3.66e-14,-0.73902208,8.59e-09,True,ECM Glycoproteins
