gene_symbol,gene_name,matrisome_category,discovery_status,val1_concordant_organs,val1_significant_organs,val2_concordant_organs,val2_significant_organs,val2_survived_before_ml,ml_stability_seeds,ml_diagnostic_auc,final_tier_after_ml,biological_role_and_mechanism
COL15A1,Collagen Type XV Alpha 1 Chain,Collagens,Pass (4/4 Organs),4/4,2/4,4/4,4/4,YES (Replicated in 4/4 organs),5/5,0.8430,Tier 1 (Full-Spectrum),#1 Ranked Universal Matrix Hub; Basement membrane structural organizer
COL1A1,Collagen Type I Alpha 1 Chain,Collagens,Pass (4/4 Organs),4/4,2/4,2/4,2/4,YES (Replicated in 2/4 organs),5/5,0.7904,Tier 1 (Full-Spectrum),Canonical Major Fibrillar Collagen; Direct driver of tissue mechanical stiffness
SERPINE2,Serpin Family E Member 2,ECM Regulators,Pass (4/4 Organs),4/4,2/4,4/4,3/4,YES (Replicated in 3/4 organs),4/5,0.7864,Tier 1 (Full-Spectrum),Protease Nexin-1; Upregulated serine protease inhibitor halting matrix degradation
SERPINF2,Serpin Family F Member 2,ECM Regulators,Pass (4/4 Organs),4/4,1/4,2/4,2/4,YES (Replicated in 2/4 organs),5/5,0.7635,Tier 1 (Full-Spectrum),Alpha-2-Antiplasmin; Conserved downregulation permitting systemic fibrotic remodeling
COL3A1,Collagen Type III Alpha 1 Chain,Collagens,Pass (4/4 Organs),4/4,2/4,4/4,3/4,YES (Replicated in 3/4 organs),3/5,0.7815,Tier 2 (Validation-Only),Major fibrillar collagen co-polymerizing with COL1A1 in early repair
COL1A2,Collagen Type I Alpha 2 Chain,Collagens,Pass (4/4 Organs),4/4,2/4,4/4,3/4,YES (Replicated in 3/4 organs),0/5,0.6870,Tier 2 (Validation-Only),Heterotrimeric partner of COL1A1 in type I collagen triple helix
LTBP2,Latent TGF-Beta Binding Protein 2,ECM Glycoproteins,Pass (4/4 Organs),4/4,2/4,2/4,2/4,YES (Replicated in 2/4 organs),0/5,0.6827,Tier 2 (Validation-Only),Microfibril assembly modulator and TGF-beta sequestration hub
LAMC3,Laminin Subunit Gamma 3,ECM Glycoproteins,Pass (4/4 Organs),4/4,1/4,2/4,2/4,YES (Replicated in 2/4 organs),2/5,0.6801,Tier 2 (Validation-Only),Basement membrane glycoprotein essential for cell-matrix anchorage
CLEC2D,C-Type Lectin Domain Family 2 Member D,ECM-Affiliated Proteins,Pass (4/4 Organs),4/4,1/4,2/4,2/4,YES (Replicated in 2/4 organs),1/5,0.6717,Tier 2 (Validation-Only),Immune-matrix lectin receptor mediating tissue inflammatory crosstalk
PDGFD,Platelet Derived Growth Factor D,Secreted Factors,Pass (4/4 Organs),4/4,1/4,2/4,2/4,YES (Replicated in 2/4 organs),0/5,0.6161,Tier 2 (Validation-Only),Potent myofibroblast mitogen and driver of mesenchymal proliferation
CCL2,C-C Motif Chemokine Ligand 2,Secreted Factors,Pass (4/4 Organs),4/4,1/4,4/4,3/4,YES (Replicated in 3/4 organs),1/5,0.6134,Tier 2 (Validation-Only),MCP-1; Primary pro-inflammatory chemokine recruiting profibrotic monocytes
