gene,organ,instrument_source,n_instruments,IVW_beta,IVW_p,Egger_beta,Egger_p,WeightedMedian_beta,WeightedMedian_p,Egger_intercept_p,Cochran_Q_p,F_statistic,verdict
PLXNA3,Liver,GTEx,1,0.03727337655900915,0.4572677967038741,,,,,,,58.78097648938919,Not Significant (IVW p>=0.05)
LEFTY2,Lung,GTEx,1,-0.9186415795751532,0.16364156815050768,,,,,,,52.02376370634596,Not Significant (IVW p>=0.05)
LEFTY2,Lung,GTEx,1,0.2932558463045672,0.03251930304396418,,,,,,,52.02376370634596,Single instrument - Unable to assess pleiotropy
SEMA3E,Lung,GTEx,1,0.03426387430771485,0.7723104279344357,,,,,,,92.51583619533882,Not Significant (IVW p>=0.05)
COLEC10,Lung,GTEx,1,0.03406921389338882,0.6289423050689427,,,,,,,100.61359050980414,Not Significant (IVW p>=0.05)
MDK,Lung,GTEx,1,-0.40437509052645926,0.04126133019561899,,,,,,,39.602309010865255,Single instrument - Unable to assess pleiotropy
WIF1,Lung,GTEx,1,-0.06648242230095709,0.5990391765954608,,,,,,,56.17068409017143,Not Significant (IVW p>=0.05)
SRPX,Lung,GTEx,1,0.22546980132369387,0.12045447434485328,,,,,,,49.40709544718403,Not Significant (IVW p>=0.05)
PLXNA3,Lung,GTEx,1,-0.21520403938167093,0.043312773163199474,,,,,,,126.69945391018967,Single instrument - Unable to assess pleiotropy
EFEMP1,Skin,GTEx,1,-0.2995426585193315,0.3021503846915251,,,,,,,51.65396857245359,Not Significant (IVW p>=0.05)
IL1A,Skin,GTEx,1,0.08280993852459016,0.5239883618062672,,,,,,,111.74893581257668,Not Significant (IVW p>=0.05)
ADAMTS3,Skin,GTEx,1,0.022443444860605843,0.9360776000319769,,,,,,,74.03463958927287,Not Significant (IVW p>=0.05)
SPARCL1,Skin,GTEx,1,-0.096757070581405,0.7865720334485852,,,,,,,67.85210880686802,Not Significant (IVW p>=0.05)
PRSS12,Skin,GTEx,1,-0.5345735365725172,0.046008312530672106,,,,,,,52.40811086187588,Single instrument - Unable to assess pleiotropy
BGN,Skin,GTEx,1,-0.025788583420481903,0.9019341627861426,,,,,,,126.41397218204365,Not Significant (IVW p>=0.05)
PLXNA3,Skin,GTEx,1,0.013738045469111521,0.9374722721443977,,,,,,,176.56038829082382,Not Significant (IVW p>=0.05)
