"gene","organ","n_instruments","IVW_beta","IVW_p","Egger_beta","Egger_p","WeightedMedian_beta","WeightedMedian_p","Egger_intercept_p","Cochran_Q_p","F_statistic","verdict"
"ADAMTS3","Liver",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"ADAMTS3","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"ADAMTS3","Lung",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"ADAMTS3","Skin",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"ADAMTS4","Liver",1,-1.35028869787004,0.0107090819420796,NA,NA,NA,NA,NA,NA,37.60265041,"Pass (Single instrument - Clean Wald Ratio)"
"ADAMTS4","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"ADAMTS4","Lung",1,1.23604279624135,0.119856429761666,NA,NA,NA,NA,NA,NA,37.60265041,"Not Significant (IVW p>=0.05)"
"ADAMTS4","Skin",1,1.61721493724879,0.252817009538766,NA,NA,NA,NA,NA,NA,37.60265041,"Not Significant (IVW p>=0.05)"
"ADAMTS5","Liver",1,-0.840102691873411,0.221315043676284,NA,NA,NA,NA,NA,NA,121.90809744,"Not Significant (IVW p>=0.05)"
"ADAMTS5","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"ADAMTS5","Lung",1,-0.680023502384065,0.488373119445265,NA,NA,NA,NA,NA,NA,121.90809744,"Not Significant (IVW p>=0.05)"
"ADAMTS5","Skin",1,-2.6285571771759,0.133761776354434,NA,NA,NA,NA,NA,NA,121.90809744,"Not Significant (IVW p>=0.05)"
"ADAMTS9","Liver",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"ADAMTS9","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"ADAMTS9","Lung",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"ADAMTS9","Skin",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"AEBP1","Liver",1,-0.0848907293804518,0.574893159668693,NA,NA,NA,NA,NA,NA,493.48845316,"Not Significant (IVW p>=0.05)"
"AEBP1","Kidney",1,0.222536523320591,0.0455002638963584,NA,NA,NA,NA,NA,NA,493.48845316,"Pass (Single instrument - Clean Wald Ratio)"
"AEBP1","Lung",1,-0.164891218660934,0.440996464466055,NA,NA,NA,NA,NA,NA,493.48845316,"Not Significant (IVW p>=0.05)"
"AEBP1","Skin",1,0.0253699286278463,0.947004358279711,NA,NA,NA,NA,NA,NA,493.48845316,"Not Significant (IVW p>=0.05)"
"ANGPT1","Liver",1,0.0385475060292381,0.638295893910707,NA,NA,NA,NA,NA,NA,2216.56406416,"Not Significant (IVW p>=0.05)"
"ANGPT1","Kidney",1,0.0930110656047634,0.0955807045456294,NA,NA,NA,NA,NA,NA,2216.56406416,"Not Significant (IVW p>=0.05)"
"ANGPT1","Lung",1,0.0577360609077632,0.619829528414235,NA,NA,NA,NA,NA,NA,2216.56406416,"Not Significant (IVW p>=0.05)"
"ANGPT1","Skin",1,0.233922085907455,0.25804293816823,NA,NA,NA,NA,NA,NA,2216.56406416,"Not Significant (IVW p>=0.05)"
"ASPN","Liver",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"ASPN","Kidney",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"ASPN","Lung",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
"ASPN","Skin",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No eQTLGen instruments available (Logged)"
