gene,organ,instrument_source,n_instruments,IVW_beta,IVW_p,IVW_p_adj,Egger_p,Cochran_Q_p,F_statistic,verdict
ADAMTS3,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
ADAMTS3,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
ADAMTS3,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
ADAMTS3,Skin,GTEx,1,0.0224434448606058,0.9360776000319768,0.983344746747594,,,74.03463958927287,Not Significant (IVW p>=0.05)
ADAMTS4,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
ADAMTS4,Liver,eQTLGen,1,-1.35028869787004,0.0107090819420796,0.43035129485661155,,,37.60265041,Single instrument - Unable to assess pleiotropy
ADAMTS4,Lung,eQTLGen,1,1.23604279624135,0.119856429761666,0.7494838063920984,,,37.60265041,Not Significant (IVW p>=0.05)
ADAMTS4,Skin,eQTLGen,1,1.61721493724879,0.252817009538766,0.9160524304972164,,,37.60265041,Not Significant (IVW p>=0.05)
ADAMTS5,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
ADAMTS5,Liver,eQTLGen,1,-0.840102691873411,0.221315043676284,0.8894359302461979,,,121.90809744,Not Significant (IVW p>=0.05)
ADAMTS5,Lung,eQTLGen,1,-0.680023502384065,0.488373119445265,0.9177578274973505,,,121.90809744,Not Significant (IVW p>=0.05)
ADAMTS5,Skin,eQTLGen,1,-2.6285571771759,0.133761776354434,0.7562254959505167,,,121.90809744,Not Significant (IVW p>=0.05)
ADAMTS9,Kidney,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
ADAMTS9,Liver,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
ADAMTS9,Lung,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
ADAMTS9,Skin,None,0,,,,,,,No instruments available in eQTLGen or GTEx v8
AEBP1,Kidney,eQTLGen,1,0.222536523320591,0.0455002638963584,0.5157773983701662,,,493.48845316,Single instrument - Unable to assess pleiotropy
AEBP1,Liver,eQTLGen,1,-0.0848907293804518,0.574893159668693,0.9421441841255442,,,493.48845316,Not Significant (IVW p>=0.05)
AEBP1,Lung,eQTLGen,1,-0.164891218660934,0.440996464466055,0.9177578274973505,,,493.48845316,Not Significant (IVW p>=0.05)
AEBP1,Skin,eQTLGen,1,0.0253699286278463,0.947004358279711,0.983344746747594,,,493.48845316,Not Significant (IVW p>=0.05)
ANGPT1,Kidney,eQTLGen,1,0.0930110656047634,0.0955807045456294,0.7020237954558298,,,2216.56406416,Not Significant (IVW p>=0.05)
ANGPT1,Liver,eQTLGen,1,0.0385475060292381,0.638295893910707,0.9518464441872757,,,2216.56406416,Not Significant (IVW p>=0.05)
ANGPT1,Lung,eQTLGen,1,0.0577360609077632,0.619829528414235,0.9430263539445146,,,2216.56406416,Not Significant (IVW p>=0.05)
ANGPT1,Skin,eQTLGen,1,0.233922085907455,0.25804293816823,0.9160524304972164,,,2216.56406416,Not Significant (IVW p>=0.05)
