gene,kidney_logFC,kidney_adj_p_value,liver_logFC,liver_adj_p_value,lung_logFC,lung_adj_p_value,skin_logFC,skin_adj_p_value,is_ECM_gene,matrisome_category
ABCA2,0.754,0.0184,-0.9464594,2.15E-06,0.7241173,2.99E-13,-0.7888702,0.00115,FALSE,
ABR,0.804,0.00789,-0.7817231,1.22E-11,0.6243914,1.17E-09,-0.6852117,0.000853,FALSE,
ACVRL1,1.11,0.00238,-0.6962237,0.000663,1.08757686,4.87E-26,-0.8758795,2.86E-05,FALSE,
ADAMTS4,0.607,0.0483,-1.0955597,5.29E-05,0.86596639,1.75E-05,-1.25140058,6.38E-17,TRUE,ECM Regulators
AEBP1,1.67758834,0.000102,-1.4481006,3.25E-08,-0.7989775,0.000162,-0.73168653,2.51E-07,TRUE,ECM Glycoproteins
AK1,1.06,0.000132,-0.6247377,7.05E-05,0.8675318,1.32E-08,-0.6665455,0.000208,FALSE,
ALDH1A3,0.93936967,0.00405,-0.6724844,0.000513,-0.83635418,1.58E-17,-0.64415251,2.84E-12,FALSE,
ALOX5AP,0.7558053,0.00954,-0.8548185,1.25E-05,2.1277095,8.21E-15,-0.71136016,2.93E-08,FALSE,
APOE,-0.6189439,0.0367,-0.8193506,0.000566,-0.9451025,0.0182,-1.5840227,1.03E-05,FALSE,
ARHGDIA,1.07,0.00139,-0.8665498,1.78E-05,1.0882795,6.33E-16,-0.801239,5.75E-05,FALSE,
ARPC1B,1.01528997,5.34E-07,-1.038096,6.81E-08,1.5068918,1.27E-12,-0.76150055,1.76E-22,FALSE,
ATN1,0.747,0.023,-0.6230259,2.23E-05,1.1409055,2.02E-14,-0.6569725,0.00144,FALSE,
ATP13A2,1.06,0.00345,-0.8898458,0.000134,0.8105005,2.22E-11,-0.722155,0.0033,FALSE,
AXL,0.64941235,0.00108,-0.8123497,1.41E-06,0.710175,2.38E-08,-0.6616573,1.95E-05,FALSE,
B3GNT7,0.826,0.0271,-1.005824,7.93E-06,0.8579364,2.52E-10,-0.61661257,1.29E-08,FALSE,
BCAT1,0.69831977,0.000101,-1.1336473,1.32E-06,-1.8281532,3.52E-11,-0.73335406,1.26E-09,FALSE,
BCL6B,2,0.000104,-0.64408,3.08E-06,1.1357414,9.12E-11,-0.6093325,8.86E-11,FALSE,
BGN,1.3,4.01E-05,-0.9240678,2.03E-07,1.6897859,2.59E-14,-1.05428224,5.54E-09,TRUE,Proteoglycans
BIRC3,0.61156787,0.00114,-0.608069,0.000527,-2.5476009,2.70E-14,-0.63877663,8.51E-07,FALSE,
BTBD2,0.654019,0.00487,-0.7747797,0.000622,1.5337159,7.04E-17,-1.1133308,0.000527,FALSE,
C1QB,2.12340911,6.14E-06,-1.1519683,0.000269,1.8793668,1.38E-14,-2.04480275,1.59E-34,TRUE,ECM-affiliated Proteins
C1QC,1.7838783,0.0134,-1.1889462,0.000498,1.8560909,7.26E-16,-1.60745222,6.22E-32,TRUE,ECM-affiliated Proteins
C5AR1,1.55,0.0267,-1.2330424,8.88E-07,0.9132486,9.07E-09,-1.12105938,1.64E-16,FALSE,
CCL18,1.03172662,0.000464,-0.6288626,0.00338,-1.20803147,1.39E-13,-2.32784977,6.09E-08,TRUE,Secreted Factors
CCL19,1.6645841,0.00232,-1.2630981,0.000138,-3.520365,1.89E-13,-1.50947281,1.74E-19,TRUE,Secreted Factors
CCL2,2.17500819,1.47E-05,-1.2947622,1.20E-05,-2.5212675,8.69E-05,-1.43692,1.00E-17,TRUE,Secreted Factors
CCL21,0.9320614,0.0033,-1.4308414,9.03E-07,2.1132709,3.16E-13,-1.1466899,0.00107,TRUE,Secreted Factors
CCL4,1.18102508,0.000309,-1.0843025,5.07E-06,0.7543223,0.000357,-1.82764786,1.41E-13,TRUE,Secreted Factors
CCL5,1.28174734,1.78E-06,-0.9109705,1.00E-06,1.6986755,6.65E-11,-1.28732668,1.17E-10,TRUE,Secreted Factors
CCR5,0.8822004,0.000184,-0.6990972,2.46E-06,-1.5909175,5.82E-05,-1.12583403,3.16E-10,FALSE,
CD3D,0.9263287,0.000181,-0.7874338,7.20E-05,1.386985,1.14E-10,-0.63981003,0.00206,FALSE,
CD48,2.14640028,3.90E-08,-0.7340383,5.33E-06,-1.189135,0.0002,-0.77635953,4.65E-09,FALSE,
CD68,0.80270187,0.00127,-0.8077054,0.000916,1.2655705,1.90E-11,-0.97327443,2.41E-21,FALSE,
CD79B,1.01,0.028,-0.8936724,7.13E-05,-0.7056625,0.00295,-0.66351847,5.67E-07,FALSE,
CD93,0.60098119,0.00314,-0.7650483,1.84E-05,1.1271095,1.75E-12,-1.22708091,3.87E-39,FALSE,
CH25H,0.92065484,0.000692,-1.8860427,7.72E-07,0.9650686,0.00051,-0.95198533,1.02E-13,FALSE,
CHI3L1,-1.9005463,2.67E-05,-2.3970925,1.23E-08,-1.57505,1.47E-06,-1.5186154,0.000555,FALSE,
CMTM3,0.9619815,0.0191,-0.8072148,3.63E-08,1.5596841,8.56E-16,-0.61355463,1.41E-12,FALSE,
COL15A1,2.19890718,6.62E-07,-0.9013491,0.00534,-1.3335039,6.28E-29,-1.08431296,2.69E-24,TRUE,Collagens
COL1A1,1.75677827,1.68E-05,-2.106509,5.94E-14,-1.77332415,8.23E-27,-1.39555934,1.02E-11,TRUE,Collagens
COL1A2,2.65687138,1.20E-05,-1.2015118,2.41E-09,-1.05881,0.00561,-0.92280591,8.31E-09,TRUE,Collagens
COL3A1,1.45801204,0.00078,-0.9811758,1.17E-09,-1.61665883,8.19E-25,-0.81357764,1.33E-07,TRUE,Collagens
COL6A3,2.0573452,0.000224,-0.6273797,8.54E-06,-1.0107487,8.26E-17,-1.51928913,5.23E-41,TRUE,Collagens
COLEC11,-0.6936599,0.0157,-0.709783,1.30E-05,-2.0706525,2.90E-06,-0.86930272,0.000534,TRUE,ECM-affiliated Proteins
CORO1A,1.21135591,8.47E-05,-1.3407594,2.71E-08,1.4075773,4.64E-11,-0.64369084,1.73E-08,FALSE,
CPE,1.21484343,5.71E-05,-0.73739111,0.0014804,-0.72755826,3.39E-10,-0.7246665,0.000152,FALSE,
CSF2RB,0.8523944,0.00266,-0.8664777,2.03E-06,0.8760205,5.30E-08,-0.59754227,3.09E-09,FALSE,
CYBB,1.5594541,1.92E-07,-0.7134118,0.000177,-1.0912355,2.85E-08,-1.3484662,4.88E-22,FALSE,
CYP3A7,-1.10357721,0.000812,-2.27076228,0.0001936,2.2403525,5.54E-06,-1.5246944,0.0235,FALSE,
DAPK3,0.843,0.0217,-1.0268603,1.00E-06,0.9033582,5.04E-13,-1.81076,9.41E-06,FALSE,
DOC2B,1.32,0.0466,-0.5865065,0.0134,1.2948464,1.91E-14,-0.64089482,4.40E-11,FALSE,
DOK2,0.629041,3.02E-05,-1.0916422,6.26E-07,0.8270873,1.28E-06,-0.75055613,1.27E-10,FALSE,
DUSP1,-1.9691702,2.51E-09,-1.283514,5.17E-05,0.82535854,3.54E-09,-0.7249346,0.01,FALSE,
DYRK1B,0.7078553,0.00237,-0.6494766,1.17E-05,0.6484986,2.96E-10,-1.1071988,0.0475,FALSE,
EMP3,1.19751633,1.79E-08,-0.9605345,1.13E-08,1.6205327,9.00E-13,-1.2672662,0.00011,FALSE,
ENG,1.51,1.76E-05,-0.9396383,1.71E-06,1.6983564,8.18E-16,-0.77605075,5.47E-11,FALSE,
F13A1,1.29036425,0.00659,-0.8901881,0.00026,-1.1844791,1.55E-06,-0.75520201,2.76E-12,TRUE,ECM Regulators
FABP4,1.1770375,0.00812,-2.1810066,2.41E-09,3.2476127,1.11E-07,-1.6617342,1.04E-11,FALSE,
FAM167B,1.51,0.0125,-0.7498997,0.0234,1.2400618,1.12E-10,-0.59994405,8.99E-05,FALSE,
FASN,0.82,0.0179,-1.0255399,6.37E-05,1.61349847,1.86E-30,1.2587847,0.027,FALSE,
FBN1,0.98766503,9.93E-06,-0.6351137,5.07E-05,-2.3309555,3.66E-14,-0.73902208,8.59E-09,TRUE,ECM Glycoproteins
FCER1G,1.55608599,1.09E-07,-0.656773,0.00158,1.3679036,1.15E-10,-0.81640598,1.04E-11,FALSE,
FGR,0.84842273,0.00121,-0.7707338,7.84E-08,0.91302931,2.67E-26,-0.65685187,5.11E-15,FALSE,
FMOD,1.07161347,5.67E-05,-0.7566551,4.37E-05,1.1440941,6.13E-11,-0.66194003,5.70E-14,TRUE,Proteoglycans
FXYD5,1.14398213,2.54E-10,-0.9419314,3.70E-06,0.6980845,8.22E-09,-1.0619305,0.000213,FALSE,
GEM,2.2,0.000964,-1.7163509,1.42E-07,-1.23767686,5.45E-20,-1.21508463,3.98E-35,FALSE,
GFRA1,0.64427413,0.0197,0.89876625,0.024132,-0.81832284,4.74E-13,-0.9718428,0.00388,FALSE,
GGT5,0.83980963,0.00185,-1.1650169,2.81E-08,-0.7086182,5.82E-05,-0.97769839,4.81E-15,FALSE,
GJA5,0.978,0.00111,-0.9177183,0.00146,0.6335336,0.00562,-1.5525562,6.24E-20,FALSE,
GLIS2,1.03,0.000708,-1.1938026,1.58E-07,0.7355264,6.08E-11,-0.81001225,5.36E-08,FALSE,
GPR4,1.91,1.66E-06,-0.6799518,0.000995,1.18569767,3.46E-26,-1.07927336,4.00E-12,FALSE,
GZMA,1.94342639,6.14E-08,-0.676719,8.18E-05,0.87682,4.30E-05,-1.5315411,2.64E-12,FALSE,
GZMH,0.76971507,0.000864,-0.7834142,0.000261,0.7092845,3.56E-07,-1.16875464,3.98E-07,FALSE,
GZMK,1.59463905,4.47E-06,-0.8086997,3.73E-05,-0.78549422,1.19E-07,-1.61032198,4.92E-12,FALSE,
HBA2,2.9062137,1.15E-06,-2.3907114,1.20E-09,-1.326445,0.0373,0.94620137,0.00621,FALSE,
HBB,3.6413911,1.51E-08,-1.376283,4.30E-06,2.3823018,4.36E-06,1.07045724,0.00311,FALSE,
HCK,1.77563723,2.61E-06,-0.8922231,2.02E-07,0.59490073,3.89E-08,-0.82657298,1.60E-14,FALSE,
HCLS1,1.1488022,4.22E-05,-0.7476783,2.74E-10,0.7483149,8.57E-18,-0.78830078,2.23E-17,FALSE,
HDAC7,1.06,0.00142,-0.7521225,8.27E-08,0.8662077,2.03E-16,-0.6370295,0.00232,FALSE,
HLA-DMA,0.62704507,0.00107,-0.7958664,3.45E-07,1.6573577,2.14E-14,-0.66956515,7.73E-11,FALSE,
HLA-DMB,0.90310336,4.20E-05,-0.9656268,1.98E-08,0.6591555,1.08E-05,-0.69818661,1.56E-10,FALSE,
HLA-DPA1,0.66929765,0.000447,-1.0093179,1.62E-07,0.8431909,1.26E-10,-0.6557647,3.25E-07,FALSE,
HS3ST2,0.64850567,0.0124,-1.2305094,5.78E-05,-1.9559329,0.005876,-0.6992861,0.00157,FALSE,
HSPB6,1.33,0.0203,-1.1759346,1.18E-05,1.1857723,1.74E-08,-0.93117698,3.43E-05,FALSE,
ICAM1,1.27,0.0028,-0.8305269,0.000102,1.6422855,1.34E-08,-0.88508485,8.48E-16,FALSE,
IFITM1,0.77549777,0.00327,-0.6449931,0.0027,1.9680064,1.09E-11,-0.72637156,4.90E-09,FALSE,
IFITM2,0.896607,0.00462,-0.670485,0.0022,0.8450005,4.18E-08,-0.59047873,1.41E-12,FALSE,
IGF1,-1.67020229,0.00024,0.624215,0.00119,-1.9659032,1.39E-11,-1.46347599,1.97E-33,TRUE,Secreted Factors
IGHM,1.4485453,0.00856,-0.9262856,0.00414,-1.3059125,1.85E-06,-4.97355453,6.25E-32,FALSE,
IGKC,2.2697963,0.00859,-1.0006846,0.000255,-1.18760196,1.30E-17,-3.00104428,4.28E-13,FALSE,
IGSF3,0.6140758,0.0491,-0.8848813,1.30E-05,0.7797305,1.14E-10,0.6123282,3.27E-05,FALSE,
IL32,1.05169189,9.67E-05,-1.5338479,4.70E-11,2.0251741,2.66E-16,-0.85490311,1.06E-09,FALSE,
INMT,1.55,0.000723,-0.9219375,1.28E-05,1.4261375,1.43E-06,-0.88509554,7.20E-16,FALSE,
ISLR,1.03459811,0.000824,-1.0900875,4.41E-07,1.32894,8.30E-10,-1.3685904,5.55E-05,FALSE,
ITGB4,0.6613426,0.0344,-0.957251,0.000311,-0.88878708,2.13E-17,-1.1008732,2.09E-05,FALSE,
JAK3,0.676,0.0241,-0.9126649,1.12E-07,-0.8322825,0.00382,-1.44575376,1.11E-23,FALSE,
JCHAIN,1.66909789,0.0202,-1.40032795,0.0065752,-1.34238042,7.80E-19,-2.45752384,4.43E-11,FALSE,
KRT7,1.71869423,0.0011,-1.2294714,2.21E-06,0.985805,2.61E-06,-0.7478173,0.0397,FALSE,
LAMC3,0.62190975,0.000713,-1.8243098,2.60E-11,0.73075977,9.65E-16,0.68068461,5.98E-08,TRUE,ECM Glycoproteins
LCN2,1.0420901,0.00746,-0.9750636,0.00277,-0.86473163,2.42E-07,-1.0299168,0.00872,FALSE,
LGALS3BP,0.626326,0.0163,-0.786386,0.000186,0.6717586,0.000106,-0.99722869,8.50E-19,FALSE,
LILRB2,1.01563747,2.66E-06,-0.7082261,6.95E-05,0.67781082,2.48E-14,-1.01724562,4.71E-12,FALSE,
LPL,-1.3762234,4.70E-05,-1.9647618,1.12E-07,0.7899801,3.36E-10,-1.93654267,1.56E-14,FALSE,
LRRC32,2.17,3.91E-06,-0.8327578,3.28E-06,1.0055108,1.65E-21,-1.410507,6.09E-26,FALSE,
LTB,1.2828954,0.000313,-1.5219532,7.99E-09,-2.3211425,1.73E-08,-0.78494861,9.99E-07,TRUE,Secreted Factors
LTBP4,1.02,0.0131,-1.2539122,1.12E-08,0.9918055,1.54E-11,0.6687413,3.40E-08,TRUE,ECM Glycoproteins
LTF,3.285713,3.10E-07,-0.6727907,0.0103,-2.0040382,0.000195,-2.54049199,1.12E-11,FALSE,
LUM,1.3170638,0.00778,-0.993668,0.00011,-0.94466129,4.88E-21,-1.81325366,1.98E-22,TRUE,Proteoglycans
LY96,1.34238051,6.14E-06,-0.6765066,8.85E-05,2.2425795,3.89E-15,-0.75886169,1.14E-13,FALSE,
LYVE1,1.03768844,0.000281,0.74569738,0.0016664,0.78192501,4.68E-07,-1.5256661,7.77E-05,FALSE,
LYZ,2.79007982,2.16E-06,-1.3546337,9.44E-10,0.6459636,0.000109,-0.98360315,1.28E-09,FALSE,
