gene,kidney_logFC,kidney_adj_p_value,liver_logFC,liver_adj_p_value,lung_logFC,lung_adj_p_value,skin_logFC,skin_adj_p_value,is_ECM_gene,matrisome_category
ABCA2,0.754,0.0184,-0.808,2.02e-05,0.7241173,2.99e-13,-0.7888702,0.00115,False,
ABR,-1.0904261,0.00166,-0.8,4.12e-13,0.6243914,1.17e-09,-0.6852117,0.000853,False,
ACVRL1,1.3240279,0.00149,-0.734,0.000713,1.08757686,4.87e-26,-0.8758795,2.86e-05,False,
ADAMTS4,-1.2907076,0.013,-1.32,4.97e-06,0.86596639,1.75e-05,-1.25140058,6.38e-17,True,ECM Regulators
ADPRH,-1.1418242,0.00536,-0.661,4.86e-06,0.8496359,6.75e-09,-0.70271834,7.790000000000001e-21,False,
AEBP1,1.67758834,0.000102,-1.57,2.18e-09,-0.7989775,0.000162,-0.73168653,2.51e-07,True,ECM Glycoproteins
AK1,1.06,0.000132,-0.614,0.00014,0.8675318,1.32e-08,-0.6665455,0.000208,False,
ALDH1A3,-1.5279966,0.00081,-0.788,0.000118,-0.83635418,1.58e-17,-0.64415251,2.84e-12,False,
ALOX5AP,0.7558053,0.00954,-1.06,7.4e-08,2.1277095,8.21e-15,-0.71136016,2.93e-08,False,
APOE,-0.6189439,0.0367,-0.722,0.00384,-0.9451025,0.0182,-1.5840227,1.03e-05,False,
ARHGDIA,1.07,0.00139,-0.817,5.94e-05,1.0882795,6.33e-16,-0.801239,5.75e-05,False,
ARPC1B,1.01528997,5.34e-07,-1.09,1.83e-08,1.5068918,1.27e-12,-0.76150055,1.76e-22,False,
ATF5,0.7570369,0.000499,3.0933762,0.04026,0.5977036,4.52e-10,0.7375275,3.95e-05,False,
ATP13A2,1.06,0.00345,-0.808,0.000496,0.8105005,2.22e-11,-0.722155,0.0033,False,
AXL,0.64941235,0.00108,-0.832,7.98e-07,0.710175,2.38e-08,-0.6616573,1.95e-05,False,
B3GALT4,-0.9514613,0.000985,-0.751,0.00183,0.8175645,9.07e-12,-0.6591365,9.93e-05,False,
BCAT1,0.69831977,0.000101,-1.4,1.08e-09,-1.8281532,3.52e-11,-0.73335406,1.26e-09,False,
BCL6B,2.0,0.000104,-0.716,7.76e-07,1.1357414,9.12e-11,-0.6093325,8.86e-11,False,
BGN,1.3,4.01e-05,-0.902,2.37e-07,1.6897859,2.59e-14,-1.05428224,5.54e-09,True,Proteoglycans
BIRC3,0.61156787,0.00114,-0.812,3.35e-06,-2.5476009,2.7e-14,-0.63877663,8.51e-07,False,
BTBD2,0.654019,0.00487,-0.611,0.00599,1.5337159,7.04e-17,-1.1133308,0.000527,False,
C16ORF54,-0.9882828,0.0319,-0.868,2.47e-06,0.6573855,1.72e-07,-0.6374466,3.08e-06,False,
C1QB,2.12340911,6.14e-06,-1.17,0.000285,1.8793668,1.38e-14,-2.04480275,1.59e-34,True,ECM-affiliated Proteins
C1QC,1.7838783,0.0134,-1.15,0.000994,1.8560909,7.26e-16,-1.60745222,6.22e-32,True,ECM-affiliated Proteins
C5AR1,1.55,0.0267,-1.49,9.41e-09,0.9132486,9.07e-09,-1.12105938,1.64e-16,False,
CAB39L,-0.7973355,0.0123,-0.801855,0.043,0.594005,0.00135,-1.9461268,2.49e-06,False,
CCL18,1.03172662,0.000464,-0.707,0.000648,-1.20803147,1.39e-13,-2.32784977,6.09e-08,True,Secreted Factors
CCL19,1.6645841,0.00232,-1.46,2.56e-05,-3.520365,1.89e-13,-1.50947281,1.74e-19,True,Secreted Factors
CCL2,2.17500819,1.47e-05,-2.27,2.98e-09,-2.5212675,8.69e-05,-1.43692,1e-17,True,Secreted Factors
CCL21,0.9320614,0.0033,-1.55,6.46e-07,2.1132709,3.16e-13,-1.1466899,0.00107,True,Secreted Factors
CCL4,1.18102508,0.000309,-1.35,1.74e-08,0.7543223,0.000357,-1.82764786,1.41e-13,True,Secreted Factors
CCL5,1.28174734,1.78e-06,-1.04,3.82e-09,1.6986755,6.65e-11,-1.28732668,1.17e-10,True,Secreted Factors
CCR5,0.8822004,0.000184,-0.857,3.84e-09,-1.5909175,5.82e-05,-1.12583403,3.16e-10,False,
CD1E,-1.6194116,0.000669,-0.68941255,0.0139241,-0.83053502,3.49e-14,-0.9640441,0.0234,False,
CD22,-1.2916646,0.00712,-0.713,0.00421,0.6719186,6.3e-05,-1.76426931,1.16e-11,False,
CD247,1.22435107,5.27e-10,-0.596,0.00041,0.9009555,1.75e-09,-0.70627438,4.97e-07,False,
CD300LF,-1.35319,0.00213,-0.867,2.67e-07,0.9699686,1.68e-10,-1.22202034,2.77e-09,False,
CD3D,0.9263287,0.000181,-0.974,6.36e-07,1.386985,1.14e-10,-0.63981003,0.00206,False,
CD48,2.14640028,3.9e-08,-0.862,1.36e-07,-1.189135,0.0002,-0.77635953,4.65e-09,False,
CD68,0.80270187,0.00127,-0.893,0.000308,1.2655705,1.9e-11,-0.97327443,2.41e-21,False,
CD79B,1.01,0.028,-0.869,0.000224,-0.7056625,0.00295,-0.66351847,5.67e-07,False,
CD93,-0.9771425,0.000789,-0.891,1.57e-06,1.1271095,1.75e-12,-1.22708091,3.87e-39,False,
CFB,1.2222763,0.000486,1.6607728,0.03048,-1.7995491,6.15e-10,-0.62863209,3.86e-10,False,
CH25H,0.92065484,0.000692,-2.06,2.27e-07,0.9650686,0.00051,-0.95198533,1.02e-13,False,
CHI3L1,-1.9005463,2.67e-05,-2.71,1.79e-10,-1.57505,1.47e-06,-1.5186154,0.000555,False,
CLIC6,-1.1073748,0.0178,-1.08,7.27e-05,-1.31795875,3.85e-17,-0.74034002,5.34e-09,False,
CMTM3,-1.0446503,0.00412,-0.885,2.37e-09,1.5596841,8.56e-16,-0.61355463,1.41e-12,False,
COL15A1,2.19890718,6.62e-07,-1.06,0.0024,-1.3335039,6.28e-29,-1.08431296,2.6899999999999997e-24,True,Collagens
COL1A1,1.75677827,1.68e-05,-2.25,1.15e-16,-1.77332415,8.23e-27,-1.39555934,1.02e-11,True,Collagens
COL1A2,2.65687138,1.2e-05,-1.3,6.17e-11,-1.05881,0.00561,-0.92280591,8.31e-09,True,Collagens
COL3A1,1.45801204,0.00078,-1.11,8.33e-13,-1.61665883,8.19e-25,-0.81357764,1.33e-07,True,Collagens
COL6A3,2.0573452,0.000224,-0.679,3.42e-06,-1.0107487,8.26e-17,-1.51928913,5.23e-41,True,Collagens
COLEC11,-0.6936599,0.0157,-0.695,2.22e-05,-2.0706525,2.9e-06,-0.86930272,0.000534,True,ECM-affiliated Proteins
CORO1A,1.21135591,8.47e-05,-1.36,1.38e-08,1.4075773,4.64e-11,-0.64369084,1.73e-08,False,
CPE,1.21484343,5.71e-05,-0.73739111,0.0014804,-0.72755826,3.39e-10,-0.7246665,0.000152,False,
CREB3L1,-0.8561084,0.000737,-1.07,0.00124,0.994345,4.27e-10,-0.62762303,0.000251,False,
CRYAB,-1.3301873,0.000272,-0.95991144,0.00497,0.63765321,6.81e-13,-0.7104442,0.0013,False,
CSF2RB,0.8523944,0.00266,-0.954,1.71e-07,0.8760205,5.3e-08,-0.59754227,3.09e-09,False,
CTSS,1.4322483,4.94e-07,-0.691,3.92e-07,-1.2954109,1.21e-11,-0.76136234,9.54e-12,True,ECM Regulators
CYBB,1.5594541,1.92e-07,-0.85,3.45e-06,-1.0912355,2.85e-08,-1.3484662,4.88e-22,False,
CYP3A7,-1.10357721,0.000812,-2.27076228,0.0001936,2.2403525,5.54e-06,-1.5246944,0.0235,False,
DAGLA,-0.6356504,0.0188,-1.51,1.34e-08,0.7628932,4.47e-10,-1.3112055,0.0107,False,
DAPK3,0.843,0.0217,-1.03,1.94e-06,0.9033582,5.04e-13,-1.81076,9.41e-06,False,
DOC2B,1.32,0.0466,-0.605,0.0177,1.2948464,1.91e-14,-0.64089482,4.4e-11,False,
