organ,gene,n_original,rho_original,p_original_adj,n_pooled,rho_pooled,p_pooled_adj,power_improved
Kidney,AEBP1,10,-0.2484848484848484,0.6032176100292089,10,-0.2484848484848484,0.6032176100292089,False
Kidney,COL15A1,0,,,0,,,False
Kidney,COL1A1,10,-0.3454545454545454,0.6032176100292089,10,-0.3454545454545454,0.6032176100292089,False
Kidney,COL1A2,10,0.2848484848484848,0.6032176100292089,10,0.2848484848484848,0.6032176100292089,False
Kidney,COL3A1,10,-0.4787878787878787,0.6032176100292089,10,-0.4787878787878787,0.6032176100292089,False
Kidney,SPP1,0,,,0,,,False
Kidney,VWF,10,-0.1878787878787878,0.6032176100292089,10,-0.1878787878787878,0.6032176100292089,False
Liver,AEBP1,10,0.5085133809309825,0.3334755086790493,87,0.45181417105813104,7.835261814720127e-05,True
Liver,COL15A1,0,,,87,-0.0006120431641931233,0.9957849458315742,False
Liver,COL1A1,10,-0.3368901148667759,0.4264386820368485,87,0.2827898179623701,0.01856339003802685,True
Liver,COL1A2,10,-0.3368901148667759,0.4264386820368485,87,0.2509200685075733,0.03336785710844949,True
Liver,COL3A1,10,0.5847903880706299,0.3334755086790493,87,0.16197966399643937,0.1562128615709281,False
Liver,SPP1,0,,,87,0.17935646725241208,0.1562128615709281,False
Liver,VWF,10,0.1779796833258438,0.6227695474948177,87,0.37614399485037037,0.0011551508158797517,True
Lung,AEBP1,10,-0.4666666666666666,0.4348464929126663,27,-0.09829668317449723,0.8545091788012277,False
Lung,COL15A1,0,,,27,-0.04811252243246882,0.8545091788012277,False
Lung,COL1A1,10,-0.1393939393939393,0.7009318849100584,27,-0.059612182054211225,0.8545091788012277,False
Lung,COL1A2,10,0.1393939393939393,0.7009318849100584,27,-0.12493191345403842,0.8545091788012277,False
Lung,COL3A1,10,0.709090909090909,0.1083296168376621,27,-0.048197083362979294,0.8545091788012277,False
Lung,SPP1,0,,,27,0.07216878364870323,0.8545091788012277,False
Lung,VWF,10,0.2969696969696969,0.6745027854502618,27,0.1794707183121466,0.8545091788012277,False
Skin,AEBP1,10,0.006060606060606,0.9867429111949892,68,0.3249959142085929,0.00798977654364153,True
Skin,COL15A1,0,,,68,0.6190034881463011,7.792375805556706e-07,True
Skin,COL1A1,10,-0.1272727272727272,0.9075712684534868,68,0.5103428512327867,2.0416555626477166e-05,True
Skin,COL1A2,10,-0.1393939393939393,0.9075712684534868,68,0.4025226924454047,0.001166736768729938,True
Skin,COL3A1,10,0.3696969696969697,0.7326251882320558,68,0.3865823342164889,0.0015800573146009134,True
Skin,SPP1,0,,,68,0.12380069762926021,0.35450723830407055,False
Skin,VWF,10,0.5515151515151515,0.4920058833481748,68,0.6157017785555137,1.6081088537665782e-07,True
