"gene","organ","instrument_source","n_snps_tested","PP0","PP1","PP2","PP3","PP4","classification","note"
"CCL4","Kidney","eQTLGen",92,3.22472626340072e-173,0.613196461961903,4.22719800889164e-175,0.00765906606541173,0.379144471972705,"No colocalization evidence (PP4 < 0.50)","Tested successfully"
"C1QC","Skin","eQTLGen",345,1.93733796992041e-74,0.612905311547175,6.65136268316102e-76,0.0206761438830039,0.366418544569832,"No colocalization evidence (PP4 < 0.50)","Tested successfully"
"ADAMTS4","Liver","eQTLGen",54,0.00035075435012907,0.64041567988537,2.51075497875603e-06,0.00422919461829517,0.355001860391227,"No colocalization evidence (PP4 < 0.50)","Tested successfully"
"SERPINE1","Skin","eQTLGen",141,1.01649620748261e-14,0.665268450820584,9.17898922004185e-17,0.00567833953177639,0.329053209647628,"No colocalization evidence (PP4 < 0.50)","Tested successfully"
"CCL4","Skin","eQTLGen",179,1.37915466292713e-173,0.696589776933657,6.20114399146488e-175,0.0310486615685694,0.272361561497782,"No colocalization evidence (PP4 < 0.50)","Tested successfully"
"LTB","Lung","eQTLGen",135,1.02364896820343e-06,0.751291603048728,2.72229218277738e-08,0.0197508932954687,0.228956452783913,"No colocalization evidence (PP4 < 0.50)","Tested successfully"
"ADAMTS4","Lung","eQTLGen",54,0.00040846702237584,0.745788856928837,2.89073220072555e-05,0.052578484483462,0.201195284243318,"No colocalization evidence (PP4 < 0.50)","Tested successfully"
"CTSS","Lung","eQTLGen",1716,9.88131291682493e-324,0.612882891297168,0,0.193978544844937,0.193138563857881,"No colocalization evidence (PP4 < 0.50)","Tested successfully"
"LTB","Liver","eQTLGen",135,1.09747226834434e-06,0.805473092238864,1.60357796593682e-08,0.0115862772561779,0.18293951699691,"No colocalization evidence (PP4 < 0.50)","Tested successfully"
"C1QB","Skin","eQTLGen",744,0,0.772926952075919,0,0.0549811364897261,0.17209191143431,"No colocalization evidence (PP4 < 0.50)","Tested successfully"
"PDGFD","Skin","eQTLGen",1119,6.78973080646765e-104,0.759012459560495,6.41984749601218e-105,0.0715969927868645,0.169390547652632,"No colocalization evidence (PP4 < 0.50)","Tested successfully"
"COL6A3","Skin","eQTLGen",260,1.21377659285436e-124,0.850736072906259,2.31831704496803e-126,0.0161159373048099,0.133147989788957,"No colocalization evidence (PP4 < 0.50)","Tested successfully"
"TGFB3","Liver","eQTLGen",466,1.89013219503155e-189,0.852418247586896,4.8872337032574e-191,0.0219149460133239,0.125666806399754,"No colocalization evidence (PP4 < 0.50)","Tested successfully"
"LTB","Skin","eQTLGen",135,8.07142153394319e-07,0.592389716736675,3.85713472557116e-07,0.282963896010812,0.124645194396888,"No colocalization evidence (PP4 < 0.50)","Tested successfully"
"SERPINF2","Skin","eQTLGen",374,0,0.841236028105136,0,0.0456080909641815,0.113155880930719,"No colocalization evidence (PP4 < 0.50)","Tested successfully"
"LTBP2","Liver","eQTLGen",676,3.31538717053115e-55,0.870703847898122,9.70340861770665e-57,0.0253796689522476,0.103916483149637,"No colocalization evidence (PP4 < 0.50)","Tested successfully"
"CCL2","Skin","eQTLGen",97,1.56806668958347e-05,0.895800145985212,8.12603313972897e-08,0.00454257282098158,0.0996415192665794,"No colocalization evidence (PP4 < 0.50)","Tested successfully"
"COL15A1","Skin","eQTLGen",74,1.25574017386084e-18,0.910184644242348,4.98946184171665e-21,0.00353017278013844,0.0862851829775112,"No colocalization evidence (PP4 < 0.50)","Tested successfully"
"COLEC11","Skin","eQTLGen",197,5.17749771043783e-67,0.905545872420862,5.28154427944083e-69,0.00915213448633586,0.085301993092792,"No colocalization evidence (PP4 < 0.50)","Tested successfully"
"ADAMTS4","Skin","eQTLGen",54,0.000498445557075698,0.91007381719717,3.472828264839e-06,0.00625760623182581,0.0831666581856638,"No colocalization evidence (PP4 < 0.50)","Tested successfully"
"TGFB3","Lung","eQTLGen",466,2.02320451752418e-189,0.912431656299607,3.314102819161e-191,0.0148733586553185,0.0726949850450563,"No colocalization evidence (PP4 < 0.50)","Tested successfully"
"AEBP1","Kidney","eQTLGen",245,2.2961159791074e-102,0.916641159160696,3.33176839713678e-104,0.0132307507566109,0.0701280900826981,"No colocalization evidence (PP4 < 0.50)","Tested successfully"
"LTBP2","Kidney","eQTLGen",291,3.50896549905624e-55,0.921233376583217,4.71159420805228e-57,0.0123032160395749,0.0664634073772064,"No colocalization evidence (PP4 < 0.50)","Tested successfully"
"TGFB3","Skin","eQTLGen",466,2.02551853332205e-189,0.913475239016464,4.92142727824267e-191,0.0221304258323131,0.0643943351512372,"No colocalization evidence (PP4 < 0.50)","Tested successfully"
"SDC3","Skin","eQTLGen",374,6.37336732695855e-39,0.919201997090888,1.33678140065458e-40,0.0192182148655316,0.0615797880435873,"No colocalization evidence (PP4 < 0.50)","Tested successfully"
"LTBP4","Skin","eQTLGen",579,1.08281912308101e-190,0.89927378647063,4.8809053861536e-192,0.0404753304938654,0.0602508830355081,"No colocalization evidence (PP4 < 0.50)","Tested successfully"
"SPP1","Kidney","eQTLGen",528,0,0.92204609714808,0,0.0243430314053635,0.0536108714466076,"No colocalization evidence (PP4 < 0.50)","Tested successfully"
