gene,organ,gtex_tissue,instrument_source,n_snps_tested,tier,PP0,PP1,PP2,PP3,PP4,coloc_classification
LUM,Skin,Skin_Sun_Exposed_Lower_leg,GTEx_Skin_Sun_Exposed_Lower_leg,95,Standard (>=50 SNPs),0.0075214401012257,0.4998483126164801,6.385261159400113e-4,0.04198418023677517,0.4500075409295792,No Signal / Inconclusive (PP4 < 0.50)
CCL5,Skin,Skin_Not_Sun_Exposed_Suprapubic,GTEx_Skin_Not_Sun_Exposed_Suprapubic,29,Exploratory (20-49 SNPs - lower confidence),0.20385306787416807,0.37148232560459493,0.006302384370612092,0.011077577600909317,0.40728464454971547,No Signal / Inconclusive (PP4 < 0.50)
CCL4,Skin,Skin_Not_Sun_Exposed_Suprapubic,GTEx_Skin_Not_Sun_Exposed_Suprapubic,56,Standard (>=50 SNPs),0.14560902427541525,0.5980858729421603,0.003519384766948209,0.014217227233652227,0.23856849078182396,No Signal / Inconclusive (PP4 < 0.50)
CCL4,Skin,Skin_Sun_Exposed_Lower_leg,GTEx_Skin_Sun_Exposed_Lower_leg,72,Standard (>=50 SNPs),3.253695810123602e-5,0.7482738431824896,1.0708390891542328e-6,0.02439949837153513,0.2272930506487845,No Signal / Inconclusive (PP4 < 0.50)
CTSS,Lung,Lung,GTEx_Lung,867,Standard (>=50 SNPs),2.2755802522053584e-7,0.6585451289132235,5.87559081912551e-8,0.16986599675631123,0.17158858801653154,No Signal / Inconclusive (PP4 < 0.50)
MDK,Lung,Lung,GTEx_Lung,186,Standard (>=50 SNPs),1.5491559279314153e-5,0.7910913153614441,8.705473140512371e-7,0.044290730976339114,0.16460159155562276,No Signal / Inconclusive (PP4 < 0.50)
TGM2,Lung,Lung,GTEx_Lung,125,Standard (>=50 SNPs),3.632253813083202e-4,0.8646366351834422,1.7451237893070738e-6,0.004023189230592846,0.13097520508086705,No Signal / Inconclusive (PP4 < 0.50)
SDC3,Skin,Skin_Sun_Exposed_Lower_leg,GTEx_Skin_Sun_Exposed_Lower_leg,61,Standard (>=50 SNPs),0.06178510390290199,0.8057031992293407,5.753029239071403e-4,0.007377628283282882,0.12455876566056741,No Signal / Inconclusive (PP4 < 0.50)
PDGFD,Lung,Lung,GTEx_Lung,148,Standard (>=50 SNPs),1.2638390549003898e-8,0.86984416568026,1.229713347024445e-10,0.00834175553344962,0.121814066024927,No Signal / Inconclusive (PP4 < 0.50)
LTB,Skin,Skin_Sun_Exposed_Lower_leg,GTEx_Skin_Sun_Exposed_Lower_leg,4,Minimal (<20 SNPs - very low confidence),0.8001807252548855,0.07542811802820715,0.0066821277621708875,5.126867649846142e-4,0.11719634218975185,No Signal / Inconclusive (PP4 < 0.50)
FMOD,Skin,Skin_Not_Sun_Exposed_Suprapubic,GTEx_Skin_Not_Sun_Exposed_Suprapubic,44,Exploratory (20-49 SNPs - lower confidence),5.448744325578654e-6,0.8835984184465367,1.9460892225007625e-8,0.0030425319886150685,0.11335358135963096,No Signal / Inconclusive (PP4 < 0.50)
MDK,Skin,Skin_Not_Sun_Exposed_Suprapubic,GTEx_Skin_Not_Sun_Exposed_Suprapubic,191,Standard (>=50 SNPs),0.01866691268218941,0.8570594491794373,3.57595892150288e-4,0.01631080007064177,0.10760524217558119,No Signal / Inconclusive (PP4 < 0.50)
FMOD,Skin,Skin_Sun_Exposed_Lower_leg,GTEx_Skin_Sun_Exposed_Lower_leg,94,Standard (>=50 SNPs),1.8441497422098694e-9,0.9039080799902998,1.2570627511780976e-11,0.006071459554858445,0.09002045859812326,No Signal / Inconclusive (PP4 < 0.50)
SPARCL1,Skin,Skin_Sun_Exposed_Lower_leg,GTEx_Skin_Sun_Exposed_Lower_leg,199,Standard (>=50 SNPs),1.531734841257295e-11,0.9042509581510405,1.7366321992378303e-13,0.010166526974455466,0.08558251485901455,No Signal / Inconclusive (PP4 < 0.50)
TGM2,Skin,Skin_Sun_Exposed_Lower_leg,GTEx_Skin_Sun_Exposed_Lower_leg,133,Standard (>=50 SNPs),0.0013622086800296458,0.9162734288440272,1.3008437879933537e-5,0.008676295599428417,0.07367505843863464,No Signal / Inconclusive (PP4 < 0.50)
TGFB3,Skin,Skin_Sun_Exposed_Lower_leg,GTEx_Skin_Sun_Exposed_Lower_leg,11,Minimal (<20 SNPs - very low confidence),0.005387426347637256,0.9263728075924331,4.545896373929875e-6,7.141499012189851e-4,0.06752107026233714,No Signal / Inconclusive (PP4 < 0.50)
AEBP1,Skin,Skin_Not_Sun_Exposed_Suprapubic,GTEx_Skin_Not_Sun_Exposed_Suprapubic,59,Standard (>=50 SNPs),8.970459714291876e-6,0.9333784194691155,2.3355126200191555e-8,0.0023658595855376927,0.06424672713050715,No Signal / Inconclusive (PP4 < 0.50)
LAMC3,Skin,Skin_Sun_Exposed_Lower_leg,GTEx_Skin_Sun_Exposed_Lower_leg,88,Standard (>=50 SNPs),7.630229833304826e-5,0.9301744149146918,5.489177235539161e-7,0.0066285422287288,0.06312019164052234,No Signal / Inconclusive (PP4 < 0.50)
COL6A3,Lung,Lung,GTEx_Lung,141,Standard (>=50 SNPs),0.04140158691974134,0.9012180090689761,3.398559394072439e-4,0.00734819540648276,0.04969235266539245,No Signal / Inconclusive (PP4 < 0.50)
MDK,Skin,Skin_Sun_Exposed_Lower_leg,GTEx_Skin_Sun_Exposed_Lower_leg,128,Standard (>=50 SNPs),0.05367892012967038,0.8901123679443608,3.896752024661462e-4,0.00641224922865553,0.049406787494847296,No Signal / Inconclusive (PP4 < 0.50)
CTSS,Skin,Skin_Sun_Exposed_Lower_leg,GTEx_Skin_Sun_Exposed_Lower_leg,570,Standard (>=50 SNPs),7.011021289525571e-11,0.9162777192379522,2.6380171218003394e-12,0.034427227151366487,0.04929505353793425,No Signal / Inconclusive (PP4 < 0.50)
LTBP4,Skin,Skin_Sun_Exposed_Lower_leg,GTEx_Skin_Sun_Exposed_Lower_leg,4,Minimal (<20 SNPs - very low confidence),0.5626517710278699,0.38982674909746223,2.854994753101433e-4,1.5071973713573427e-4,0.047085260662222045,No Signal / Inconclusive (PP4 < 0.50)
TGM2,Skin,Skin_Not_Sun_Exposed_Suprapubic,GTEx_Skin_Not_Sun_Exposed_Suprapubic,129,Standard (>=50 SNPs),7.143700011500635e-5,0.9541284849669388,3.847656517120604e-7,0.005098314365661063,0.04070137890163355,No Signal / Inconclusive (PP4 < 0.50)
LAMC3,Skin,Skin_Not_Sun_Exposed_Suprapubic,GTEx_Skin_Not_Sun_Exposed_Suprapubic,35,Exploratory (20-49 SNPs - lower confidence),0.011081569297110665,0.9461824506110613,3.6683363856573825e-5,0.00309254485769644,0.03960675187027476,No Signal / Inconclusive (PP4 < 0.50)
COLEC11,Skin,Skin_Not_Sun_Exposed_Suprapubic,GTEx_Skin_Not_Sun_Exposed_Suprapubic,134,Standard (>=50 SNPs),5.2733244310865305e-8,0.9561207033480827,3.255590389800343e-10,0.005864784456400144,0.038014459136712773,No Signal / Inconclusive (PP4 < 0.50)
COLEC11,Lung,Lung,GTEx_Lung,62,Standard (>=50 SNPs),2.2687122184003523e-9,0.9621253096429042,4.9550217932340045e-12,0.0020655379658529207,0.03580915011757436,No Signal / Inconclusive (PP4 < 0.50)
COL1A1,Skin,Skin_Not_Sun_Exposed_Suprapubic,GTEx_Skin_Not_Sun_Exposed_Suprapubic,7,Minimal (<20 SNPs - very low confidence),0.2823270791270828,0.6844737189981435,8.889402124848383e-5,1.8258692793053378e-4,0.03292772092559471,No Signal / Inconclusive (PP4 < 0.50)
SERPINF2,Skin,Skin_Not_Sun_Exposed_Suprapubic,GTEx_Skin_Not_Sun_Exposed_Suprapubic,49,Exploratory (20-49 SNPs - lower confidence),1.6142686956266273e-9,0.9662871258294964,2.8215919923748555e-12,0.0016569243460658196,0.03205594820734665,No Signal / Inconclusive (PP4 < 0.50)
