gene,matrisome_division,matrisome_category,logFC_skin,adj_p_skin,logFC_kidney,adj_p_kidney,logFC_liver,adj_p_liver,logFC_lungs,adj_p_lungs
ADAM12,Matrisome-associated,ECM Regulators,-2.19022768,1.5400000000000002e-27,0.83081262,5.6e-07,1.131433,9.63e-05,-0.94935452,1.72e-20
ADAM19,Matrisome-associated,ECM Regulators,-0.77807708,9.23e-15,1.5527276,0.00262,-1.091627,0.00334,-0.7064875,0.00326
ADAMTS3,Matrisome-associated,ECM Regulators,-0.78132882,1.04e-10,1.6110248,0.000924,1.376786,7.21e-07,-0.6646768,6.45e-07
ADAMTS4,Matrisome-associated,ECM Regulators,-1.25140058,6.38e-17,-1.2907076,0.013,-1.32,4.97e-06,0.86596639,1.75e-05
ADAMTS5,Matrisome-associated,ECM Regulators,-0.5994905,1.59e-09,0.8293416,6.45e-05,-0.664426,0.000975,-0.8701305,2.74e-05
AEBP1,Core matrisome,ECM Glycoproteins,-0.73168653,2.51e-07,1.67758834,0.000102,-1.57,2.18e-09,-1.1375456,3.96e-05
ANGPT1,Matrisome-associated,Secreted Factors,-0.7084126,9.5e-12,1.1175397,0.000187,0.608385,0.0015,-1.493596,9.24e-07
BGN,Core matrisome,Proteoglycans,-1.05428224,5.54e-09,1.3,4.01e-05,-0.9240678,2.03e-07,1.6897859,2.59e-14
BMP1,Matrisome-associated,ECM Regulators,-0.66011388,3.72e-16,-1.6414568,0.000855,1.642421,3.04e-07,0.87506283,1.54e-09
C1QB,Matrisome-associated,ECM-affiliated Proteins,-2.04480275,1.59e-34,2.12340911,6.14e-06,-1.1519683,0.000269,1.8793668,1.38e-14
C1QC,Matrisome-associated,ECM-affiliated Proteins,-1.60745222,6.22e-32,1.7838783,0.0134,1.755158,3.85e-06,1.8560909,7.26e-16
CCL18,Matrisome-associated,Secreted Factors,-2.32784977,6.09e-08,1.03172662,0.000464,-0.707,0.000648,-1.20803147,1.39e-13
CCL19,Matrisome-associated,Secreted Factors,-1.50947281,1.74e-19,1.6645841,0.00232,-1.46,2.56e-05,-3.520365,1.89e-13
CCL2,Matrisome-associated,Secreted Factors,-1.43692,1e-17,2.17500819,1.47e-05,-2.27,2.98e-09,-2.5212675,8.69e-05
CCL21,Matrisome-associated,Secreted Factors,-1.1466899,0.00107,0.9320614,0.0033,-1.55,6.46e-07,2.1132709,3.16e-13
