gene,logFC_skin,adj_p_skin,logFC_kidney,adj_p_kidney,logFC_liver,adj_p_liver,logFC_lungs,adj_p_lungs
ABCA6,-0.6430272,0.00532,1.9611102,0.000609,2.905439,3.12e-09,-0.9507391,1.87e-05
ABR,-0.6852117,0.000853,-1.0904261,0.00166,-0.8,4.12e-13,0.6243914,1.17e-09
ACAD8,-1.13,0.006755,-0.5912945,0.00456,1.811617,2.95e-05,0.8625242,7.77e-06
ACADM,-0.8374602,0.0114,-0.67585223,3.02e-05,1.164631,1.59e-07,-1.2729268,3.84e-17
ACSS2,-1.14,0.048674,-0.8146269,0.00882,1.13389,0.00143,0.77375883,4.1200000000000005e-21
ACSS3,-0.6792438,0.00128,-1.1559484,0.0033,1.805803,3.02e-09,-0.8906898,0.000157
ACTG2,-0.75293408,3.48e-06,3.6368758,0.000726,1.327812,0.0461,-1.35468891,2.12e-18
ACVRL1,-0.8758795,2.86e-05,1.3240279,0.00149,-0.734,0.000713,-2.4174421,5.8e-33
ADAMTS3,-0.78132882,1.04e-10,-1.6110248,0.000924,1.376786,7.21e-07,-0.6646768,6.45e-07
ADAMTS4,-1.25140058,6.38e-17,-1.2907076,0.013,-1.32,4.97e-06,0.86596639,1.75e-05
ADAMTS5,-0.5994905,1.59e-09,0.8293416,6.45e-05,0.973,9.44e-07,-0.8701305,2.74e-05
ADAMTS9,-0.74034591,1.85e-19,1.4578395,0.00191,0.653,0.000416,-0.7004141,0.0122
ADGRG5,-0.85844209,2.1e-07,-0.6662416,0.00248,-2.570627,4.8e-05,1.1787804,5.31e-05
ADGRV1,-2.01,0.009625,-0.682972,0.000258,0.68913393,0.020353,-1.1468423,3.15e-07
ADIRF,-0.5897671,0.00239,-0.596391,0.00933,0.916,1.28e-05,2.1734,2.69e-17
ADPRH,-0.70271834,7.790000000000001e-21,-1.1418242,0.00536,-0.661,4.86e-06,0.8496359,6.75e-09
AEBP1,-0.73168653,2.51e-07,1.67758834,0.000102,1.65,9.36e-22,-1.1375456,3.96e-05
AGTR1,-1.6076863,2.92e-06,1.4270652,0.00219,1.575309,1.18e-06,0.61820932,9.82e-13
AKT1,-0.8256978,0.00118,1.4565494,0.000617,1.174348,4.91e-07,1.6698614,4.01e-20
ALDH1A1,-1.0553453,6.93e-05,-1.1685275,6.94e-05,1.27,1.41e-08,-1.2050855,1.23e-07
ALDH1A3,-0.64415251,2.84e-12,-1.5279966,0.00081,-0.788,0.000118,-0.83635418,1.58e-17
ALKAL2,-0.64416603,0.000386,-1.0235163,0.0119,-3.349413,9.88e-11,-1.4487419,0.00374
ALOX15B,-2.27,0.031756,-1.2457911,0.000655,-4.79964,1.43e-06,0.95586255,3.5e-10
ALOX5AP,-0.71136016,2.93e-08,0.7558053,0.00954,1.38,1.98e-12,2.1277095,8.21e-15
ALPL,-1.24260641,1.06e-19,-0.5994265,0.00733,-1.78,3e-16,-2.1403558,3.14e-18
ANGPT1,-0.7084126,9.5e-12,1.1175397,0.000187,0.674,1.12e-05,-1.493596,9.24e-07
ANK2,-0.8386843,0.000165,-0.9767521,0.0146,1.22,1.55e-09,-1.01405958,1.3800000000000002e-27
APOE,-1.5840227,1.03e-05,-0.6189439,0.0367,2.025319,7.69e-05,-0.9451025,0.0182
APOL1,-1.18151231,1.33e-17,-0.7914927,0.000729,1.032673,0.000273,-1.3111585,2.78e-09
AQP4,-1.5336025,0.00203,-2.0803724,4.22e-05,-0.669,0.000217,-1.3499092,0.00867
ARF1,-1.2041679,1.55e-05,-1.0805042,2.73e-05,3.978761,6.96e-12,0.7671273,1.06e-10
ARF6,-0.9158089,1.3e-06,-0.7629343,0.0104,0.97,2.84e-07,0.9050664,1.25e-12
ARFGEF1,-0.6383455,6.03e-05,-0.9688688,1.7e-05,2.137135,1.25e-09,-1.1704218,5.22e-14
ARHGAP11A,-0.7365457,0.0356,-1.9887522,1.38e-05,-2.621855,8.96e-05,-2.0436873,1.19e-14
ARHGAP12,-0.8070436,2.04e-06,-0.706704,0.00388,1.281775,7.9e-06,-1.4338209,6.4e-16
ARHGDIA,-0.801239,5.75e-05,1.07,0.00139,-0.817,5.94e-05,1.0882795,6.33e-16
ARPC1B,-0.76150055,1.76e-22,1.01528997,5.34e-07,3.695196,2.77e-13,1.5068918,1.27e-12
ASPN,-1.5953384,2.9200000000000003e-26,1.30770179,9.22e-05,2.51,5.8e-25,-2.87354942,8.21e-43
ASTN1,1.34998591,3.72e-06,-1.2226994,0.00543,0.888547,0.00082,1.6435353,0.000892
ATF5,0.7375275,3.95e-05,0.7570369,0.000499,-2.08,2.35e-11,0.5977036,4.52e-10
