subset,criteria,tier,gene_count,percentage
ECM,Direction only,0,41,100.0
ECM,Direction only,1,41,100.0
ECM,Direction only,2,40,97.56
ECM,Direction only,3,35,85.37
ECM,Direction only,4,17,41.46
ECM,Direction + adj_p<0.05,0,41,100.0
ECM,Direction + adj_p<0.05,1,40,97.56
ECM,Direction + adj_p<0.05,2,19,46.34
ECM,Direction + adj_p<0.05,3,4,9.76
ECM,Direction + adj_p<0.05,4,0,0.0
Non-ECM,Direction only,0,134,100.0
Non-ECM,Direction only,1,134,100.0
Non-ECM,Direction only,2,132,98.51
Non-ECM,Direction only,3,97,72.39
Non-ECM,Direction only,4,34,25.37
Non-ECM,Direction + adj_p<0.05,0,134,100.0
Non-ECM,Direction + adj_p<0.05,1,129,96.27
Non-ECM,Direction + adj_p<0.05,2,51,38.06
Non-ECM,Direction + adj_p<0.05,3,5,3.73
Non-ECM,Direction + adj_p<0.05,4,0,0.0
