Library,Lib_Tag,Gene_Set,Gene_set,Term,Overlap,P_value,Adj_P_value,Old_P_value,Old_Adj_P_value,Odds_Ratio,Combined_Score,Genes
GO_Biological_Process_2023,GO_BP,9genes,GO_Biological_Process_2023,Extracellular Matrix Organization (GO:0030198),4/176,7.055017990141285e-07,7.886511354845998e-05,0,0,92.1813953488372,1305.6901478330578,COL1A1;COL15A1;COL3A1;SERPINF2
GO_Biological_Process_2023,GO_BP,9genes,GO_Biological_Process_2023,Collagen Fibril Organization (GO:0030199),3/42,7.169555777132726e-07,7.886511354845998e-05,0,0,255.7948717948718,3619.050294704087,COL1A1;COL3A1;SERPINF2
GO_Biological_Process_2023,GO_BP,9genes,GO_Biological_Process_2023,Negative Regulation Of Plasminogen Activation (GO:0010757),2/6,2.6974038030480176e-06,0.00019780961222352127,0,0,1427.642857142857,18306.979583499124,SERPINE2;SERPINF2
GO_Biological_Process_2023,GO_BP,9genes,GO_Biological_Process_2023,Supramolecular Fiber Organization (GO:0097435),4/316,7.2372526482263775e-06,0.0003980488956524508,0,0,50.45897435897436,597.245988530384,COL1A1;COL3A1;SERPINF2;LTBP2
GO_Biological_Process_2023,GO_BP,9genes,GO_Biological_Process_2023,Extracellular Structure Organization (GO:0043062),3/109,1.2914801711522106e-05,0.00048670992910411,0,0,93.79716981132076,1055.8875424616392,COL1A1;COL15A1;COL3A1
GO_Biological_Process_2023,GO_BP,9genes,GO_Biological_Process_2023,External Encapsulating Structure Organization (GO:0045229),3/110,1.327390715738482e-05,0.00048670992910411,0,0,92.91588785046729,1043.4185044620438,COL1A1;COL15A1;COL3A1
GO_Biological_Process_2023,GO_BP,9genes,GO_Biological_Process_2023,Negative Regulation Of Protein Processing (GO:0010955),2/15,1.8842617526792617e-05,0.0005920591519954721,0,0,439.0769230769231,4776.888806867305,SERPINE2;SERPINF2
GO_Biological_Process_2023,GO_BP,9genes,GO_Biological_Process_2023,Regulation Of Plasminogen Activation (GO:0010755),2/16,2.152942370892626e-05,0.0005920591519954721,0,0,407.6938775510204,4381.115106251909,SERPINE2;SERPINF2
GO_Biological_Process_2023,GO_BP,9genes,GO_Biological_Process_2023,Positive Regulation Of Glial Cell Differentiation (GO:0045687),2/17,2.4394349832130377e-05,0.0005963063292298537,0,0,380.4952380952381,4041.30042892081,SERPINE2;MDK
GO_Biological_Process_2023,GO_BP,9genes,GO_Biological_Process_2023,Regulation Of Neuron Migration (GO:2001222),2/29,7.262136299941514e-05,0.0015558097994797,0,0,211.25925925925927,2013.3538562256688,COL3A1;MDK
GO_Biological_Process_2023,GO_BP,9genes,GO_Biological_Process_2023,Negative Regulation Of Blood Coagulation (GO:0030195),2/30,7.779048997398821e-05,0.0015558097994797,0,0,203.70408163265307,1927.3444106230904,SERPINE2;SERPINF2
GO_Biological_Process_2023,GO_BP,9genes,GO_Biological_Process_2023,Positive Regulation Of Cell-Cell Adhesion (GO:0022409),2/46,0.00018439901560229468,0.0032585322860192,0,0,129.52597402597402,1113.7172470762985,MDK;SERPINF2
