Library,Lib_Tag,Gene_Set,Gene_set,Term,Overlap,P_value,Adj_P_value,Old_P_value,Old_Adj_P_value,Odds_Ratio,Combined_Score,Genes
GO_Cellular_Component_2023,GO_CC,5genes,GO_Cellular_Component_2023,Collagen-Containing Extracellular Matrix (GO:0062023),5/373,2.197043471943399e-09,2.4167478191377387e-08,0,0,98135.0,1956434.3998544205,COL1A1;COL15A1;COL3A1;SERPINE2;SERPINF2
GO_Cellular_Component_2023,GO_CC,5genes,GO_Cellular_Component_2023,Endoplasmic Reticulum Lumen (GO:0005788),3/284,2.7739997360268155e-05,0.00015256998548147485,0,0,105.23487544483986,1104.1911623840458,COL1A1;COL15A1;COL3A1
GO_Cellular_Component_2023,GO_CC,5genes,GO_Cellular_Component_2023,Platelet Alpha Granule (GO:0031091),2/89,0.0001941047458800732,0.0007117174015602684,0,0,152.55172413793105,1303.8767661842642,SERPINE2;SERPINF2
GO_Cellular_Component_2023,GO_CC,5genes,GO_Cellular_Component_2023,Intracellular Organelle Lumen (GO:0070013),3/856,0.0007322348734852462,0.0020136459020844,0,0,33.66119577960141,243.01394750585047,COL1A1;COL15A1;COL3A1
GO_Cellular_Component_2023,GO_CC,5genes,GO_Cellular_Component_2023,Neuromuscular Junction (GO:0031594),1/39,0.0097129155448507,0.0200358295043778,0,0,131.29605263157896,608.465136485093,SERPINE2
GO_Cellular_Component_2023,GO_CC,5genes,GO_Cellular_Component_2023,Basement Membrane (GO:0005604),1/46,0.0114482499529965,0.0200358295043778,0,0,110.83333333333331,495.41595635428416,COL15A1
GO_Cellular_Component_2023,GO_CC,5genes,GO_Cellular_Component_2023,Extracellular Membrane-Bounded Organelle (GO:0065010),1/57,0.014170289742456,0.0200358295043778,0,0,89.01339285714286,378.8951003721936,SERPINE2
GO_Cellular_Component_2023,GO_CC,5genes,GO_Cellular_Component_2023,Extracellular Vesicle (GO:1903561),1/60,0.014911622845291,0.0200358295043778,0,0,84.47457627118644,355.26748708331087,SERPINE2
GO_Cellular_Component_2023,GO_CC,5genes,GO_Cellular_Component_2023,Platelet Alpha Granule Lumen (GO:0031093),1/66,0.0163929514126727,0.0200358295043778,0,0,76.65384615384616,315.11658961920176,SERPINF2
GO_Cellular_Component_2023,GO_CC,5genes,GO_Cellular_Component_2023,Vesicle (GO:0031982),1/235,0.0573908561782572,0.0631299417960829,0,0,21.112179487179485,60.33587047928365,SERPINE2
GO_Cellular_Component_2023,GO_CC,5genes,GO_Cellular_Component_2023,Secretory Granule Lumen (GO:0034774),1/316,0.0765498634754778,0.0765498634754778,0,0,15.61904761904762,40.13803068735027,SERPINF2
