Library,Lib_Tag,Gene_Set,Gene_set,Term,Overlap,P_value,Adj_P_value,Old_P_value,Old_Adj_P_value,Odds_Ratio,Combined_Score,Genes
GO_Molecular_Function_2023,GO_MF,9genes,GO_Molecular_Function_2023,Protease Binding (GO:0002020),3/125,1.947709022052381e-05,0.00019477090220523812,0,0,81.43032786885246,883.2154560905539,COL1A1;COL3A1;SERPINF2
GO_Molecular_Function_2023,GO_MF,9genes,GO_Molecular_Function_2023,Serine-Type Endopeptidase Inhibitor Activity (GO:0004867),2/53,0.0002451086696044955,0.0012255433480224,0,0,111.70868347338936,928.7246464608792,SERPINE2;SERPINF2
GO_Molecular_Function_2023,GO_MF,9genes,GO_Molecular_Function_2023,Endopeptidase Inhibitor Activity (GO:0004866),2/112,0.0010905386347973,0.0036351287826578,0,0,51.63896103896104,352.23366739450324,SERPINE2;SERPINF2
GO_Molecular_Function_2023,GO_MF,9genes,GO_Molecular_Function_2023,Platelet-Derived Growth Factor Binding (GO:0048407),1/10,0.0044918441075108,0.011229610268777,0,0,277.52777777777777,1500.1741678966396,COL3A1
GO_Molecular_Function_2023,GO_MF,9genes,GO_Molecular_Function_2023,Transforming Growth Factor Beta Binding (GO:0050431),1/21,0.0094121824505319,0.0188243649010639,0,0,124.81875,582.3731356633181,LTBP2
GO_Molecular_Function_2023,GO_MF,9genes,GO_Molecular_Function_2023,Peptidase Inhibitor Activity (GO:0030414),1/37,0.0165304655004847,0.026779410012896,0,0,69.28819444444444,284.25829643277825,SERPINF2
GO_Molecular_Function_2023,GO_MF,9genes,GO_Molecular_Function_2023,Endopeptidase Regulator Activity (GO:0061135),1/42,0.0187455870090272,0.026779410012896,0,0,60.823170731707314,241.881397652512,SERPINF2
GO_Molecular_Function_2023,GO_MF,9genes,GO_Molecular_Function_2023,Growth Factor Activity (GO:0008083),1/85,0.0376133448283413,0.0470166810354267,0,0,29.623511904761905,97.17686109400611,MDK
GO_Molecular_Function_2023,GO_MF,9genes,GO_Molecular_Function_2023,Receptor Ligand Activity (GO:0048018),1/319,0.1347492260321049,0.1497213622578943,0,0,7.73309748427673,15.49975516509427,MDK
GO_Molecular_Function_2023,GO_MF,9genes,GO_Molecular_Function_2023,Protein Homodimerization Activity (GO:0042803),1/662,0.2614029881558325,0.2614029881558325,0,0,3.655446293494705,4.904483218403447,SERPINF2
