,COL15A1,COL1A1,SERPINE2,SERPINF2,stage,label
GSM3998167,4.052007907314526,3.4657155485265707,1.2986397199648256,10.104092562357405,2,1
GSM3998169,4.986556558800344,4.421427008904538,1.9155844305775218,9.82179228434788,2,1
GSM3998171,4.03306538406049,3.7869366694471256,1.0392881816513886,9.916813626233594,0,0
GSM3998172,4.5862809879561,3.827362202347469,2.002916234816194,9.881627128506906,1,1
GSM3998174,3.907001930722079,3.373124640842228,1.177428134797553,9.986837667562668,2,1
GSM3998175,4.727800634465058,2.8347936728337224,2.306658309063925,10.090594294395496,0,0
GSM3998176,4.773773693656908,2.7341363133716734,1.7525455736691424,9.798719674606144,2,1
GSM3998177,4.955758030946463,3.1434711461942255,1.9019355210282538,9.941922954575046,1,1
GSM3998178,4.354343272732216,3.359793384526761,2.0457078228629566,9.743684887592131,2,1
GSM3998180,5.6144909018704645,3.064143371803014,2.059392874385248,9.830385941767156,2,1
GSM3998181,4.553809797463412,3.0592976964150616,1.5465839509146517,9.886548290599622,1,1
GSM3998182,4.036992169338687,2.4748222759368077,1.858861642574518,9.784959164858007,2,1
GSM3998183,4.760661955116056,2.6436353535681834,1.77362688766093,9.474796788150613,1,1
GSM3998184,4.943025961250847,3.9823014930943654,1.8043280601095997,9.412084559306033,2,1
GSM3998186,5.40196484556402,2.381294944943296,1.461624987300244,9.65074944820102,2,1
GSM3998187,5.436253113158617,4.593826316256919,2.586723290421833,9.420849932580017,2,1
GSM3998189,4.633993794931509,2.9784717672640273,1.7815779884637055,9.823205913785811,0,0
GSM3998192,4.8402428078814435,2.942835690689416,2.0475754353053,10.311977323260729,1,1
GSM3998194,5.305642023899429,2.5698118651154296,2.1509373294826473,9.49605098815606,1,1
GSM3998196,5.134601914722368,4.503992425419753,1.5004387083589372,10.323501368720809,1,1
GSM3998197,3.847893625619003,3.897746484323888,1.5807642003136484,9.925218221438397,1,1
GSM3998198,3.7902323249962397,2.9899465308186497,1.1434440776067203,10.09981373303886,1,1
GSM3998199,5.4517582403414835,4.984293723587863,2.183734992611507,10.007207723418835,2,1
GSM3998202,4.148416318413876,4.799589111659976,1.0382643007856023,10.460268595523067,0,0
GSM3998204,4.57720619389932,4.690993341034895,1.6798174684673024,10.28444054236077,1,1
GSM3998205,4.622850575951176,2.455439224955419,1.2917313940980806,9.907662513131507,1,1
GSM3998206,4.5343808912154975,2.680934656966017,1.0317893364345436,9.913723775119342,0,0
GSM3998211,4.929762100211625,4.235537819416225,1.7434538489641556,9.684092089498224,2,1
GSM3998212,4.421070439027479,2.9271352022603296,1.7931111148015488,9.598949534288392,1,1
GSM3998213,5.552373174635685,3.752867650544,2.139770001727079,9.857333156346327,0,0
GSM3998215,4.797002418568679,4.1051378336283575,1.6406433388468233,9.401544389020218,2,1
GSM3998216,4.647395338653404,3.105471358701284,1.5067229052353757,9.66013647185767,0,0
GSM3998217,4.154937447822201,2.9833968635539594,1.6002222278822473,9.53098931370698,0,0
GSM3998218,4.121166190768727,4.30750291266894,1.669522512320717,10.541001015502543,0,0
GSM3998219,4.59777607891614,2.49641684720482,2.182873199133321,10.136133909961034,0,0
GSM3998220,3.6742211635928497,2.7508170999482147,1.5625448057392612,9.82201199608712,0,0
GSM3998221,3.3350684910318966,3.3749192273940345,1.379405322203306,9.210702186810167,0,0
GSM3998222,3.711626671215762,2.6336166777742487,1.0987040745403087,10.192150082682645,0,0
GSM3998223,4.116784714214302,2.894285602852238,2.5157179641764627,9.7713811435353,0,0
GSM3998224,3.2410730334163977,3.705933613175033,2.4206324774117736,9.652993591271802,1,1
GSM3998228,5.203628809483762,4.034230947732969,1.6232985410367193,9.85937043796492,1,1
GSM3998231,4.3918262193915485,3.690782023538846,1.9271839950676828,9.4504623411675,1,1
GSM3998232,3.868212962005287,3.988873870938934,0.8630836283077538,11.101189580801655,1,1
GSM3998234,4.363942307703032,4.796471069937297,1.692633993037352,9.61856558208846,1,1
GSM3998235,4.6150901210876505,3.823747991141867,2.083061571977012,9.583712295395756,2,1
GSM3998236,5.16273212833938,5.187472861774722,1.5153946287050748,9.932853430597834,1,1
GSM3998237,5.00650975387944,4.306214514384368,1.4370022962040254,9.471857784731592,2,1
GSM3998238,4.73735152805837,5.00162440782104,1.5606704265644138,10.455076859184112,2,1
GSM3998240,4.961640419477345,4.56195396991645,2.348570374735757,10.164905467153103,2,1
GSM3998243,5.40702939178911,5.262152653533717,1.6500052474133537,9.960776015088943,2,1
GSM3998244,5.682219893051609,3.4046286169705686,2.5555990196632403,10.397160188904433,0,0
GSM3998245,4.78948652668362,4.758014506334473,1.7768746567126235,9.811996507898384,2,1
GSM3998246,4.582961532797429,4.427778422212472,1.3556983057871628,10.097792464531855,2,1
GSM3998247,3.422370168628135,3.401654092427927,1.3727296255337227,10.20725298011775,0,0
GSM3998248,5.522879131061043,5.7134711544784755,2.2116385838640658,9.569260712151879,2,1
GSM3998249,4.431919147553447,2.5779371168728153,1.8908271115150004,9.425323575441581,0,0
GSM3998252,4.6223095419342854,4.351194648940893,1.7531668481229936,9.966748064013654,2,1
GSM3998254,4.4929453294664246,4.03378044823339,2.118290211772299,10.050553638054682,0,0
GSM3998255,4.614421937640384,3.2324378714502275,2.278646899087354,9.470653454917718,1,1
GSM3998256,4.410154102255566,4.9257635968310005,1.8278361511035763,10.299873937965431,2,1
GSM3998257,5.148204421568986,5.207592679291988,1.9379007676575617,9.721986837662778,2,1
GSM3998259,3.836003730086198,3.1900390229384104,0.40605144163579354,9.739641478896274,2,1
GSM3998260,4.643583362608424,3.763529283505242,1.1634197125589365,10.10233798059194,2,1
GSM3998263,5.1838356036006665,3.2596532370701987,1.9813138316489505,9.716067628418887,2,1
GSM3998264,4.060612820398037,3.6196174327682007,1.958691628802671,9.350092520506957,2,1
GSM3998266,4.363662747312711,2.612658293625613,2.0859045064663793,9.875216558957858,0,0
GSM3998267,4.847784438236906,3.2848431001109892,1.1326864968582857,9.988062268288234,0,0
