Feature,Type,Direction,AUC,95CI_Low,95CI_High
COL15A1,Individual Gene,Up,0.6398,0.5283,0.7472
COL1A1,Individual Gene,Up,0.7609,0.6576,0.8479
COL3A1,Individual Gene,Up,0.7705,0.6678,0.8543
SERPINE2,Individual Gene,Up,0.6801,0.5679,0.7817
SERPINF2,Individual Gene,Down,0.6678,0.5572,0.7682
LAMC3,Individual Gene,Up,0.6907,0.583,0.7935
LTBP2,Individual Gene,Up,0.6836,0.571,0.7877
MDK,Individual Gene,Up,0.5924,0.4768,0.7036
SVEP1,Individual Gene,Up,0.6246,0.5118,0.7296
9-Hub Ensemble,Multivariable Model (LR+RF),Ensemble Probability,0.7192,0.6099,0.8121
