cell_type,marker_or_signature,spearman_rho,p_value,significant_at_001
M2 Macrophages,COL15A1,0.8064,1.22505979732577e-245,True
M2 Macrophages,COL1A1,0.8111,8.523492294311154e-251,True
M2 Macrophages,SERPINE2,0.6344,1.8508489254127557e-121,True
M2 Macrophages,SERPINF2,-0.4054,1.5112969064775319e-43,True
M2 Macrophages,4-Hub Signature,0.8937,0.0,True
Activated Fibroblasts,COL15A1,0.8775,0.0,True
Activated Fibroblasts,COL1A1,0.7266,3.7077833610934164e-176,True
Activated Fibroblasts,SERPINE2,0.6882,7.362431686090074e-151,True
Activated Fibroblasts,SERPINF2,-0.4447,4.890047083527056e-53,True
Activated Fibroblasts,4-Hub Signature,0.932,0.0,True
Regulatory T Cells (Tregs),COL15A1,0.7491,4.960261936714941e-193,True
Regulatory T Cells (Tregs),COL1A1,0.6513,4.5497093264056324e-130,True
Regulatory T Cells (Tregs),SERPINE2,0.7417,2.563647576729891e-187,True
Regulatory T Cells (Tregs),SERPINF2,-0.3761,3.012206977974183e-37,True
Regulatory T Cells (Tregs),4-Hub Signature,0.8343,3.292039367155089e-278,True
M1 Macrophages,COL15A1,0.3816,2.1448506450223588e-38,True
M1 Macrophages,COL1A1,0.3499,3.78777441924436e-32,True
M1 Macrophages,SERPINE2,0.3009,8.29062370797971e-24,True
M1 Macrophages,SERPINF2,-0.241,1.3528239512084365e-15,True
M1 Macrophages,4-Hub Signature,0.4322,6.983066206324178e-50,True
CD8+ T Cells,COL15A1,0.2864,1.2606952820191938e-21,True
CD8+ T Cells,COL1A1,0.2959,4.864799040481292e-23,True
CD8+ T Cells,SERPINE2,0.2455,3.8242670718516693e-16,True
CD8+ T Cells,SERPINF2,-0.1912,2.9595137621730993e-10,True
CD8+ T Cells,4-Hub Signature,0.3419,1.0958227921419372e-30,True
CD4+ Memory T Cells,COL15A1,0.2699,2.697073067281854e-19,True
CD4+ Memory T Cells,COL1A1,0.235,7.048902725948812e-15,True
CD4+ Memory T Cells,SERPINE2,0.2002,3.97622310087492e-11,True
CD4+ Memory T Cells,SERPINF2,-0.1772,5.409815370161198e-09,True
CD4+ Memory T Cells,4-Hub Signature,0.2943,8.347115736209925e-23,True
Dendritic Cells,COL15A1,0.2887,5.821778148212736e-22,True
Dendritic Cells,COL1A1,0.2669,6.784577453881126e-19,True
Dendritic Cells,SERPINE2,0.2693,3.2185185708454383e-19,True
Dendritic Cells,SERPINF2,-0.1551,3.454052562718022e-07,True
Dendritic Cells,4-Hub Signature,0.3222,3.048245076418829e-27,True
Neutrophils,COL15A1,0.5197,5.195355086231103e-75,True
Neutrophils,COL1A1,0.4333,3.7734274811040744e-50,True
Neutrophils,SERPINE2,0.3963,1.5916566641152062e-41,True
Neutrophils,SERPINF2,-0.309,4.349898209370734e-25,True
Neutrophils,4-Hub Signature,0.5626,2.8444560347509393e-90,True
B Cells,COL15A1,0.3126,1.15544863849446e-25,True
B Cells,COL1A1,0.3146,5.578907600683277e-26,True
B Cells,SERPINE2,0.2077,6.924061049160919e-12,True
B Cells,SERPINF2,-0.1989,5.395125552886438e-11,True
B Cells,4-Hub Signature,0.3511,2.2776606004608053e-32,True
Natural Killer (NK) Cells,COL15A1,-0.4671,4.941610853684567e-59,True
Natural Killer (NK) Cells,COL1A1,-0.4073,5.507553753159893e-44,True
Natural Killer (NK) Cells,SERPINE2,-0.3615,2.4356995183314644e-34,True
Natural Killer (NK) Cells,SERPINF2,0.2129,2.027688719071141e-12,True
Natural Killer (NK) Cells,4-Hub Signature,-0.4892,2.069969479199576e-65,True
Mast Cells,COL15A1,0.3284,2.6560964511273505e-28,True
Mast Cells,COL1A1,0.2908,2.81181362092266e-22,True
Mast Cells,SERPINE2,0.2344,8.193157890039617e-15,True
Mast Cells,SERPINF2,-0.1939,1.6397954055975786e-10,True
Mast Cells,4-Hub Signature,0.3612,2.7032297919988903e-34,True
Endothelial Cells,COL15A1,-0.7343,1.0315131071452387e-181,True
Endothelial Cells,COL1A1,-0.7003,2.258217373608625e-158,True
Endothelial Cells,SERPINE2,-0.5807,2.2022464003583702e-97,True
Endothelial Cells,SERPINF2,0.391,2.2013889389143907e-40,True
Endothelial Cells,4-Hub Signature,-0.8064,1.2645080798423835e-245,True
