cell_type_marker,hub_gene,spearman_rho,p_value,n_samples,p_adj
M2 Macrophage (CD163),COL15A1,0.146,0.10558140723673472,124,0.12028261583931804
M2 Macrophage (CD163),COL1A1,0.5944,3.385227109861419e-13,124,1.7921790581619276e-12
M2 Macrophage (CD163),COL3A1,0.6618,5.831644385345824e-17,124,5.248479946811241e-16
M2 Macrophage (CD163),SERPINE2,0.5248,3.9201895891079165e-10,124,1.4700710959154688e-09
M2 Macrophage (CD163),SERPINF2,-0.4701,3.6217287028761144e-08,124,1.0865186108628343e-07
M2 Macrophage (CD163),LAMC3,0.3545,5.3456607153145154e-05,124,0.00010934306008597873
M2 Macrophage (CD163),LTBP2,0.3219,0.00026619820904319393,124,0.0004991216419559886
M2 Macrophage (CD163),MDK,0.4361,4.122650536519785e-07,124,1.0306626341299462e-06
M2 Macrophage (CD163),SVEP1,0.4502,1.54886158666025e-07,124,4.099927729394779e-07
Total Macrophage (CD68),COL15A1,-0.1823,0.042731426900274795,124,0.05341428362534349
Total Macrophage (CD68),COL1A1,-0.1583,0.07902848360860787,124,0.092370954867204
Total Macrophage (CD68),COL3A1,-0.0585,0.5188220248702893,124,0.5493409675097181
Total Macrophage (CD68),SERPINE2,-0.1883,0.03624188439606764,124,0.046596708509229826
Total Macrophage (CD68),SERPINF2,0.0003,0.9973982139949243,124,0.9973982139949243
Total Macrophage (CD68),LAMC3,-0.1595,0.07675050950461589,124,0.09088876125546617
Total Macrophage (CD68),LTBP2,-0.2301,0.010138651976028777,124,0.014257479341290468
Total Macrophage (CD68),MDK,-0.0363,0.6887192133383888,124,0.7124681517293678
Total Macrophage (CD68),SVEP1,-0.17,0.05913932055126332,124,0.07291149109059862
Activated Myofibroblast (ACTA2),COL15A1,0.317,0.0003349751991208349,124,0.0006152605698137784
Activated Myofibroblast (ACTA2),COL1A1,0.4733,2.8324258224187332e-08,124,8.790287035092621e-08
Activated Myofibroblast (ACTA2),COL3A1,0.4622,6.49907759915938e-08,124,1.8868289804011106e-07
Activated Myofibroblast (ACTA2),SERPINE2,0.5214,5.334044984836629e-10,124,1.8464001870588332e-09
Activated Myofibroblast (ACTA2),SERPINF2,-0.3076,0.0005112203179713685,124,0.0009021535023024149
Activated Myofibroblast (ACTA2),LAMC3,0.4774,2.0759845008641535e-08,124,6.672807324206209e-08
Activated Myofibroblast (ACTA2),LTBP2,0.5308,2.2685073520394995e-10,124,9.280257349252497e-10
Activated Myofibroblast (ACTA2),MDK,0.1857,0.038978234025853535,124,0.049409029046856595
Activated Myofibroblast (ACTA2),SVEP1,0.5104,1.396084710595918e-09,124,4.653615701986394e-09
Activated Fibroblast (FAP),COL15A1,0.2191,0.014512256244439588,124,0.020093893261531735
Activated Fibroblast (FAP),COL1A1,0.3376,0.00012591206968227576,124,0.00024634970155227865
Activated Fibroblast (FAP),COL3A1,0.4349,4.495312183296946e-07,124,1.093454314856014e-06
Activated Fibroblast (FAP),SERPINE2,0.3846,1.03060376282762e-05,124,2.378316375756046e-05
Activated Fibroblast (FAP),SERPINF2,-0.2717,0.002267814557125516,124,0.003459378137988075
Activated Fibroblast (FAP),LAMC3,0.1329,0.14111923779831223,124,0.1567991531092358
Activated Fibroblast (FAP),LTBP2,0.1643,0.06819406948866454,124,0.08183288338639744
Activated Fibroblast (FAP),MDK,0.2088,0.019921097110337765,124,0.02716513242318786
Activated Fibroblast (FAP),SVEP1,0.2956,0.0008600791694650724,124,0.0014074022773064823
Matrix Stroma (POSTN),COL15A1,0.6094,5.868844362207313e-14,124,3.5213066173243876e-13
Matrix Stroma (POSTN),COL1A1,0.7364,1.9060297825619487e-22,124,4.288567010764385e-21
Matrix Stroma (POSTN),COL3A1,0.7888,1.4997427365861295e-27,124,4.4992282097583884e-26
Matrix Stroma (POSTN),SERPINE2,0.8345,2.281395041994348e-33,124,2.053255537794913e-31
Matrix Stroma (POSTN),SERPINF2,-0.5461,5.381967957541611e-11,124,2.421885580893725e-10
Matrix Stroma (POSTN),LAMC3,0.7017,1.1085848285740333e-19,124,1.4253233510237572e-18
Matrix Stroma (POSTN),LTBP2,0.7231,2.4713904374138884e-21,124,4.448502787344999e-20
Matrix Stroma (POSTN),MDK,0.208,0.02045695251598059,124,0.027479488454302287
Matrix Stroma (POSTN),SVEP1,0.7896,1.1969106190193126e-27,124,4.4992282097583884e-26
Endothelial Cell (PECAM1),COL15A1,0.3707,2.2490432383108257e-05,124,4.819378367808912e-05
Endothelial Cell (PECAM1),COL1A1,0.6361,2.036550736833013e-15,124,1.4099197408843937e-14
Endothelial Cell (PECAM1),COL3A1,0.6914,6.213327315598115e-19,124,6.989993230047878e-18
Endothelial Cell (PECAM1),SERPINE2,0.6541,1.7665293776559187e-16,124,1.4453422180821154e-15
Endothelial Cell (PECAM1),SERPINF2,-0.5601,1.3410574950356807e-11,124,6.35237760806375e-11
Endothelial Cell (PECAM1),LAMC3,0.5268,3.288924662872927e-10,124,1.2869705202546236e-09
Endothelial Cell (PECAM1),LTBP2,0.4581,8.786431722780395e-08,124,2.471183922031986e-07
Endothelial Cell (PECAM1),MDK,0.3282,0.0001986091273016907,124,0.00038031535015217374
Endothelial Cell (PECAM1),SVEP1,0.6344,2.5788476805858903e-15,124,1.6578306518052153e-14
Cytotoxic T Cell (CD8A),COL15A1,0.2949,0.0008846481552409086,124,0.0014217559637800317
Cytotoxic T Cell (CD8A),COL1A1,0.6412,1.045412339147912e-15,124,7.84059254360934e-15
Cytotoxic T Cell (CD8A),COL3A1,0.7091,3.0808932623209546e-20,124,4.621339893481432e-19
Cytotoxic T Cell (CD8A),SERPINE2,0.69,7.765604693498251e-19,124,7.76560469349825e-18
Cytotoxic T Cell (CD8A),SERPINF2,-0.5951,3.139006550080823e-13,124,1.765691184420463e-12
Cytotoxic T Cell (CD8A),LAMC3,0.5238,4.286475979630752e-10,124,1.5431313526670708e-09
Cytotoxic T Cell (CD8A),LTBP2,0.4339,4.788871188091672e-07,124,1.1342063340217118e-06
Cytotoxic T Cell (CD8A),MDK,0.4515,1.419249583818757e-07,124,3.870680683142064e-07
Cytotoxic T Cell (CD8A),SVEP1,0.5356,1.4555792817090987e-10,124,6.238196921610422e-10
Helper T Cell (CD4),COL15A1,-0.2935,0.0009389184101475107,124,0.0014825027528644907
Helper T Cell (CD4),COL1A1,-0.3425,9.876453190839997e-05,124,0.00019752906381679993
Helper T Cell (CD4),COL3A1,-0.4364,4.0426255672703136e-07,124,1.0306626341299462e-06
Helper T Cell (CD4),SERPINE2,-0.3827,1.1532484154920007e-05,124,2.5948089348570016e-05
Helper T Cell (CD4),SERPINF2,0.5922,4.3286622171948756e-13,124,2.164331108597438e-12
Helper T Cell (CD4),LAMC3,-0.3036,0.0006089372269331439,124,0.0010532026667066222
Helper T Cell (CD4),LTBP2,-0.3696,2.394682689026271e-05,124,5.012126558427079e-05
Helper T Cell (CD4),MDK,-0.1248,0.16717015747181105,124,0.18126884545136138
Helper T Cell (CD4),SVEP1,-0.3725,2.0442677294598144e-05,124,4.48741696710691e-05
Regulatory T Cell (Treg) (FOXP3),COL15A1,-0.248,0.0054748538308395595,124,0.008077653193041974
Regulatory T Cell (Treg) (FOXP3),COL1A1,-0.1572,0.08121185588377021,124,0.09370598755819638
Regulatory T Cell (Treg) (FOXP3),COL3A1,-0.1669,0.06396594215905707,124,0.07779641613939374
Regulatory T Cell (Treg) (FOXP3),SERPINE2,-0.3151,0.0003638938347781054,124,0.0006550089026005898
Regulatory T Cell (Treg) (FOXP3),SERPINF2,0.271,0.002331329361225352,124,0.0034969940418380285
Regulatory T Cell (Treg) (FOXP3),LAMC3,-0.1886,0.03593797728303211,124,0.046596708509229826
Regulatory T Cell (Treg) (FOXP3),LTBP2,-0.1201,0.18383384115398213,124,0.196964829807838
Regulatory T Cell (Treg) (FOXP3),MDK,0.1279,0.15691609199531942,124,0.17222497901925304
Regulatory T Cell (Treg) (FOXP3),SVEP1,-0.2993,0.0007336958093901236,124,0.0012228263489835395
M1 Macrophage (NOS2),COL15A1,-0.025,0.7832654503632245,124,0.7920661857605641
M1 Macrophage (NOS2),COL1A1,-0.1999,0.02600696900565375,124,0.034420988389835844
M1 Macrophage (NOS2),COL3A1,-0.2876,0.0011981737444656528,124,0.0018592351207225646
M1 Macrophage (NOS2),SERPINE2,-0.3032,0.0006202193481716776,124,0.0010532026667066222
M1 Macrophage (NOS2),SERPINF2,0.0323,0.7215184807157188,124,0.7379166280047124
M1 Macrophage (NOS2),LAMC3,-0.2413,0.006943930421522784,124,0.010079898998984687
M1 Macrophage (NOS2),LTBP2,-0.2383,0.007683237584067978,124,0.010976053691525683
M1 Macrophage (NOS2),MDK,-0.0408,0.6528002763118064,124,0.6831630798611927
M1 Macrophage (NOS2),SVEP1,-0.1392,0.12309833410304645,124,0.13848562586592725
