protein_A,protein_B,combined_score,experimental_score,database_score,coexpression_score,textmining_score
FN1,ITGB1,0.999,0.981,0.9,0.099,0.998
COL1A1,COL3A1,0.999,0.0,0.9,0.958,0.965
PLG,SERPINF2,0.999,0.512,0.8,0.446,0.999
TIMP1,MMP1,0.999,0.935,0.4,0.123,0.984
COL1A2,COL3A1,0.999,0.229,0.9,0.999,0.966
COL1A1,COL1A2,0.999,0.649,0.9,0.964,0.981
PLG,FN1,0.997,0.292,0.0,0.055,0.996
TIMP1,MMP2,0.997,0.16,0.4,0.148,0.994
TGFB1,SMAD3,0.99,0.178,0.5,0.067,0.978
SERPINE1,PLG,0.989,0.294,0.4,0.0,0.977
COL1A2,ITGB1,0.988,0.051,0.9,0.109,0.883
COL1A1,ITGB1,0.984,0.294,0.9,0.093,0.793
COL1A2,FN1,0.982,0.05,0.4,0.54,0.942
COL1A1,FN1,0.974,0.594,0.0,0.335,0.912
TGFB1,FN1,0.969,0.0,0.0,0.049,0.969
TGFB1,CCN2,0.969,0.0,0.0,0.102,0.967
FN1,CCN2,0.963,0.292,0.0,0.216,0.939
MMP2,TGFB1,0.962,0.6,0.4,0.07,0.85
TIMP1,FN1,0.954,0.16,0.4,0.087,0.913
SERPINF2,FN1,0.953,0.067,0.72,0.059,0.832
COL3A1,ITGB1,0.942,0.051,0.9,0.08,0.414
LOX,FN1,0.931,0.591,0.0,0.233,0.799
MMP2,MMP1,0.93,0.0,0.9,0.181,0.215
COL3A1,FN1,0.928,0.05,0.0,0.447,0.874
TGFB1,ITGB1,0.885,0.0,0.5,0.119,0.761
TIMP1,TGFB1,0.882,0.053,0.4,0.16,0.782
COL1A1,CCN2,0.876,0.0,0.0,0.214,0.848
MMP2,COL1A2,0.853,0.098,0.0,0.452,0.726
SERPINE1,SMAD3,0.848,0.047,0.5,0.062,0.7
LOX,COL3A1,0.843,0.27,0.0,0.276,0.727
TIMP1,COL1A1,0.842,0.0,0.0,0.175,0.817
TIMP1,SERPINE1,0.84,0.0,0.0,0.269,0.791
MMP2,CCN2,0.839,0.0,0.0,0.175,0.813
COL1A2,CCN2,0.835,0.0,0.0,0.266,0.784
MMP2,COL1A1,0.828,0.298,0.0,0.403,0.623
SERPINE1,CCN2,0.819,0.0,0.0,0.354,0.731
TIMP1,CCN2,0.816,0.0,0.0,0.119,0.8
TGFB1,MMP1,0.812,0.0,0.4,0.072,0.691
COL1A1,LOX,0.808,0.27,0.0,0.364,0.621
TGFB1,COL1A2,0.804,0.067,0.0,0.042,0.798
TGFB1,COL1A1,0.802,0.095,0.0,0.047,0.789
COL1A2,SMAD3,0.799,0.063,0.5,0.0,0.607
MMP2,COL3A1,0.799,0.05,0.0,0.363,0.694
TGFB1,SERPINE1,0.798,0.0,0.0,0.131,0.777
CCN2,ITGB1,0.794,0.0,0.0,0.126,0.774
MMP1,FN1,0.792,0.0,0.0,0.109,0.777
COL3A1,COL15A1,0.791,0.0,0.4,0.334,0.478
SERPINE1,FN1,0.79,0.0,0.0,0.28,0.72
LOX,COL1A2,0.788,0.27,0.0,0.361,0.582
COL3A1,CCN2,0.782,0.0,0.0,0.2,0.739
SERPINE1,MMP1,0.773,0.0,0.0,0.208,0.726
COL1A1,SMAD3,0.773,0.126,0.0,0.0,0.751
MMP2,PLG,0.772,0.0,0.4,0.055,0.631
COL1A1,MMP1,0.767,0.05,0.0,0.139,0.738
LOX,CCN2,0.763,0.0,0.0,0.176,0.724
MMP2,FN1,0.756,0.24,0.0,0.255,0.577
MMP2,SERPINE1,0.755,0.0,0.0,0.181,0.714
MMP2,ITGB1,0.755,0.297,0.0,0.115,0.637
TIMP1,ITGB1,0.753,0.0,0.0,0.085,0.741
SMAD3,CCN2,0.751,0.0,0.0,0.102,0.735
TGFB1,COL3A1,0.748,0.067,0.0,0.044,0.74
TIMP1,PLG,0.743,0.0,0.0,0.0,0.743
SMAD3,FN1,0.73,0.045,0.0,0.062,0.722
MMP2,LOX,0.73,0.238,0.0,0.29,0.542
PLG,SERPINE2,0.726,0.045,0.0,0.0,0.725
COL1A1,COL15A1,0.713,0.0,0.4,0.339,0.279
PLG,MMP1,0.706,0.0,0.4,0.055,0.523
COL1A2,COL15A1,0.702,0.0,0.4,0.31,0.258
