source,target,combined_score,interaction_type
TIMP1,PLG,0.743,High-Confidence STRING Physical/Functional Association
TIMP1,ITGB1,0.753,High-Confidence STRING Physical/Functional Association
TIMP1,CCN2,0.816,High-Confidence STRING Physical/Functional Association
TIMP1,SERPINE1,0.84,High-Confidence STRING Physical/Functional Association
TIMP1,COL1A1,0.842,High-Confidence STRING Physical/Functional Association
TIMP1,TGFB1,0.882,High-Confidence STRING Physical/Functional Association
TIMP1,FN1,0.954,High-Confidence STRING Physical/Functional Association
TIMP1,MMP2,0.997,High-Confidence STRING Physical/Functional Association
TIMP1,MMP1,0.999,High-Confidence STRING Physical/Functional Association
MMP2,LOX,0.73,High-Confidence STRING Physical/Functional Association
MMP2,SERPINE1,0.755,High-Confidence STRING Physical/Functional Association
MMP2,ITGB1,0.755,High-Confidence STRING Physical/Functional Association
MMP2,FN1,0.756,High-Confidence STRING Physical/Functional Association
MMP2,PLG,0.772,High-Confidence STRING Physical/Functional Association
MMP2,COL3A1,0.799,High-Confidence STRING Physical/Functional Association
MMP2,COL1A1,0.828,High-Confidence STRING Physical/Functional Association
MMP2,CCN2,0.839,High-Confidence STRING Physical/Functional Association
MMP2,COL1A2,0.853,High-Confidence STRING Physical/Functional Association
MMP2,MMP1,0.93,High-Confidence STRING Physical/Functional Association
MMP2,TGFB1,0.962,High-Confidence STRING Physical/Functional Association
TGFB1,COL3A1,0.748,High-Confidence STRING Physical/Functional Association
TGFB1,SERPINE1,0.798,High-Confidence STRING Physical/Functional Association
TGFB1,COL1A1,0.802,High-Confidence STRING Physical/Functional Association
TGFB1,COL1A2,0.804,High-Confidence STRING Physical/Functional Association
TGFB1,MMP1,0.812,High-Confidence STRING Physical/Functional Association
TGFB1,ITGB1,0.885,High-Confidence STRING Physical/Functional Association
TGFB1,CCN2,0.969,High-Confidence STRING Physical/Functional Association
TGFB1,FN1,0.969,High-Confidence STRING Physical/Functional Association
TGFB1,SMAD3,0.99,High-Confidence STRING Physical/Functional Association
SERPINE1,MMP1,0.773,High-Confidence STRING Physical/Functional Association
SERPINE1,FN1,0.79,High-Confidence STRING Physical/Functional Association
SERPINE1,CCN2,0.819,High-Confidence STRING Physical/Functional Association
SERPINE1,SMAD3,0.848,High-Confidence STRING Physical/Functional Association
SERPINE1,PLG,0.989,High-Confidence STRING Physical/Functional Association
COL1A1,COL15A1,0.713,High-Confidence STRING Physical/Functional Association
COL1A1,MMP1,0.767,High-Confidence STRING Physical/Functional Association
COL1A1,SMAD3,0.773,High-Confidence STRING Physical/Functional Association
COL1A1,LOX,0.808,High-Confidence STRING Physical/Functional Association
COL1A1,CCN2,0.876,High-Confidence STRING Physical/Functional Association
COL1A1,FN1,0.974,High-Confidence STRING Physical/Functional Association
COL1A1,ITGB1,0.984,High-Confidence STRING Physical/Functional Association
COL1A1,COL3A1,0.999,High-Confidence STRING Physical/Functional Association
COL1A1,COL1A2,0.999,High-Confidence STRING Physical/Functional Association
LOX,CCN2,0.763,High-Confidence STRING Physical/Functional Association
LOX,COL1A2,0.788,High-Confidence STRING Physical/Functional Association
LOX,COL3A1,0.843,High-Confidence STRING Physical/Functional Association
LOX,FN1,0.931,High-Confidence STRING Physical/Functional Association
COL1A2,COL15A1,0.702,High-Confidence STRING Physical/Functional Association
COL1A2,SMAD3,0.799,High-Confidence STRING Physical/Functional Association
COL1A2,CCN2,0.835,High-Confidence STRING Physical/Functional Association
COL1A2,FN1,0.982,High-Confidence STRING Physical/Functional Association
COL1A2,ITGB1,0.988,High-Confidence STRING Physical/Functional Association
COL1A2,COL3A1,0.999,High-Confidence STRING Physical/Functional Association
COL3A1,CCN2,0.782,High-Confidence STRING Physical/Functional Association
COL3A1,COL15A1,0.791,High-Confidence STRING Physical/Functional Association
COL3A1,FN1,0.928,High-Confidence STRING Physical/Functional Association
COL3A1,ITGB1,0.942,High-Confidence STRING Physical/Functional Association
PLG,MMP1,0.706,High-Confidence STRING Physical/Functional Association
PLG,SERPINE2,0.726,High-Confidence STRING Physical/Functional Association
PLG,FN1,0.997,High-Confidence STRING Physical/Functional Association
PLG,SERPINF2,0.999,High-Confidence STRING Physical/Functional Association
SERPINF2,FN1,0.953,High-Confidence STRING Physical/Functional Association
MMP1,FN1,0.792,High-Confidence STRING Physical/Functional Association
SMAD3,FN1,0.73,High-Confidence STRING Physical/Functional Association
SMAD3,CCN2,0.751,High-Confidence STRING Physical/Functional Association
FN1,CCN2,0.963,High-Confidence STRING Physical/Functional Association
FN1,ITGB1,0.999,High-Confidence STRING Physical/Functional Association
CCN2,ITGB1,0.794,High-Confidence STRING Physical/Functional Association
