Library,Lib_Tag,Gene_Set,Gene_set,Term,Overlap,P_value,Adj_P_value,Old_P_value,Old_Adj_P_value,Odds_Ratio,Combined_Score,Genes
KEGG_2021_Human,KEGG,5genes,KEGG_2021_Human,Protein digestion and absorption,3/103,1.316534874609808e-06,1.57984184953177e-05,0,0,298.425,4040.825911284141,COL1A1;COL15A1;COL3A1
KEGG_2021_Human,KEGG,5genes,KEGG_2021_Human,AGE-RAGE signaling pathway in diabetic complications,2/100,0.0002450871709985121,0.000978216100258685,0,0,135.35374149659864,1125.3170126751409,COL1A1;COL3A1
KEGG_2021_Human,KEGG,5genes,KEGG_2021_Human,Amoebiasis,2/102,0.00025498813828150007,0.000978216100258685,0,0,132.63333333333333,1097.4471319194868,COL1A1;COL3A1
KEGG_2021_Human,KEGG,5genes,KEGG_2021_Human,Platelet activation,2/124,0.0003766762887531929,0.000978216100258685,0,0,108.59562841530057,856.1814426244825,COL1A1;COL3A1
KEGG_2021_Human,KEGG,5genes,KEGG_2021_Human,Relaxin signaling pathway,2/129,0.0004075900417744522,0.000978216100258685,0,0,104.29396325459318,814.0403198886481,COL1A1;COL3A1
KEGG_2021_Human,KEGG,5genes,KEGG_2021_Human,Diabetic cardiomyopathy,2/203,0.0010047235215473,0.0020094470430946,0,0,65.65174129353234,453.1967851814795,COL1A1;COL3A1
KEGG_2021_Human,KEGG,5genes,KEGG_2021_Human,Complement and coagulation cascades,1/85,0.0210720750045875,0.0327138803610668,0,0,59.25892857142857,228.72800210045256,SERPINF2
KEGG_2021_Human,KEGG,5genes,KEGG_2021_Human,ECM-receptor interaction,1/88,0.0218092535740445,0.0327138803610668,0,0,57.206896551724135,218.84045903047985,COL1A1
KEGG_2021_Human,KEGG,5genes,KEGG_2021_Human,Focal adhesion,1/201,0.0492546671533965,0.0602577254383325,0,0,24.74375,74.49727380042336,COL1A1
KEGG_2021_Human,KEGG,5genes,KEGG_2021_Human,Proteoglycans in cancer,1/205,0.0502147711986104,0.0602577254383325,0,0,24.25367647058824,72.55356464153554,COL1A1
KEGG_2021_Human,KEGG,5genes,KEGG_2021_Human,Human papillomavirus infection,1/331,0.0800633860831911,0.0854300091829899,0,0,14.897727272727272,37.615817324349365,COL1A1
KEGG_2021_Human,KEGG,5genes,KEGG_2021_Human,PI3K-Akt signaling pathway,1/354,0.0854300091829899,0.0854300091829899,0,0,13.910764872521248,34.22128624523743,COL1A1
