gene,logFC,p_value,adj_p_value
NPHS2,-3.5073942,2.48e-17,2.99e-13
PDK4,-2.5116636,3.1e-16,1.87e-12
PCOLCE2,-2.6784836,1.43e-15,5.77e-12
CISH,-1.3840197,3.25e-14,9.82e-11
FXYD5,1.14398213,7.61e-14,2.54e-10
CALHM2,1.21131568,8.41e-14,2.54e-10
FN1,1.68867932,6.53e-14,2.54e-10
ADA,0.89785466,6.09e-14,2.54e-10
SGK1,-1.3788144,1.83e-13,4.42e-10
CD247,1.22435107,2.62e-13,5.27e-10
ENTPD1,0.95046864,2.51e-13,5.27e-10
TGFBI,2.39614232,3.41e-13,5.89e-10
NDNF,-2.5733026,3.12e-13,6.28e-10
PODXL,-2.2790664,4.3e-13,7.42e-10
CD52,2.14034901,6.98e-13,9.36e-10
IGFBP6,1.91037589,1.28e-12,1.55e-09
TSC22D3,-1.6200484,1.12e-12,1.69e-09
DUSP1,-1.9691702,1.87e-12,2.51e-09
TAGLN,2.12357696,2.53e-12,2.63e-09
MCAM,1.1405123,2.62e-12,2.63e-09
FGF1,-1.9237488,2.25e-12,2.72e-09
CLIC5,-1.5335166,3.39e-12,3.41e-09
PER1,-1.0227681,3.28e-12,3.41e-09
CXCL6,3.420597,8.45e-12,7.85e-09
NEDD9,-0.8368033,1.03e-11,8.86e-09
ADGRE5,2.45,3.47e-13,8.87e-09
PTPRO,-2.3526648,1.3e-11,1.04e-08
EMP3,1.19751633,1.93e-11,1.79e-08
GADD45A,-1.3665533,2.55e-11,1.92e-08
SYT11,1.16962512,2.51e-11,2.15e-08
JPT1,0.98132336,2.67e-11,2.15e-08
KLK7,-0.9389254,3.13e-11,2.22e-08
CD36,2.12668809,3.58e-11,2.7e-08
CX3CR1,2.63143786,3.82e-11,2.71e-08
COPG1,-0.5341947,5e-11,3.35e-08
ADRB2,1.1513566,5.22e-11,3.43e-08
CD248,1.13305293,5.39e-11,3.43e-08
CD300A,1.17132114,5.98e-11,3.61e-08
TNF,0.75288794,6.92e-11,3.9e-08
CD48,2.14640028,7.11e-11,3.9e-08
TIPARP,-1.6703899,8.89e-11,5.65e-08
GZMA,1.94342639,1.17e-10,6.14e-08
AOAH,1.30747582,1.32e-10,6.62e-08
MICB,1.12607637,1.56e-10,7.53e-08
CBR3,1.07180483,1.67e-10,7.77e-08
GPR18,1.19863576,1.76e-10,7.85e-08
ENO2,1.22860453,1.9e-10,8.19e-08
ANKS1B,-1.95445145,2.44e-10,9.77e-08
XYLT1,-0.97226281,2.51e-10,9.77e-08
SOX17,1.21397443,2.5e-10,9.77e-08
PYCARD,1.77526742,2.75e-10,1.04e-07
CDR2L,0.77756348,2.96e-10,1.08e-07
KLF9,-0.9778318,3.08e-10,1.09e-07
FCER1G,1.55608599,3.16e-10,1.09e-07
TRIM38,0.60617159,3.46e-10,1.16e-07
PHLDA2,1.84833683,3.66e-10,1.19e-07
HTRA1,-1.14012,2.17e-10,1.31e-07
SOCS2,-1.1397542,2.77e-10,1.52e-07
NPHS1,-1.2788913,2.7e-10,1.52e-07
CSF1R,1.57852794,5.22e-10,1.66e-07
MICALL2,1.33025101,5.92e-10,1.82e-07
LPAR6,1.32456067,6.03e-10,1.82e-07
IL2RB,0.77674842,6.37e-10,1.88e-07
CYBB,1.5594541,6.84e-10,1.92e-07
TRDC,0.72124237,6.69e-10,1.92e-07
C1ORF21,-1.45540054,7.13e-10,1.96e-07
USP2,-1.527783,4.35e-10,2.21e-07
FBXO21,-1.01937884,9.09e-10,2.44e-07
PLCE1,-0.9646439,5.28e-10,2.48e-07
TNFSF15,1.0221008,5.54e-10,2.48e-07
TPPP3,-0.9576591,5.43e-10,2.48e-07
ADCY1,-0.87440017,9.83e-10,2.53e-07
PLAC8,1.86483713,9.69e-10,2.53e-07
CD44,1.15471287,1.03e-09,2.58e-07
SH3BGRL3,0.72826714,1.17e-09,2.89e-07
CASP1,1.22514886,1.24e-09,3e-07
LTF,3.285713,7.18e-10,3.1e-07
WT1,-1.0772971,7.59e-10,3.16e-07
DOCK2,1.45701592,1.34e-09,3.17e-07
CD14,1.67309742,1.37e-09,3.17e-07
ACTA2,1.94189663,1.44e-09,3.23e-07
ZNF189,-1.27265807,1.44e-09,3.23e-07
PPP1R3C,1.55337543,1.69e-09,3.68e-07
ITGB2,1.62455762,1.71e-09,3.68e-07
BTK,0.87733332,2.21e-09,4.67e-07
SRPX2,1.79436504,2.26e-09,4.69e-07
LST1,1.38274571,2.29e-09,4.69e-07
CTSS,1.4322483,2.46e-09,4.94e-07
GMPPB,0.6927446,2.51e-09,4.98e-07
NT5DC2,1.05377842,2.6e-09,5.07e-07
ARPC1B,1.01528997,2.92e-09,5.34e-07
RIT1,0.77773278,2.79e-09,5.34e-07
CFD,1.67408066,2.89e-09,5.34e-07
LAMC1,0.66343153,3.05e-09,5.49e-07
ADAM12,0.83081262,3.15e-09,5.6e-07
IL10RA,1.92837109,3.65e-09,6.29e-07
CCDC91,-1.05820003,4.1e-09,6.62e-07
NFKBIE,1.23083709,4.07e-09,6.62e-07
MAN2B1,1.04200739,4.17e-09,6.62e-07
ANO1,0.74427041,4.12e-09,6.62e-07
COL15A1,2.19890718,3.89e-09,6.62e-07
