gene,logFC,p_value,adj_p_value
CBSL///CBS,1.18282164,1.0600000000000001e-56,1.2699999999999999e-52
ASPN,-2.87354942,1.37e-46,8.21e-43
SFRP2,-2.60960092,1.62e-45,6.459999999999999e-42
TMEM100,-3.4742981,4.5e-45,9.89e-41
SUN2,0.82966871,8e-44,2.39e-40
GPX3///GPX3,1.41080964,1.09e-43,2.61e-40
MGAM,2.16041968,5.94e-43,1.1e-39
PSD3,-1.07706565,6.46e-43,1.1e-39
COL14A1,-2.06047864,6.749999999999999e-42,1.0099999999999999e-38
RPS6KA2,0.90790522,5.96e-41,7.91e-38
SLC6A4,-6.495751,1.25e-41,1.37e-37
PLPPR4,-1.36622984,1.17e-40,1.39e-37
NECAB1,1.80468093,1.29e-40,1.4e-37
SSPN,-0.9908241,1.6599999999999999e-40,1.5300000000000002e-37
SLCO4A1,2.04902995,2.67e-40,2.28e-37
SYTL2,-1.10353269,5.299999999999999e-40,4.2200000000000006e-37
PRX,-4.3759914,6.58e-41,4.8300000000000004e-37
GALNT18,1.11366708,8.16e-40,6.1e-37
P2RY1,1.38505638,9.85e-40,6.92e-37
HMCN1,-1.42244629,1.1999999999999999e-39,7.58e-37
FNDC1,-1.62903685,1.16e-39,7.58e-37
EPAS1,-2.7721807,3.1799999999999998e-40,1.75e-36
LSS,0.92863077,4.36e-39,2.61e-36
KLHL13,-1.39818915,4.31e-38,2.45e-35
ADIPOR2,0.91647076,7.85e-38,4.27e-35
DCXR,0.78842754,1.8800000000000002e-37,9.78e-35
CDH3,-1.6543613,3.02e-37,1.51e-34
MAP3K6,0.90239938,3.2000000000000003e-37,1.5299999999999999e-34
CSF3R,1.44233323,3.66e-37,1.68e-34
MDK,-0.87458787,4.13e-37,1.83e-34
IL1R2,2.74583777,9.420000000000001e-37,3.94e-34
TNFRSF19,-1.08107809,9.56e-37,3.94e-34
ROBO1,-0.83810793,2.16e-36,8.59e-34
S100A12,2.01109249,2.25e-36,8.67e-34
ZMAT3,-0.75377968,2.91e-36,1.09e-33
IRS2,0.9401535,7.38e-36,2.67e-33
PTGFRN,-1.08845177,8.26e-36,2.9e-33
HAL,0.76493707,1.46e-35,5e-33
GLT1D1,1.12880436,1.6100000000000001e-35,5.34e-33
FCN3,-5.260185,1.3e-36,5.73e-33
ACVRL1,-2.4174421,1.58e-36,5.8e-33
NLRP12,0.85347458,2.3100000000000001e-35,7.450000000000001e-33
ECHDC3,0.81486789,4.32e-35,1.36e-32
PDE7B,-1.17829101,4.54e-35,1.39e-32
GRASP,1.30432184,1e-34,2.99e-32
NDRG4,-2.4893471,1.29e-35,4.05e-32
PTCHD4,-1.66317521,1.55e-34,4.5200000000000003e-32
LRRC17,-1.52447373,2.37e-34,6.730000000000001e-32
LAMC3,-3.5391988,2.79e-35,7.66e-32
CD24,-2.12442621,3.95e-34,1.1e-31
CFH,-1.1591098,1.12e-33,3.03e-31
PIR-FIGF,-2.5515317,1.4e-34,3.43e-31
S100A9,1.39986223,1.92e-33,5.100000000000001e-31
GXYLT2,-1.28159566,1.9700000000000002e-33,5.12e-31
CRIP1,-0.96695309,4.47e-33,1.14e-30
MPP3,0.88555927,4.9000000000000005e-33,1.2099999999999999e-30
IFNGR1,0.67812834,4.9600000000000004e-33,1.2099999999999999e-30
TPPP3,-1.42149474,5.47e-33,1.3099999999999999e-30
THY1,-1.71080506,5.9e-33,1.3799999999999999e-30
NEO1,-1.0966595,7.22e-34,1.59e-30
IL18RAP,1.66850552,7.52e-33,1.73e-30
UPK3B,-3.1117752,9.04e-34,1.8099999999999997e-30
FASN,1.61349847,8.23e-33,1.8599999999999997e-30
ADRA1A,0.98821064,1.4700000000000002e-32,3.2499999999999996e-30
AGER,-4.4562295,2.5e-33,4.5699999999999995e-30
DIO2,-1.29318638,2.28e-32,4.96e-30
POLR3H,0.62251527,2.3400000000000003e-32,4.9899999999999994e-30
ADGRG3,1.13033954,3.09e-32,6.47e-30
SEMA5A,-2.080187,6.32e-33,9.929999999999999e-30
ADGRL2,-1.4213787,6.29e-33,9.929999999999999e-30
SDR16C5,1.61664612,5.28e-32,1.0900000000000001e-29
PRTFDC1,-0.85393696,6.68e-32,1.35e-29
DCLK1,-1.44575817,7.920000000000001e-32,1.58e-29
