Gene,LASSO_Selected,SVM_RFE_Selected,RandomForest_Selected,XGBoost_Selected,Total_ML_Votes,Diagnostic_ROC_AUC,LASSO_Coef,RF_Importance,XGB_Importance,SVM_Rank
COL15A1,1,1,1,1,4,0.8177,0.311,0.1208,0.2128,1
MDK,1,1,1,1,4,0.8051,0.9635,0.0875,0.0652,1
COL1A1,1,1,1,1,4,0.7935,1.2165,0.0777,0.0444,1
LTBP2,1,1,1,1,4,0.7155,0.9261,0.0511,0.0535,1
SERPINE2,1,0,1,1,3,0.7811,0.0189,0.105,0.0744,15
LAMC3,1,1,1,0,3,0.6086,-0.4138,0.0424,0.041,1
COL3A1,0,0,1,1,2,0.7723,0.0,0.0839,0.1242,10
SERPINF2,1,0,1,0,2,0.7052,-0.3036,0.0474,0.0406,8
CLEC2D,1,1,0,0,2,0.693,0.6539,0.0396,0.023,1
COL1A2,1,1,0,0,2,0.691,-0.3606,0.0239,0.0065,1
PDGFD,1,0,1,0,2,0.6706,0.1984,0.0476,0.0372,5
SERPINH1,1,1,0,0,2,0.6117,0.372,0.0198,0.0323,1
CCL5,1,1,0,0,2,0.5625,-0.2001,0.0177,0.0227,1
COLEC11,1,1,0,0,2,0.5615,-0.3602,0.0318,0.03,1
FGF14,1,0,0,0,1,0.6517,-0.0936,0.0228,0.0095,4
CCL2,1,0,0,0,1,0.632,-0.2013,0.0249,0.0211,11
SVEP1,1,0,0,0,1,0.5344,-0.3897,0.0225,0.0377,6
AEBP1,0,0,0,0,0,0.6135,0.0,0.0178,0.0215,3
BMP1,0,0,0,0,0,0.6049,0.0,0.0289,0.0266,14
MFAP4,0,0,0,0,0,0.6035,0.0,0.0234,0.0145,2
VWF,0,0,0,0,0,0.593,0.0,0.017,0.0096,9
SPARCL1,0,0,0,0,0,0.5915,0.0,0.018,0.0058,7
CCL21,0,0,0,0,0,0.5825,0.0,0.0154,0.037,13
CCL19,0,0,0,0,0,0.5731,0.0,0.0133,0.0091,12
