gene,LASSO_selected,LASSO_coef,SVM_RFE_selected,SVM_RFE_ranking,RandomForest_selected,RandomForest_importance,XGBoost_selected,XGBoost_importance,total_votes,is_consensus_hub_ge3,is_consensus_hub_4of4
SERPINF2,True,-2.2757625953194065,True,1,True,0.13993907902518007,True,0.45999858,4,True,True
MDK,True,1.8136877103843774,True,1,True,0.11902103822193917,True,0.22565852,4,True,True
SPP1,True,0.13968407831169172,True,1,True,0.10707155132615859,True,0.1770705,4,True,True
TNXB,True,2.1443792116986677,True,1,True,0.09096530835263936,True,0.13727237,4,True,True
GDF15,True,1.507598210109787,True,1,True,0.05860560901131986,False,0.0,3,True,False
THBS1,True,1.142305356084322,True,1,True,0.05515296210927985,False,0.0,3,True,False
LTB,True,0.14830954732539592,True,1,True,0.0433987084840901,False,0.0,3,True,False
CCL21,True,0.43788855198095883,True,1,True,0.035132042087731644,False,0.0,3,True,False
CCL2,True,0.0679905335627986,False,9,True,0.03464674986356517,False,0.0,2,False,False
SFRP4,True,-0.14112583358639683,False,6,True,0.022364339861565566,False,0.0,2,False,False
PRELP,True,-0.5799143394121488,False,4,True,0.02148299111389213,False,0.0,2,False,False
SEMA7A,True,0.5223930661297401,True,1,False,0.017888433766362444,False,0.0,2,False,False
IGF1,True,-1.428479554490063,True,1,False,0.017419494028489347,False,0.0,2,False,False
LTBP2,True,-1.9452500757553166,True,1,False,0.014314735921077367,False,0.0,2,False,False
COL1A2,True,-0.194989149663078,True,1,False,0.010034548206899311,False,0.0,2,False,False
CTSS,True,0.10860284846926233,True,1,False,0.008501494121255976,False,0.0,2,False,False
SVEP1,True,-0.7243087012502898,True,1,False,0.006167466378736429,False,0.0,2,False,False
C1QC,True,-0.07302876148726094,True,1,False,0.004082205429608319,False,0.0,2,False,False
SPARCL1,False,0.0,False,10,True,0.03527377930890628,False,0.0,1,False,False
VCAN,False,0.0,False,29,True,0.03434801205817071,False,0.0,1,False,False
PDGFD,False,0.0,False,15,True,0.021003007155729576,False,0.0,1,False,False
SERPINE1,True,0.49884148613449364,False,12,False,0.01061197340616679,False,0.0,1,False,False
AEBP1,True,0.016495037545892342,False,2,False,0.005976162771530009,False,0.0,1,False,False
COLEC11,True,0.30998502692330693,False,3,False,0.0022481524839864293,False,0.0,1,False,False
TGM2,True,-0.1427999600263517,False,24,False,0.0021977890129525894,False,0.0,1,False,False
ADAMTS4,True,0.024767588880609447,False,5,False,0.0011145250330174793,False,0.0,1,False,False
SDC3,True,0.07472094910211967,False,25,False,0.000496523596601883,False,0.0,1,False,False
PLXNA3,True,0.4256660845079871,False,19,False,6.525948566962266e-05,False,0.0,1,False,False
F13A1,False,0.0,False,26,False,0.016289018112484767,False,0.0,0,False,False
LUM,False,0.0,False,32,False,0.00713436533961516,False,0.0,0,False,False
COL1A1,False,0.0,False,18,False,0.00673887149791039,False,0.0,0,False,False
COL15A1,False,0.0,False,20,False,0.006072897300998086,False,0.0,0,False,False
MFAP4,False,0.0,False,34,False,0.005918494046573603,False,0.0,0,False,False
VWF,False,0.0,False,21,False,0.005823670912502142,False,0.0,0,False,False
BGN,False,0.0,False,22,False,0.004436666211379591,False,0.0,0,False,False
CCL19,False,0.0,False,27,False,0.004004570479190446,False,0.0,0,False,False
C1QB,False,0.0,False,13,False,0.0037780136181996614,False,0.0,0,False,False
TIMP1,False,0.0,False,17,False,0.003555991013926035,False,0.0,0,False,False
CCL18,False,0.0,False,33,False,0.0022866626928428595,False,0.0,0,False,False
FBN1,False,0.0,False,7,False,0.0021272287136512077,False,0.0,0,False,False
COL6A3,False,0.0,False,31,False,0.002039449511734571,False,0.0,0,False,False
CCL5,False,0.0,False,35,False,0.001977475738452116,False,0.0,0,False,False
CCL4,False,0.0,False,36,False,0.0017269592037991814,False,0.0,0,False,False
FMOD,False,0.0,False,14,False,0.0013087658197084887,False,0.0,0,False,False
SERPINH1,False,0.0,False,30,False,0.0012139409042535132,False,0.0,0,False,False
LTBP4,False,0.0,False,16,False,0.001071192872749198,False,0.0,0,False,False
TGFB3,False,0.0,False,28,False,0.001046892542147482,False,0.0,0,False,False
PLXND1,False,0.0,False,23,False,0.0008765358145289753,False,0.0,0,False,False
LAMC3,False,0.0,False,11,False,0.0005294568811770301,False,0.0,0,False,False
COL3A1,False,0.0,False,8,False,0.000518939149653515,False,0.0,0,False,False
