gene,organ,instrument_source,n_instruments,IVW_beta,IVW_p,IVW_p_adj,Egger_p,Cochran_Q_p,F_statistic,verdict,IVW_p_adj_50gene
ADAMTS4,Kidney,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
ADAMTS4,Liver,eQTLGen,1,-1.35028869787004,0.0107090819420796,0.4303512948566115,,,37.60265041,Single instrument - Unable to assess pleiotropy,0.31027080526094425
ADAMTS4,Lung,eQTLGen,1,1.23604279624135,0.119856429761666,0.7494838063920984,,,37.60265041,Not Significant (IVW p>=0.05),0.6601015903060482
ADAMTS4,Skin,eQTLGen,1,1.61721493724879,0.252817009538766,0.9160524304972164,,,37.60265041,Not Significant (IVW p>=0.05),0.8113695395443072
AEBP1,Kidney,eQTLGen,1,0.222536523320591,0.0455002638963584,0.5157773983701662,,,493.48845316,Single instrument - Unable to assess pleiotropy,0.39900231416806603
AEBP1,Liver,eQTLGen,1,-0.0848907293804518,0.574893159668693,0.9421441841255442,,,493.48845316,Not Significant (IVW p>=0.05),0.8612416070774862
AEBP1,Lung,eQTLGen,1,-0.164891218660934,0.440996464466055,0.9177578274973504,,,493.48845316,Not Significant (IVW p>=0.05),0.8196188676954851
AEBP1,Skin,eQTLGen,1,0.0253699286278463,0.947004358279711,0.983344746747594,,,493.48845316,Not Significant (IVW p>=0.05),0.9814731351245495
BGN,Kidney,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
BGN,Liver,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
BGN,Lung,,0,,,,,,,No instruments available in eQTLGen or GTEx v8,
BGN,Skin,GTEx,1,-0.0257885834204819,0.9019341627861426,0.983344746747594,,,126.41397218204364,Not Significant (IVW p>=0.05),0.9814731351245495
C1QB,Kidney,eQTLGen,1,-0.0016542142444994,0.975070165131246,0.9960551703198638,,,2884.05517156,Not Significant (IVW p>=0.05),0.9907088959974716
C1QB,Liver,eQTLGen,1,-0.0565701570476941,0.442629327999702,0.9177578274973504,,,2884.05517156,Not Significant (IVW p>=0.05),0.8196188676954851
C1QB,Lung,eQTLGen,1,0.0061052746807438,0.953312980835592,0.983344746747594,,,2884.05517156,Not Significant (IVW p>=0.05),0.9814731351245495
C1QB,Skin,eQTLGen,1,-0.396670650545499,0.0329567911441782,0.5157773983701662,,,2884.05517156,Single instrument - Unable to assess pleiotropy,0.39900231416806603
C1QC,Kidney,eQTLGen,1,0.0130960756155026,0.93436605637943,0.983344746747594,,,362.04195076,Not Significant (IVW p>=0.05),0.9814731351245495
C1QC,Liver,eQTLGen,1,-0.201092111943988,0.354107569660305,0.9177578274973504,,,362.04195076,Not Significant (IVW p>=0.05),0.8196188676954851
C1QC,Lung,eQTLGen,1,0.0924114286034244,0.763169723769251,0.980273981533108,,,362.04195076,Not Significant (IVW p>=0.05),0.9775432416819619
