organ,gene,n_shared_snps,beta_mvmr,se_mvmr,z_mvmr,pval_mvmr,fdr_mvmr
Skin,C1QB,391,-0.7984419314077545,0.09010951189332564,-8.860795210531982,0.0,0.0
Liver,C1QB,391,-0.16896147702861922,0.03582784143834428,-4.715926783347612,2.406129561594028e-06,2.646742517753431e-05
Skin,C1QC,391,1.0445497229872958,0.2614196566651936,3.995681641970311,6.450837419502697e-05,0.0004730614107635312
Liver,LTB,391,2.1514542796985827,0.7213482020795918,2.982546117805665,0.0028586157713963445,0.015722386742679895
Liver,C1QC,391,0.2918930053572618,0.1039820189018843,2.807148855540949,0.004998213929578332,0.02199214129014466
Skin,TNXB,391,-2.3812019682770966,0.9257573852253819,-2.572166321630129,0.010106432634946483,0.03705691966147044
Liver,TNXB,391,0.7481368451363488,0.35665233093394966,2.0976642524029945,0.03593481484057981,0.11293798949896512
Kidney,C1QB,124,-0.07010083070681136,0.03659627065264742,-1.9155184246004633,0.055426421745720544,0.13995781384364012
Skin,LTB,391,-3.556057945276598,1.8702751904234496,-1.9013554601403175,0.05725546929967096,0.13995781384364012
Kidney,C1QC,124,0.09660543671165608,0.10904939634440651,0.8858869461922637,0.37567845104789654,0.8264925923053724
Kidney,CCL4,124,1.7723383870757652,3.2081023910830018,0.5524569265625756,0.580635337621048,0.8696536336952261
Lung,C1QB,391,0.02779559078658645,0.050709189285402786,0.548137155775585,0.5835977295639099,0.8696536336952261
Lung,TNXB,391,0.2755898458947351,0.5147653528194858,0.535369842560824,0.5923941394579919,0.8696536336952261
Lung,LTB,391,0.5125402650600643,1.0411370560956814,0.4922889470307754,0.6225150926822098,0.8696536336952261
Lung,C1QC,391,0.0708525180109575,0.1471392758275119,0.4815336871306634,0.6301372434497403,0.8696536336952261
Kidney,CCL5,124,2.1335942259449774,4.601157671169245,0.4637081313935475,0.6428568706128206,0.8696536336952261
Lung,CCL5,391,3.0287345486572614,7.366521652031018,0.411148530028716,0.6809636265621792,0.8696536336952261
Skin,CCL5,391,-4.85224021691017,13.121411312850425,-0.36979560362978176,0.711534791205185,0.8696536336952261
Liver,CCL4,391,-0.4998728429302749,3.5324708883958476,-0.1415079865406266,0.8874686511847425,0.9206217185521546
Liver,CCL5,391,-0.671045152708808,5.174656537853542,-0.12967916765103002,0.8968202651796313,0.9206217185521546
Skin,CCL4,391,-0.9480297752709349,8.950434923673344,-0.10591996739325539,0.9156458514961976,0.9206217185521546
Lung,CCL4,391,0.5010355028818706,5.027922452164077,0.09965060273875526,0.9206217185521546,0.9206217185521546
