gene,kidney_logFC,kidney_adj_p_value,liver_logFC,liver_adj_p_value,lung_logFC,lung_adj_p_value,skin_logFC,skin_adj_p_value,is_ECM_gene,matrisome_category,matrisome_division
ABCA6,1.9611102,0.000609,1.01350348,8.93e-05,-0.9507391,1.87e-05,-0.6430272,0.00532,False,Non-ECM,Non-ECM
AEBP1,1.67758834,0.000102,-1.07007992,0.0062103,-0.7989775,0.000162,-0.73168653,2.51e-07,True,ECM Glycoproteins,Core matrisome
AKT1,1.4565494,0.000617,1.174348,4.91e-07,1.6698614,4.01e-20,-0.8256978,0.00118,False,Non-ECM,Non-ECM
ARF1,-1.0805042,2.73e-05,1.754275,0.000277,0.7671273,1.06e-10,-1.2041679,1.55e-05,False,Non-ECM,Non-ECM
ATF5,0.7570369,0.000499,3.0933762,0.04026,0.5977036,4.52e-10,0.7375275,3.95e-05,False,Non-ECM,Non-ECM
BMP1,-1.6414568,0.000855,1.642421,3.04e-07,0.87506283,1.54e-09,-0.66011388,3.72e-16,True,ECM Regulators,Matrisome-associated
CAB39L,-0.7973355,0.0123,-0.801855,0.043,0.594005,0.00135,-1.9461268,2.49e-06,False,Non-ECM,Non-ECM
CCL19,1.6645841,0.00232,-1.47993455,0.0186169,-3.520365,1.89e-13,-1.50947281,1.74e-19,True,Secreted Factors,Matrisome-associated
CCL2,2.17500819,1.47e-05,-1.8050286,0.04978,-2.5212675,8.69e-05,-1.43692,1e-17,True,Secreted Factors,Matrisome-associated
CCL21,0.9320614,0.0033,-1.3596551,0.0033836,2.1132709,3.16e-13,-1.1466899,0.00107,True,Secreted Factors,Matrisome-associated
CCL5,1.28174734,1.78e-06,-1.3291413,0.01146,1.6986755,6.65e-11,-1.28732668,1.17e-10,True,Secreted Factors,Matrisome-associated
CD1E,-1.6194116,0.000669,-0.68941255,0.0139241,-0.83053502,3.49e-14,-0.9640441,0.0234,False,Non-ECM,Non-ECM
CD3D,0.9263287,0.000181,-0.82562977,0.0206647,1.386985,1.14e-10,-0.63981003,0.00206,False,Non-ECM,Non-ECM
CD48,2.14640028,3.9e-08,-0.85546177,0.0010856,-1.189135,0.0002,-0.77635953,4.65e-09,False,Non-ECM,Non-ECM
CDK10,1.2039593,0.00283,1.201782,0.00151,0.6812136,2.78e-09,-0.615058,0.000135,False,Non-ECM,Non-ECM
CFB,1.2222763,0.000486,1.6607728,0.03048,-1.7995491,6.15e-10,-0.62863209,3.86e-10,False,Non-ECM,Non-ECM
CH25H,0.92065484,0.000692,-1.29958335,0.032577,0.9650686,0.00051,-0.95198533,1.02e-13,False,Non-ECM,Non-ECM
CLEC2D,-1.4879459,0.00817,-0.60657867,0.0014039,-1.8605923,2.93e-15,-0.9510868,0.00527,True,ECM-affiliated Proteins,Matrisome-associated
CLIC6,-1.1073748,0.0178,-1.67675696,0.0071802,-1.31795875,3.85e-17,-0.74034002,5.34e-09,False,Non-ECM,Non-ECM
COL15A1,2.19890718,6.62e-07,-0.60382602,0.0071231,-1.3335039,6.28e-29,-1.08431296,2.69e-24,True,Collagens,Core matrisome
COL1A1,1.75677827,1.68e-05,-1.2970953,0.03495,-1.77332415,8.23e-27,-1.299026,1.44e-17,True,Collagens,Core matrisome
COL1A2,2.65687138,1.2e-05,-1.1873626,0.00933,-1.05881,0.00561,-0.64727756,3.42e-10,True,Collagens,Core matrisome
COL3A1,1.45801204,0.00078,-1.2277397,0.03495,-1.61665883,8.19e-25,-0.96693176,1.48e-12,True,Collagens,Core matrisome
