gene,kidney_logFC,kidney_adj_p_value,liver_logFC,liver_adj_p_value,lung_logFC,lung_adj_p_value,skin_logFC,skin_adj_p_value,is_ECM_gene,matrisome_category,kidney_val_logFC,kidney_val_adj_p_value,kidney_validated,kidney_validated_sig,liver_val_logFC,liver_val_adj_p_value,liver_validated,liver_validated_sig,lung_val_logFC,lung_val_adj_p_value,lung_validated,lung_validated_sig,skin_val_logFC,skin_val_adj_p_value,skin_validated,skin_validated_sig,n_organs_validated,n_organs_validated_sig
ABCA6,1.9611102,0.000609,1.01350348,8.93e-05,-0.9507391,1.87e-05,-0.6430272,0.00532,False,,-0.2461258,0.717,False,False,0.396,3.33e-05,True,True,0.28770313,0.595,False,False,0.10496903,0.9997,False,False,1,1
AEBP1,1.67758834,0.000102,-1.07007992,0.0062103,-0.7989775,0.000162,-0.73168653,2.51e-07,False,,0.9983504,0.0465,True,True,-1.57,2.18e-09,True,True,-0.69105443,0.138,True,False,-0.33336303,0.9997,True,False,4,2
ATF5,0.7570369,0.000499,3.0933762,0.04026,0.5977036,4.52e-10,0.7375275,3.95e-05,False,,0.4950826,0.0752,True,False,-0.181,0.372,False,False,0.27128744,0.0241,True,True,0.08764189,0.9997,True,False,3,1
CAB39L,-0.7973355,0.0123,-0.801855,0.043,0.594005,0.00135,-1.9461268,2.49e-06,False,,0.1165732,0.842,False,False,0.103,0.284,False,False,0.77732148,0.0161,True,True,-0.27379697,0.9997,True,False,2,1
CCL19,1.6645841,0.00232,-1.47993455,0.0186169,-3.520365,1.89e-13,-1.50947281,1.74e-19,False,,1.5382663,0.161,True,False,-1.46,2.56e-05,True,True,-1.22533087,0.119,True,False,-0.19554547,0.9997,True,False,4,1
CCL2,2.17500819,1.47e-05,-1.8050286,0.04978,-2.5212675,8.69e-05,-1.43692,1e-17,False,,0.5352137,0.587,True,False,-2.27,2.98e-09,True,True,1.05721416,0.0581,False,False,-0.17503975,0.9997,True,False,3,1
CCL21,0.9320614,0.0033,-1.3596551,0.0033836,2.1132709,3.16e-13,-1.1466899,0.00107,False,,1.3885867,0.248,True,False,-1.55,6.46e-07,True,True,-0.80594647,0.0727,False,False,0.21410825,0.9997,False,False,2,1
CCL5,1.28174734,1.78e-06,-1.3291413,0.01146,1.6986755,6.65e-11,-1.28732668,1.17e-10,False,,1.614213,0.0387,True,True,-1.04,3.82e-09,True,True,-1.59088876,0.0035,False,False,0.27183131,0.9997,False,False,2,2
CD1E,-1.6194116,0.000669,-0.68941255,0.0139241,-0.83053502,3.49e-14,-0.9640441,0.0234,False,,-0.2020539,0.807,True,False,-0.524,0.0303,True,True,-1.00648672,0.0241,True,True,0.19041022,0.9997,False,False,3,2
CD3D,0.9263287,0.000181,-0.82562977,0.0206647,1.386985,1.14e-10,-0.63981003,0.00206,False,,0.8242736,0.395,True,False,-0.974,6.36e-07,True,True,-0.61885849,0.0166,False,False,0.21867028,0.9997,False,False,2,1
CD48,2.14640028,3.9e-08,-0.85546177,0.0010856,-1.189135,0.0002,-0.77635953,4.65e-09,False,,0.927603,0.329,True,False,-0.862,1.36e-07,True,True,-0.17792527,0.499,True,False,0.14188989,0.9997,False,False,3,1
CFB,1.2222763,0.000486,1.6607728,0.03048,-1.7995491,6.15e-10,-0.62863209,3.86e-10,False,,1.048111,0.0826,True,False,0.14,0.21,True,False,-1.14261177,0.0459,True,True,-0.21089461,0.9997,True,False,4,1
CH25H,0.92065484,0.000692,-1.29958335,0.032577,0.9650686,0.00051,-0.95198533,1.02e-13,False,,0.4843595,0.362,True,False,-2.06,2.27e-07,True,True,1.26315068,0.0565,True,False,0.17022231,0.9997,False,False,3,1
CLEC2D,-1.4879459,0.00817,-0.60657867,0.0014039,-1.8605923,2.93e-15,-0.9510868,0.00527,False,,0.4751406,0.435,False,False,-0.559,7.74e-05,True,True,-0.26603901,0.312,True,False,-0.19736817,0.9997,True,False,3,1
CLIC6,-1.1073748,0.0178,-1.67675696,0.0071802,-1.31795875,3.85e-17,-0.74034002,5.34e-09,False,,0.7009433,0.343,False,False,-1.08,7.27e-05,True,True,-1.39224207,0.0397,True,True,-0.82989603,0.7325,True,False,3,2
COL15A1,2.19890718,6.62e-07,-0.60382602,0.0071231,-1.3335039,6.28e-29,-1.08431296,2.69e-24,False,,0.4035553,0.261,True,False,-1.06,0.0024,True,True,-2.50898132,3.59e-05,True,True,-0.45565111,0.9997,True,False,4,2
