Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Epithelial Mesenchymal Transition,-6.171510e-01,-2.459902e+00,0.000000e+00,0.000000e+00,0.000000e+00,86/198,15.66%,SFRP4;THY1;COL6A3;COL4A1;GEM;LUM;VCAM1;CTHRC1;ADAM12;COL1A1;FAP;SERPINE2;ITGB1;MXRA5;SCG2;IGFBP4;COL3A1;COMP;SERPINE1;TNC;CDH11;CXCL12;COL5A2;ECM2;HTRA1;CALU;SPP1;PMEPA1;PLOD2;SGCD;PRRX1;POSTN;CAP2;DAB2;IGFBP2;DPYSL3;CALD1;COL4A2;TPM4;LRRC15;CDH2;NID2;LAMA2;GADD45A;ITGAV;WNT5A;FBLN2;THBS1;COL5A1;FSTL1;LOXL1;PFN2;MMP1;COPA;VCAN;FUCA1;FBN1;IGFBP3;MYLK;IL6;TGM2;MGP;PTHLH;CXCL1;COL12A1;DCN;LOXL2;NNMT;RGS4;NT5E;COL11A1;BASP1;SGCB;GREM1;FBN2;THBS2;TIMP1;OXTR;COL8A2;MMP3;ELN;PCOLCE2;CDH6;DKK1;TNFRSF11B;INHBA
prerank,Protein Secretion,-5.790342e-01,-2.140411e+00,0.000000e+00,0.000000e+00,0.000000e+00,40/95,13.48%,SSPN;CD63;TMX1;PAM;ARFGEF1;ADAM10;CLTC;SEC24D;DNM1L;VPS4B;LMAN1;SEC31A;CLCN3;ARFIP1;ARFGEF2;STX7;NAPG;COPB2;RPS6KA3;ANP32E;ATP6V1H;USO1;ARCN1;SCAMP1;M6PR;AP3B1;COPB1;PPT1;SCRN1;SOD1;SEC22B;GOLGA4;RAB22A;CTSC;LAMP2;ARFGAP3;RAB5A;AP2B1;SNX2;RAB2A
prerank,Angiogenesis,-5.931761e-01,-1.863789e+00,0.000000e+00,8.346304e-04,3.000000e-03,12/36,10.43%,LUM;TNFRSF21;COL3A1;NRP1;COL5A2;SPP1;POSTN;ITGAV;FSTL1;PTK2;VCAN;CCND2
prerank,E2F Targets,-4.693140e-01,-1.850367e+00,0.000000e+00,6.259728e-04,3.000000e-03,99/196,28.08%,CDKN2A;NBN;LBR;PSIP1;PRKDC;NAP1L1;PCNA;STAG1;PNN;ATAD2;BRMS1L;SMC3;SRSF1;HELLS;SMC6;MCM6;MELK;CHEK1;USP1;TOP2A;MAD2L1;DEK;LYAR;SYNCRIP;LUC7L3;ANP32E;MSH2;RAD21;XPO1;PDS5B;SMC4;TRIP13;STMN1;MMS22L;TMPO;PLK4;PRDX4;NUP205;BRCA2;PRPS1;PRIM2;DIAPH3;NUP107;RANBP1;RFC1;SSRP1;KIF4A;RFC3;WEE1;CTCF;HNRNPD;TFRC;HMGB3;TRA2B;XRCC6;CENPE;NOLC1;CDK1;DLGAP5;SMC1A;CCNB2;DSCC1;LMNB1;RPA1;E2F8;CCP110;RACGAP1;BRCA1;HMGB2;MTHFD2;GSPT1;UBE2T;MCM4;MKI67;CHEK2;RAD51AP1;AK2;UBR7;PSMC3IP;RAD50;NUDT21;PTTG1;POLD3;CSE1L;RAN;ILF3;CCNE1;SRSF2;TIMELESS;TIPIN;IPO7;SPC25;DUT;HMMR;BARD1;ING3;MCM3;SPAG5;DEPDC1
prerank,G2-M Checkpoint,-4.655469e-01,-1.837384e+00,0.000000e+00,6.677043e-04,4.000000e-03,104/192,29.18%,E2F3;HNRNPU;SRSF10;ATRX;LBR;PAFAH1B1;BUB3;STAG1;EWSR1;NCL;NUP50;HIF1A;SRSF1;MCM6;DMD;CHEK1;TOP2A;MAD2L1;CENPF;SMC2;SYNCRIP;RAD21;XPO1;PDS5B;SMC4;KIF11;STMN1;PRPF4B;TMPO;ARID4A;SS18;PLK4;RBL1;CUL4A;BRCA2;PRIM2;TTK;CUL3;FBXO5;KPNB1;CUL5;KIF4A;SMARCC1;MARCKS;CTCF;HNRNPD;PBK;HMGB3;CASP8AP2;TRA2B;CENPE;NOLC1;AMD1;CDK1;YTHDC1;SMC1A;CDC6;CCNB2;KNL1;STIL;LMNB1;DBF4;HMGN2;G3BP1;MTF2;DKC1;KIF23;RACGAP1;ODC1;CDC27;CCNA2;GSPT1;MKI67;SLC12A2;ODF2;EXO1;SMAD3;SQLE;KIF15;NEK2;BUB1;HSPA8;PTTG1;RPS6KA5;NOTCH2;RAD23B;NUMA1;ILF3;NUSAP1;SRSF2;TPX2;KIF5B;POLQ;HMMR;BARD1;PRC1;CBX1;MCM3;SFPQ;HIRA;KIF20B;WRN;KPNA2;NASP
prerank,Cholesterol Homeostasis,4.039526e-01,1.784698e+00,0.000000e+00,4.586347e-03,2.000000e-03,23/73,12.68%,FASN;LSS;PCYT2;FDPS;TMEM97;ATF5;ACAT2;EBP;ACSS2;MVD;TRIB3;HMGCS1;LDLR;CBS;SEMA3B;IDI1;NSDHL;MAL2;HMGCR;DHCR7;GSTM2;SREBF2;ABCA2
prerank,Myc Targets V1,-4.204032e-01,-1.658567e+00,0.000000e+00,5.285992e-03,3.800000e-02,72/195,18.80%,HNRNPU;HDAC2;ABCE1;NAP1L1;PCNA;CCT2;BUB3;PABPC1;NPM1;HNRNPR;DDX18;SRSF1;MCM6;RRM1;TCP1;XPOT;PSMD7;USP1;NCBP2;MAD2L1;SSBP1;EIF1AX;DEK;PRDX3;SYNCRIP;CBX3;XPO1;EIF4G2;CNBP;TARDBP;HNRNPA2B1;HNRNPA1;TOMM70;PRDX4;SSB;PABPC4;PWP1;SNRPG;PSMD14;RANBP1;PSMC6;RPL22;COPS5;SERBP1;PSMA4;KPNB1;CCT4;SNRPA1;HSPD1;SMARCC1;HSP90AB1;HNRNPD;PTGES3;TRA2B;XRCC6;DHX15;NOLC1;DDX21;TYMS;NCBP1;G3BP1;CCT5;HPRT1;ODC1;CCNA2;CANX;EIF3J;PSMD1;GSPT1;VBP1;MCM4;RSL1D1
prerank,KRAS Signaling Up,-4.049258e-01,-1.616358e+00,0.000000e+00,8.823236e-03,7.200000e-02,87/197,27.91%,NRP1;ALDH1A3;TMEM176A;SPARCL1;MMP11;SPP1;EPHB2;TMEM176B;CROT;PRRX1;SNAP25;ETS1;ANKH;ADAMDEC1;IGF2;CMKLR1;ITGBL1;ERO1A;IRF8;ST6GAL1;CFH;CFHR2;CXCR4;VWA5A;FUCA1;CBR4;BIRC3;BTC;PTCD2;NGF;SPON1;NIN;CTSS;IGFBP3;PTBP2;CDADC1;F13A1;ADAM17;CCND2;TSPAN1;CFB;IL33;PCP4;EVI5;F2RL1;AKAP12;PLVAP;TRIB2;MMP9;INHBA;TOR1AIP2;RABGAP1L;ZNF277;SDCCAG8;CPE;DCBLD2;C3AR1;DOCK2;PCSK1N;FBXO4;KCNN4;ABCB1;USP12;IL10RA;BPGM;SOX9;PRDM1;GPNMB;SCG5;AVL9;ZNF639;PLEK2;MMP10;MPZL2;CBX8;LCP1;ITGB2;MAP3K1;CXCL10;LAPTM5;FGF9;PECAM1;HDAC9;SATB1;TMEM158;MMD;KIF5C
prerank,Allograft Rejection,-4.012674e-01,-1.599631e+00,0.000000e+00,9.076606e-03,8.500000e-02,75/195,26.65%,THY1;CD28;CCL19;IL2RA;TLR1;ABI1;DYRK3;CDKN2A;ST8SIA4;ETS1;IFNAR2;CCL13;ABCE1;NPM1;HIF1A;TLR6;STAT1;TGFB2;NCK1;IRF8;SRGN;ACVR2A;CXCL9;CD4;MRPL3;GALNT1;IL7;SOCS5;CCL2;JAK2;NLRP3;CTSS;BCAT1;IL6;MTIF2;EIF3A;MAP3K7;CCND2;GLMN;IRF4;EIF4G3;PTPRC;HLA-DOB;UBE2D1;TIMP1;CCL22;MMP9;CD79A;INHBA;LTB;BRCA1;CD86;EIF3J;ICAM1;FAS;CD3G;CCR5;C2;GCNT1;CD80;CD2;CD74;RIPK2;SIT1;CCR2;HLA-DRA;CXCL13;CCR1;RPS3A;ITGB2;LYN;IL27RA;F2R;IKBKB;HLA-DQA1
prerank,UV Response Dn,-4.149551e-01,-1.596297e+00,0.000000e+00,8.253567e-03,8.700000e-02,65/140,27.06%,COL1A1;COL3A1;SERPINE1;NRP1;EFEMP1;COL5A2;MMP16;RUNX1;PLCB4;CAP2;ATRX;LTBP1;DAB2;CDC42BPA;TGFBR2;ATP2C1;AGGF1;VLDLR;DLG1;PRKAR2B;BMPR1A;ACVR2A;SYNJ2;CDON;ANXA4;NIPBL;ADD3;INPP4B;PHF3;SPOP;MET;ATXN1;ATP2B1;PDLIM5;RGS4;MRPS31;COL11A1;YTHDC1;IGF1R;ATRN;HAS2;MAP1B;DDAH1;KCNMA1;BCKDHB;IGFBP5;NEK7;RND3;SMAD3;GCNT1;SDC2;MIOS;NFIB;WDR37;COL1A2;RASA2;NOTCH2;ICA1;KIT;DBP;SIPA1L1;MAGI2;NR1D2;SCAF8;SCHIP1
