Gene,LASSO,SVM_RFE,Random_Forest,XGBoost,WGCNA,Total_Votes,Is_Hub_Gene
COL15A1,True,True,True,True,True,5,True
COL1A1,True,True,True,True,True,5,True
SERPINE2,True,True,True,True,True,5,True
LAMC3,True,True,True,True,False,4,True
SERPINF2,True,True,True,True,False,4,True
COL3A1,True,False,True,False,True,3,True
LTBP2,True,True,False,False,True,3,True
MDK,True,False,True,True,False,3,True
SVEP1,True,True,False,True,False,3,True
AEBP1,False,True,False,False,True,2,False
FGF14,True,False,False,True,False,2,False
SPARCL1,True,True,False,False,False,2,False
CCL21,True,False,False,False,False,1,False
CLEC2D,False,True,False,False,False,1,False
COL1A2,False,False,False,False,True,1,False
MFAP4,True,False,False,False,False,1,False
BMP1,False,False,False,False,False,0,False
CCL19,False,False,False,False,False,0,False
CCL2,False,False,False,False,False,0,False
CCL5,False,False,False,False,False,0,False
COLEC11,False,False,False,False,False,0,False
PDGFD,False,False,False,False,False,0,False
SERPINH1,False,False,False,False,False,0,False
VWF,False,False,False,False,False,0,False
