source,gene,organ,n_snps_in_model,z_twas,pval_twas,fdr_twas
eQTLGen,ADAMTS4,Liver,54,-11.574562861467966,0.0,0.0
eQTLGen,ADAMTS4,Lung,54,18.7164526045901,0.0,0.0
eQTLGen,ADAMTS4,Skin,54,8.53881156923724,0.0,0.0
eQTLGen,AEBP1,Liver,727,-14.145971206944425,0.0,0.0
eQTLGen,AEBP1,Skin,727,-15.124381975298384,0.0,0.0
eQTLGen,C1QB,Skin,744,-20.042086951474122,0.0,0.0
eQTLGen,C1QC,Skin,345,-15.71219182403802,0.0,0.0
eQTLGen,CCL5,Liver,480,-17.39010661179488,0.0,0.0
eQTLGen,CCL5,Lung,480,11.322375550569847,0.0,0.0
eQTLGen,COL6A3,Lung,260,10.369283129491345,0.0,0.0
eQTLGen,CCL4,Skin,179,16.78823276797143,0.0,0.0
eQTLGen,LTB,Liver,135,9.79139692402968,0.0,0.0
eQTLGen,GDF15,Liver,322,-13.109987955907906,0.0,0.0
eQTLGen,CTSS,Skin,1716,10.214140598764528,0.0,0.0
eQTLGen,CTSS,Lung,1716,-23.072209060364724,0.0,0.0
eQTLGen,COL6A3,Skin,260,-8.631761261005169,0.0,0.0
eQTLGen,LTB,Lung,135,9.057848114239427,0.0,0.0
eQTLGen,GDF15,Skin,322,11.581198372407025,0.0,0.0
eQTLGen,PDGFD,Skin,1119,-22.654524562884294,0.0,0.0
GTEx,CCL4,Skin,128,26.46757700854873,0.0,0.0
GTEx,CCL5,Skin,29,14.753913867821462,0.0,0.0
eQTLGen,SDC3,Liver,374,-12.305710839319227,0.0,0.0
eQTLGen,LTBP4,Skin,579,-8.911320561273572,0.0,0.0
GTEx,CTSS,Lung,867,-42.06557631631474,0.0,0.0
GTEx,SDC3,Skin,65,13.495686932103855,0.0,0.0
GTEx,SPARCL1,Skin,391,12.624448378410143,0.0,0.0
GTEx,MDK,Skin,321,19.97233558948207,0.0,0.0
GTEx,MDK,Lung,187,-28.568101267437378,0.0,0.0
GTEx,LUM,Skin,95,25.998383327173862,0.0,0.0
GTEx,PDGFD,Lung,148,-14.37136025374345,0.0,0.0
GTEx,CTSS,Skin,1253,12.840334042402851,0.0,0.0
eQTLGen,LTBP2,Skin,676,-8.283637743676898,2.220446049250313e-16,1.1842378929335002e-15
eQTLGen,LTBP4,Liver,579,8.29067731120852,2.220446049250313e-16,1.1842378929335002e-15
GTEx,TGM2,Lung,127,-7.808181101178069,5.773159728050814e-15,2.988459153343951e-14
eQTLGen,CCL4,Liver,179,7.741885064153458,9.769962616701378e-15,4.91289548725555e-14
GTEx,LTBP2,Skin,294,7.707356579912181,1.2878587085651816e-14,6.29619813076311e-14
eQTLGen,LAMC3,Liver,458,7.3915474871637485,1.4521717162097048e-13,6.907627623051568e-13
GTEx,SPP1,Liver,139,7.377724005276367,1.609823385706477e-13,7.456024102219473e-13
GTEx,COL6A3,Lung,141,-7.267612598745705,3.659295089164516e-13,1.6513741940844995e-12
GTEx,TGM2,Skin,264,-7.175408751321872,7.209788321915767e-13,3.1723068616429375e-12
eQTLGen,VWF,Liver,960,-7.1526054600375915,8.515410598874951e-13,3.65539576927315e-12
eQTLGen,VCAN,Liver,188,-7.078086994705256,1.461497589616556e-12,6.124370851726521e-12
GTEx,CTSS,Liver,125,7.057228582116515,1.6986412276764895e-12,6.952578048164236e-12
eQTLGen,COL15A1,Skin,74,6.984628659775122,2.8561597531506777e-12,1.1424639012602711e-11
GTEx,LAMC3,Skin,123,6.9075107139260306,4.9322768091997204e-12,1.9290682631536686e-11
eQTLGen,PLXND1,Lung,423,-6.882131363916219,5.896394483784206e-12,2.2560118024913486e-11
GTEx,COLEC11,Skin,258,6.330028249300364,2.451163716443716e-10,9.178825831789235e-10
eQTLGen,CTSS,Liver,1716,-6.29088673006069,3.156575001383999e-10,1.1574108338407996e-09
GTEx,LTB,Skin,4,-6.206374666584423,5.422082782757798e-10,1.9475236117660662e-09
eQTLGen,C1QC,Liver,345,-6.036117367173149,1.5786645324311621e-09,5.55689915415769e-09
eQTLGen,LTBP2,Liver,676,6.016695457929608,1.7801351503976548e-09,6.143211499411514e-09
eQTLGen,TGM2,Liver,165,5.96881585921054,2.3898163448166088e-09,8.088609167071599e-09
eQTLGen,CCL2,Lung,97,-5.9571778830951345,2.566308721085875e-09,8.522081790775735e-09
eQTLGen,C1QB,Liver,744,-5.666853686618401,1.4544343507338908e-08,4.7403786246141624e-08
eQTLGen,CCL5,Skin,480,-5.430419243361684,5.622181675768445e-08,1.7990981362459025e-07
eQTLGen,PDGFD,Lung,1119,5.3734108558117555,7.726101025617993e-08,2.4282031794799407e-07
GTEx,SVEP1,Skin,19,-5.214441108391492,1.8437226390055628e-07,5.692897973069808e-07
eQTLGen,COL15A1,Liver,74,5.1547248185535555,2.5400365633032607e-07,7.707697157609895e-07
eQTLGen,SPP1,Lung,1968,4.988301950326302,6.0912312460637e-07,1.81704525306307e-06
eQTLGen,GDF15,Lung,322,-4.982340110753319,6.281989286538447e-07,1.8427168573846114e-06
eQTLGen,VCAN,Lung,188,-4.922021336273625,8.565487277234496e-07,2.4713537062184775e-06
eQTLGen,LAMC3,Skin,458,4.811437756213839,1.4984840348564177e-06,4.253761131205314e-06
GTEx,AEBP1,Skin,99,-4.732597312045638,2.2166497448683486e-06,6.192545318997291e-06
eQTLGen,LTB,Skin,135,-4.6320465373436,3.6206873801347683e-06,9.956890295370613e-06
eQTLGen,FBN1,Skin,504,-4.581490786975763,4.616729472051162e-06,1.25006828781693e-05
eQTLGen,CCL4,Kidney,92,-4.366146171568606,1.2645787068166214e-05,3.372209884844324e-05
eQTLGen,THBS1,Skin,960,-4.1773475584267326,2.9492819504373102e-05,7.747367511596516e-05
eQTLGen,CCL2,Skin,97,4.159351917890359,3.191518523326664e-05,8.260400883904307e-05
GTEx,COLEC11,Lung,62,4.133816123262594,3.567889655764489e-05,9.100704049486234e-05
eQTLGen,COLEC11,Liver,197,3.990593748190599,6.590809062978487e-05,0.00016571177072631624
eQTLGen,COLEC11,Lung,197,-3.978778653408756,6.927019249691746e-05,0.00017171202647123202
eQTLGen,SERPINE1,Lung,141,3.9522676746516927,7.741407521644206e-05,0.00018923440608463612
eQTLGen,PDGFD,Liver,1119,-3.933958283610611,8.35582917653177e-05,0.00020145560754377965
eQTLGen,TNXB,Liver,884,3.862409717699493,0.00011227406252944938,0.0002670302027727445
eQTLGen,C1QB,Lung,744,3.856209487278508,0.00011515880991264105,0.00027023934059499765
GTEx,COL15A1,Lung,146,-3.6695371675701547,0.0002429900084164327,0.0005627137037012126
eQTLGen,C1QC,Lung,345,3.4638573876256116,0.0005324887324562599,0.0012171171027571656
eQTLGen,COL15A1,Lung,74,-3.4344259638521675,0.0005938102589100325,0.0013398795585662271
GTEx,SERPINF2,Lung,18,3.392578805768232,0.0006923801243183814,0.0015347620764383674
eQTLGen,C1QC,Kidney,126,-3.390513130604315,0.0006976191256538034,0.0015347620764383674
eQTLGen,C1QB,Kidney,238,-3.386902533648066,0.0007068649530317384,0.00153590409547637
eQTLGen,LTBP2,Kidney,291,-3.286282667638512,0.0010151907976021501,0.002178946102170469
eQTLGen,SERPINF2,Liver,374,3.2627340283400863,0.0011034302467556323,0.0023398038967348345
eQTLGen,SPP1,Liver,1968,-3.220353334436903,0.0012803268676844226,0.0026825896275292664
eQTLGen,SEMA7A,Skin,70,3.160412959285479,0.0015754566927086433,0.003262122093137897
eQTLGen,SERPINF2,Skin,374,3.149037609496345,0.0016380911208886406,0.003352372526469776
eQTLGen,THBS1,Liver,960,-3.1190479270695772,0.0018143644613974885,0.0036704384506431953
GTEx,FMOD,Skin,138,3.0883153851632197,0.00201294719345535,0.0040258943869107
eQTLGen,LAMC3,Lung,458,3.049086158498789,0.002295386411272915,0.004539191105438573
eQTLGen,CCL4,Lung,179,2.997775667495775,0.002719577784210836,0.005318285444678968
GTEx,LUM,Lung,14,2.9924794495095317,0.0027672129694855663,0.005351972336587469
eQTLGen,FBN1,Lung,504,-2.9449740978612313,0.0032298170051205943,0.006178780357622007
eQTLGen,TGFB3,Skin,466,2.9067309281435625,0.0036522720744560644,0.006911826721551261
eQTLGen,TGFB3,Liver,466,2.7798460582439524,0.005438467286163373,0.010182662152816529
eQTLGen,AEBP1,Lung,727,-2.7503038866735077,0.005954001953984767,0.011030572041066515
