gene,tissue,matrisome_division,matrisome_category,logFC,adj_p_value
ADAM20,Skin,Matrisome-associated,ECM Regulators,-0.9402606,0.0141
ADAMTS12,Skin,Matrisome-associated,ECM Regulators,-1.47264397,7.31e-28
BMP10,Skin,Matrisome-associated,Secreted Factors,-1.2796721,0.0145
CCL27,Skin,Matrisome-associated,Secreted Factors,0.9710572,0.00334
CILP2,Skin,Core matrisome,ECM Glycoproteins,-2.55181869,1.97e-19
COL26A1,Skin,Core matrisome,Collagens,-1.18435045,2.07e-09
ELANE,Skin,Matrisome-associated,ECM Regulators,1.42010813,1.16e-12
EPGN,Skin,Matrisome-associated,Secreted Factors,-1.24193936,2.11e-05
FASLG,Skin,Matrisome-associated,Secreted Factors,-0.64915582,0.0034
HYAL4,Skin,Matrisome-associated,ECM Regulators,0.67439635,0.00135
IL22,Skin,Matrisome-associated,Secreted Factors,-1.3493633,0.0143
INS-IGF2,Skin,Matrisome-associated,Secreted Factors,-1.7789545,2.39e-23
KCP,Skin,Core matrisome,ECM Glycoproteins,-0.93859813,5e-15
LTBP3,Skin,Core matrisome,ECM Glycoproteins,-0.8987399,0.000105
MMP17,Skin,Matrisome-associated,ECM Regulators,-1.1523198,0.0228
NTN1,Skin,Core matrisome,ECM Glycoproteins,0.63196757,2.38e-10
OSM,Skin,Matrisome-associated,Secreted Factors,-1.15947337,3.31e-08
PARM1,Skin,Matrisome-associated,ECM-affiliated Proteins,0.8259363,0.000154
SULF2,Skin,Matrisome-associated,ECM Regulators,-0.6290526,2.79e-14
TCHH,Skin,Matrisome-associated,Secreted Factors,-1.68954561,0.0248
TNN,Skin,Core matrisome,ECM Glycoproteins,-0.8160778,0.000297
ADAM22,Kidney,Matrisome-associated,ECM Regulators,-1.0331186,0.000353
ADAM23,Kidney,Matrisome-associated,ECM Regulators,-1.0833145,0.0123
ADAMTS13,Kidney,Matrisome-associated,ECM Regulators,0.6942893,0.00433
ADAMTS19,Kidney,Matrisome-associated,ECM Regulators,-0.7316973,0.0171
AGRN,Kidney,Core matrisome,ECM Glycoproteins,-0.8341682,0.00615582
AMH,Kidney,Matrisome-associated,Secreted Factors,-0.9327284,0.00248
ANXA6,Kidney,Matrisome-associated,ECM-affiliated Proteins,2.2082501,5.17e-06
ASTL,Kidney,Matrisome-associated,ECM Regulators,-0.8442875,0.000133
BGLAP,Kidney,Core matrisome,ECM Glycoproteins,0.8025702,0.00479
BMP8A,Kidney,Matrisome-associated,Secreted Factors,-0.7455425,0.03715913
CBLN1,Kidney,Matrisome-associated,Secreted Factors,-1.535571,0.000664
CDCP2,Kidney,Core matrisome,ECM Glycoproteins,-1.494223,0.00164
CELA3B,Kidney,Matrisome-associated,ECM Regulators,7.0776287,1.05e-18
CLEC2L,Kidney,Matrisome-associated,ECM-affiliated Proteins,-1.7575112,0.00335
CLEC3A,Kidney,Matrisome-associated,ECM-affiliated Proteins,-1.3801266,0.00268
CLEC4A,Kidney,Matrisome-associated,ECM-affiliated Proteins,0.73625812,0.000198
CNTF,Kidney,Matrisome-associated,Secreted Factors,-1.4952826,0.00298
COL2A1,Kidney,Core matrisome,Collagens,-1.4302919,0.00121
CRELD1,Kidney,Core matrisome,ECM Glycoproteins,0.63703084,0.0108
CSF2,Kidney,Matrisome-associated,Secreted Factors,-1.7678691,0.000664
CSH1,Kidney,Matrisome-associated,Secreted Factors,-0.6553755,0.01902018
CSPG4,Kidney,Matrisome-associated,ECM-affiliated Proteins,0.59358026,0.000198
CSPG5,Kidney,Matrisome-associated,ECM-affiliated Proteins,-1.2992651,0.00947
CST8,Kidney,Matrisome-associated,ECM Regulators,-1.6882453,0.00138
CST9,Kidney,Matrisome-associated,ECM Regulators,-0.8984909,0.0457
CSTA,Kidney,Matrisome-associated,ECM Regulators,1.46259599,7.88e-05
CTSV,Kidney,Matrisome-associated,ECM Regulators,-1.8258622,1.89e-05
DMP1,Kidney,Core matrisome,ECM Glycoproteins,-1.4720099,0.00189
EDIL3,Kidney,Core matrisome,ECM Glycoproteins,-1.2465307,0.0129
ELSPBP1,Kidney,Core matrisome,ECM Glycoproteins,-1.5062797,0.00162
EYS,Kidney,Core matrisome,ECM Glycoproteins,-1.5133547,0.000852
F13B,Kidney,Matrisome-associated,ECM Regulators,-1.5020978,0.00376
FAM20B,Kidney,Matrisome-associated,ECM Regulators,-0.59237583,0.002
FGB,Kidney,Core matrisome,ECM Glycoproteins,-4.2254272,0.00218
FGF19,Kidney,Matrisome-associated,Secreted Factors,-1.5116256,0.000746
FGF22,Kidney,Matrisome-associated,Secreted Factors,-1.3906788,0.00531
FGF5,Kidney,Matrisome-associated,Secreted Factors,-1.5503002,0.0024
FGFBP3,Kidney,Matrisome-associated,Secreted Factors,-0.6140293,0.0111
FLG,Kidney,Matrisome-associated,Secreted Factors,-1.4534432,0.000904
GH2,Kidney,Matrisome-associated,Secreted Factors,-1.6148652,0.00276
HABP2,Kidney,Matrisome-associated,ECM Regulators,-1.7043396,0.0333
HAPLN4,Kidney,Core matrisome,Proteoglycans,1.2606321,0.0031
HTRA1,Kidney,Matrisome-associated,ECM Regulators,-1.14012,1.31e-07
IFNA10,Kidney,Matrisome-associated,Secreted Factors,-1.2959691,0.0136
IFNA16,Kidney,Matrisome-associated,Secreted Factors,-1.5811062,0.000832
IFNA6,Kidney,Matrisome-associated,Secreted Factors,-1.4481725,0.00433
IFNW1,Kidney,Matrisome-associated,Secreted Factors,-1.3954639,0.00359
IL12B,Kidney,Matrisome-associated,Secreted Factors,-1.4075891,0.00332
IL19,Kidney,Matrisome-associated,Secreted Factors,-0.8965648,0.0382
IL2,Kidney,Matrisome-associated,Secreted Factors,-1.6473628,0.00175
IL20,Kidney,Matrisome-associated,Secreted Factors,-1.494318,0.00389
IL5,Kidney,Matrisome-associated,Secreted Factors,-1.2239345,0.0185
IL7,Kidney,Matrisome-associated,Secreted Factors,-1.73564,1.38e-07
