gene,tissue,logFC,adj_p_value
A2M-AS1,Skin,-0.82116008,1.05e-25
AAAS,Skin,-1.1828571,0.00598
AACSP1,Skin,0.62427013,0.0106
ABHD8,Skin,-1.3984117,0.00424
ACSM1,Skin,-1.0592536,0.0307
ACSM4,Skin,-0.71668095,4.08e-06
ACTN3,Skin,-1.1594633,0.0292
ADAM20,Skin,-0.9402606,0.0141
ADAMTS12,Skin,-1.47264397,7.31e-28
ADGRB1,Skin,1.1907328,0.00532
ADIPOQ-AS1,Skin,-2.21574295,3.35e-11
ADISSP,Skin,-1.4379455,0.000194
ALOXE3,Skin,-0.8574753,1.52e-05
ALPK2,Skin,-1.86343164,3.74e-18
ANK2-AS1,Skin,0.74531741,1.29e-11
ANKRD20A19P,Skin,1.08459555,0.000461
ANXA2P3,Skin,-0.8467396,0.0209
AOAH-IT1,Skin,-0.94511422,7.82e-08
APELA,Skin,-0.96302648,2.46e-07
APEX2,Skin,-0.636622,0.00284
AQP7B,Skin,-0.83172795,0.000455
AQP7P1,Skin,-0.67586379,1.99e-05
ARSB,Skin,-0.80203921,5.91e-20
ATAT1,Skin,-0.6053684,0.0356
ATP5J,Skin,0.866,0.046336
ATP5MC1,Skin,0.6747385,6.76e-05
BHLHE22-AS1,Skin,-0.93952657,3.65e-10
BISPR,Skin,-0.70405761,1.36e-08
BMP10,Skin,-1.2796721,0.0145
BMS1P18,Skin,-1.1010673,1.2e-05
C10ORF71,Skin,0.81901935,5.64e-05
C14ORF180,Skin,-2.62563444,1.09e-10
C17ORF96,Skin,1.94,0.035496
C19ORF38,Skin,-0.68161947,2.27e-06
CACNA1C,Skin,-0.60386726,3.35e-10
CACNA1C-AS1,Skin,-0.63373089,1.51e-08
CACNA1C-IT3,Skin,-0.83411608,4.5e-12
CACNA2D3-AS1,Skin,0.63145763,1.09e-06
CACNB4,Skin,-0.69558338,1.71e-09
CCL27,Skin,0.9710572,0.00334
CCL3-AS1,Skin,-1.50569998,1.53e-07
CD244,Skin,-0.70867936,1.05e-06
CD8B2,Skin,1.09995399,1.66e-08
CDC14A,Skin,-0.6186278,0.000464
CDC37,Skin,-0.988144,7.3e-05
CDSN,Skin,-1.0070142,0.00011
CDYL2,Skin,-0.7004309,6.58e-22
CEACAM4,Skin,-1.35747261,1.66e-12
CEP85,Skin,-0.9186279,0.00402
CHRNE,Skin,-1.0882119,0.002
CILP2,Skin,-2.55181869,1.97e-19
CLCA4,Skin,0.7368656,2.7e-07
CLDN14-AS1,Skin,-0.91130296,4.07e-07
CNIH3-AS1,Skin,0.7585387,3.72e-08
CNTFR-AS1,Skin,0.63559163,3.47e-05
COL26A1,Skin,-1.18435045,2.07e-09
COQ4,Skin,-0.9600662,1.09e-06
CPED1,Skin,-0.7352305,0.0119
CPNE4,Skin,0.75109361,6.25e-05
CPS1-IT1,Skin,-1.257624,0.0102
CRLF2,Skin,-1.6273127,0.00857
CYP4F8,Skin,-1.4,0.046161
CYP8B1,Skin,-0.59998598,5.94e-08
DAB1,Skin,-0.69344,0.0276
DCT,Skin,0.59768269,4.26e-06
DDX51,Skin,-2.7612876,5.22e-05
DUXAP9,Skin,-0.98568785,6.38e-05
ECEL1,Skin,-1.66695069,1.45e-09
EDAR,Skin,-0.6443736,0.00489
ELANE,Skin,1.42010813,1.16e-12
ELN-AS1,Skin,-0.9959526,5.57e-09
ENO1,Skin,-0.6894298,0.000437
EPCIP,Skin,-1.4621751,0.0337
EPGN,Skin,-1.24193936,2.11e-05
ESRG,Skin,0.80732486,1.46e-05
FAM132A,Skin,-1.44,0.021178
FAM180B,Skin,0.65811872,0.000113
FAM225A,Skin,-0.97635295,1.11e-17
FASLG,Skin,-0.64915582,0.0034
FLAD1,Skin,-0.8900819,3.24e-05
FRG2DP,Skin,0.84262388,0.00405
FUT2,Skin,-0.7108376,1.89e-05
FUT7,Skin,-0.8249151,0.0158
FXYD7,Skin,0.6001209,0.000113
FZD4,Skin,-0.7932003,1.38e-17
GDPD4,Skin,-0.66444594,0.000253
GLYR1,Skin,-1.0322038,7.18e-05
GMEB1,Skin,0.7533484,0.000354
GPR15,Skin,-1.3825853,0.000962
GPR173,Skin,-1.1880031,0.0168
GPR32,Skin,-1.8067558,0.00943
GRAPL,Skin,-0.61552615,1.47e-06
GSE1,Skin,-0.817,0.022045
GSK3B,Skin,0.6538877,3.28e-05
GSTT4,Skin,-1.4231539,0.0151
GTF3C5,Skin,-1.1651029,3.21e-06
H1-8,Skin,-0.68681837,1.45e-07
HAND1,Skin,-0.8350135,0.0157
HBG2,Skin,-0.958361,0.0208
HCG9,Skin,-1.0290343,0.0253
HLCS,Skin,-0.7312527,0.00572
HOMER2,Skin,-0.7138228,0.00102
HOTS,Skin,-1.6479279,8.72e-17
HSD11B1-AS1,Skin,-0.79000501,0.000204
HYAL4,Skin,0.67439635,0.00135
IFITM4P,Skin,1.79,0.0009
IFT140,Skin,-0.7622654,0.00973
IGHE,Skin,-1.2492531,0.0288
IGHV4-31,Skin,1.1603618,0.0318
IGSF21-AS1,Skin,-1.37868628,9.48e-11
IGSF5,Skin,0.60440498,0.00121
IL12A-AS1,Skin,1.26947455,0.00184
IL21R-AS1,Skin,-0.75213591,3.95e-05
IL22,Skin,-1.3493633,0.0143
ILDR2,Skin,-1.0190797,2.45e-06
INS-IGF2,Skin,-1.7789545,2.39e-23
IRAK1,Skin,0.6106393,2.67e-06
ISL1-DT,Skin,0.64152556,0.000259
