gene,tissue,matrisome_division,matrisome_category,logFC,adj_p_value
ADAM22,Kidney,Matrisome-associated,ECM Regulators,-1.0331186,0.000353
ADAMTS19,Kidney,Matrisome-associated,ECM Regulators,-0.7316973,0.0171
AMH,Kidney,Matrisome-associated,Secreted Factors,0.9327284,0.00248
ANXA11,Kidney,Matrisome-associated,ECM-affiliated Proteins,0.7679176,0.00218
ANXA6,Kidney,Matrisome-associated,ECM-affiliated Proteins,-2.2082501,5.17e-06
ASTL,Kidney,Matrisome-associated,ECM Regulators,-0.8442875,0.000133
BGLAP,Kidney,Core matrisome,ECM Glycoproteins,0.8025702,0.00479
CBLN1,Kidney,Matrisome-associated,Secreted Factors,1.535571,0.000664
CDCP2,Kidney,Core matrisome,ECM Glycoproteins,1.494223,0.00164
CELA3B,Kidney,Matrisome-associated,ECM Regulators,-7.0776287,1.05e-18
CLEC2L,Kidney,Matrisome-associated,ECM-affiliated Proteins,-1.7575112,0.00335
CLEC3A,Kidney,Matrisome-associated,ECM-affiliated Proteins,-1.3801266,0.00268
CNTF,Kidney,Matrisome-associated,Secreted Factors,1.4952826,0.00298
COL21A1,Kidney,Core matrisome,Collagens,1.06458748,8.31e-05
CSH1,Kidney,Matrisome-associated,Secreted Factors,-0.6553755,0.01902018
CST8,Kidney,Matrisome-associated,ECM Regulators,-1.6882453,0.00138
CST9,Kidney,Matrisome-associated,ECM Regulators,-0.8984909,0.0457
CSTA,Kidney,Matrisome-associated,ECM Regulators,1.46259599,7.88e-05
CTSO,Kidney,Matrisome-associated,ECM Regulators,1.5198699,0.00011
CTSV,Kidney,Matrisome-associated,ECM Regulators,-1.8258622,1.89e-05
CXCL5,Kidney,Matrisome-associated,Secreted Factors,0.9884445,3.17e-06
DMP1,Kidney,Core matrisome,ECM Glycoproteins,1.4720099,0.00189
EDIL3,Kidney,Core matrisome,ECM Glycoproteins,1.2465307,0.0129
ELSPBP1,Kidney,Core matrisome,ECM Glycoproteins,-1.5062797,0.00162
EYS,Kidney,Core matrisome,ECM Glycoproteins,-1.5133547,0.000852
F13B,Kidney,Matrisome-associated,ECM Regulators,-1.5020978,0.00376
F9,Kidney,Matrisome-associated,ECM Regulators,-1.5220111,0.000959
FAM20B,Kidney,Matrisome-associated,ECM Regulators,-0.59237583,0.002
FGB,Kidney,Core matrisome,ECM Glycoproteins,-4.2254272,0.00218
FGF16,Kidney,Matrisome-associated,Secreted Factors,2.1670587,0.0163
FGF19,Kidney,Matrisome-associated,Secreted Factors,1.5116256,0.000746
FGF22,Kidney,Matrisome-associated,Secreted Factors,1.3906788,0.00531
FGFBP3,Kidney,Matrisome-associated,Secreted Factors,-0.6140293,0.0111
FLG,Kidney,Matrisome-associated,Secreted Factors,1.4534432,0.000904
FNDC8,Kidney,Core matrisome,ECM Glycoproteins,1.111399,0.0153
HABP2,Kidney,Matrisome-associated,ECM Regulators,-1.7043396,0.0333
HAPLN4,Kidney,Core matrisome,Proteoglycans,-1.2606321,0.0031
HTRA1,Kidney,Matrisome-associated,ECM Regulators,-1.14012,1.31e-07
IFNA21,Kidney,Matrisome-associated,Secreted Factors,0.909032,0.0487
IFNA6,Kidney,Matrisome-associated,Secreted Factors,-1.4481725,0.00433
IFNW1,Kidney,Matrisome-associated,Secreted Factors,1.3954639,0.00359
IL12B,Kidney,Matrisome-associated,Secreted Factors,1.4075891,0.00332
IL2,Kidney,Matrisome-associated,Secreted Factors,1.6473628,0.00175
IL20,Kidney,Matrisome-associated,Secreted Factors,-1.494318,0.00389
IL5,Kidney,Matrisome-associated,Secreted Factors,1.2239345,0.0185
IL7,Kidney,Matrisome-associated,Secreted Factors,-1.73564,1.38e-07
INHA,Kidney,Matrisome-associated,Secreted Factors,-0.790467,0.0214
INS,Kidney,Matrisome-associated,Secreted Factors,-1.2017686,0.000323
ITIH4,Kidney,Matrisome-associated,ECM Regulators,-2.2830145,6.76e-06
KNG1,Kidney,Matrisome-associated,ECM Regulators,-0.7213991,0.0343
LAMC1,Kidney,Core matrisome,ECM Glycoproteins,0.66343153,5.49e-07
LGALS16,Kidney,Matrisome-associated,ECM-affiliated Proteins,1.5885599,0.000794
LGALS9C,Kidney,Matrisome-associated,ECM-affiliated Proteins,-1.1813519,0.00514
MEP1A,Kidney,Matrisome-associated,ECM Regulators,-1.4410157,0.00103
MEP1B,Kidney,Matrisome-associated,ECM Regulators,-1.6177877,0.00137
MFAP5,Kidney,Core matrisome,ECM Glycoproteins,-3.1591953,6.45e-05
MMP26,Kidney,Matrisome-associated,ECM Regulators,1.1469971,0.0122
MUC12,Kidney,Matrisome-associated,ECM-affiliated Proteins,-1.3094854,0.0379
MUC22,Kidney,Matrisome-associated,ECM-affiliated Proteins,-1.8860922,0.000523
MUC5AC,Kidney,Matrisome-associated,ECM-affiliated Proteins,1.9465744,8.58e-07
NODAL,Kidney,Matrisome-associated,Secreted Factors,-1.3800765,0.00591
P4HA1,Kidney,Matrisome-associated,ECM Regulators,-1.147213,4.73e-06
PLXNB2,Kidney,Matrisome-associated,ECM-affiliated Proteins,0.5871283,0.0017
PODNL1,Kidney,Core matrisome,Proteoglycans,-1.4231873,0.00366
REG1B,Kidney,Matrisome-associated,ECM-affiliated Proteins,6.0743994,1.24e-15
REG4,Kidney,Matrisome-associated,ECM-affiliated Proteins,1.3291124,0.00405
RPTN,Kidney,Matrisome-associated,Secreted Factors,1.5624063,0.00114
