gene,tissue,logFC,adj_p_value
AATK,Kidney,2.5127151,1.54e-05
ABCC10,Kidney,0.7418474,0.000587
ABCC12,Kidney,-1.4709667,0.000999
ABCC3,Kidney,0.79676076,0.00116
ABHD14A///ACY1,Kidney,-1.272544,0.00589436
ABHD17C,Kidney,-1.0318567,0.0082
ABHD3,Kidney,-0.7279994,0.0267
ABHD5,Kidney,-0.8059702,0.00706
ABLIM1,Kidney,-0.8342221,0.0016
ABRACL,Kidney,-0.9618629,0.039
ABT1,Kidney,-0.8019363,0.000102
ABTB1,Kidney,1.0476519,0.0134
ACAD10,Kidney,1.5150815,0.00723
ACAD9,Kidney,1.1904932,0.00136
ACD,Kidney,0.968,0.00425
ACOX3,Kidney,-1.184066,3.26e-05
ACP6,Kidney,1.1678811,0.00186
ACTA2-AS1,Kidney,-1.6378511,0.00113
ACTG1///ACTB,Kidney,1.3103962,0.0054526
ACTG1P25,Kidney,1.4836135,0.0233
ACTL8,Kidney,-1.4482919,0.00577
ACTN1,Kidney,1.309376,1.22e-06
ACTN2,Kidney,-0.7214519,0.00681139
ACTR1A,Kidney,-1.0155236,5.56e-05
ACTR1B,Kidney,0.8551204,0.0091
ACTR3C,Kidney,-0.5950754,0.00948
ACTR5,Kidney,0.9561991,0.00019
ACTRT1,Kidney,-1.5313163,0.000915
ACTRT3,Kidney,-0.7298908,0.00225
ACYP2,Kidney,-0.8605252,7.73e-05
ADAD1,Kidney,-1.2729848,0.0148
ADAM22,Kidney,-1.0331186,0.000353
ADAM23,Kidney,-1.0833145,0.0123
ADAM5,Kidney,-1.5577333,0.000824
ADAMTS13,Kidney,0.6942893,0.00433
ADAMTS19,Kidney,-0.7316973,0.0171
ADAMTS9-AS2,Kidney,-1.8,0.00438
ADARB1,Kidney,-1.5076427,0.00066
ADCK1,Kidney,0.7310103,0.0316
ADCY3,Kidney,0.59288404,7.36e-05
ADCY6,Kidney,1.798596,2.69e-07
ADGRA1,Kidney,-1.5452201,0.00125
ADGRE4P,Kidney,-1.4846694,0.00166
ADGRF5-AS1,Kidney,-1.7005617,2.24e-06
ADGRG7,Kidney,-1.3184649,0.00285
ADIG,Kidney,-1.4669003,0.00121
ADNP2,Kidney,-0.9784411,0.000291
ADO,Kidney,-0.6483127,0.000844
ADPGK,Kidney,0.66415,0.000724
ADPRS,Kidney,0.5875138,0.0282
ADSSL1,Kidney,1.2571179,0.0164
AFAP1,Kidney,-1.4583885,4.13e-06
AFAP1-AS1,Kidney,-1.2435834,0.00541
AFDN-AS1,Kidney,-0.7908453,0.00976253
AGAP2-AS1,Kidney,-0.8680468,0.0374
AGBL3,Kidney,-0.7809933,0.00143
AGMAT,Kidney,-0.6420286,0.00917
AGO4,Kidney,-1.1208867,7.66e-06
AGRN,Kidney,-0.8341682,0.00615582
AHDC1,Kidney,-1.4464358,0.00168
AIDA,Kidney,-1.2718009,3.38e-06
AIG1,Kidney,-0.725,0.0174
AK3,Kidney,-0.7275344,0.000666
AK5,Kidney,-1.6498446,0.00046
AKAP3,Kidney,-0.7118008,0.00089976
AKAP5,Kidney,-1.0670496,0.0166
AKAP8L,Kidney,2.3468343,1.31e-06
AKIRIN2,Kidney,0.5867203,0.00255
AKNAD1,Kidney,-1.4014936,0.00782
AKR1C4,Kidney,-1.6219425,0.00137
AKR1C6P,Kidney,-1.5543756,0.000903
ALB,Kidney,-2.38802749,0.00108
ALDH1L1-AS1,Kidney,-0.933,0.0121
ALDH1L1-AS2,Kidney,-1.2617086,0.00333
ALG10,Kidney,-1.1003491,1.45e-05
ALG14,Kidney,-0.7061539,0.0298
ALKBH2,Kidney,1.020702,0.0214
ALKBH3,Kidney,0.6245321,0.013
ALKBH4,Kidney,0.773,0.0317
ALMS1-IT1,Kidney,-0.7124972,0.0225
ALOX12,Kidney,-1.2598486,0.00976
ALOX12P2,Kidney,2.4681616,9.95e-07
AMH,Kidney,-0.9327284,0.00248
AMPD2,Kidney,1.0156211,0.00279
AMY1C,Kidney,3.0166286,3.85e-06
ANAPC16,Kidney,-0.9281145,0.000148
ANHX,Kidney,-1.7038773,0.00254
ANKDD1A,Kidney,-0.9878005,0.0363
ANKLE2,Kidney,-0.6742752,0.000249
ANKMY1,Kidney,1.5008,3.11e-05
ANKRD18A,Kidney,1.1723776,8.74e-05
ANKRD18DP,Kidney,-1.8563791,0.000459
ANKRD19P,Kidney,-1.3059765,0.00326
ANKRD20A11P,Kidney,1.6801663,3.24e-07
ANKRD20A12P,Kidney,-1.2470904,0.0143
ANKRD30B,Kidney,-1.3662585,0.00315
ANKRD31,Kidney,-1.4193151,0.00756
ANKRD33,Kidney,-0.6372978,0.0141
ANKRD34B,Kidney,-1.3519637,0.0048
ANKRD34C-AS1,Kidney,-1.367425,0.00591
ANKRD44-IT1,Kidney,-1.33,0.018
ANKRD55,Kidney,-1.565425,0.00124
ANKS1B,Kidney,-1.95445145,9.77e-08
ANKS4B,Kidney,-2.04,0.00272
ANKUB1,Kidney,-1.4412916,0.000989
ANP32D,Kidney,1.5873594,0.000851
ANXA6,Kidney,2.2082501,5.17e-06
AP1S2P2,Kidney,-0.7508704,0.0477
AP1S3,Kidney,-1.1402806,0.0133
AP2A2,Kidney,1.178728,0.000936
AP3S1,Kidney,-1.0809326,4.45e-06
AP3S2,Kidney,-0.8977926,0.000562
AP4S1,Kidney,-0.9053816,0.000659
APC2,Kidney,-1.1302606,1.21e-05
APITD1-CORT///APITD1,Kidney,-0.9562885,0.02084366
APMAP,Kidney,1.3207101,0.00185
APOBEC1,Kidney,-1.555683,0.000769
APOC3,Kidney,-1.4817586,0.00211
APOC4-APOC2///APOC4///APOC2,Kidney,-0.764427,0.01377708
APOH,Kidney,-1.4610507,0.00318
APOM,Kidney,-0.6792507,0.0089
APOOL,Kidney,-0.8990383,0.00117
AQP12A,Kidney,-1.3750811,0.00533
AQP4-AS1,Kidney,-1.3549415,0.0148
ARGLU1-DT,Kidney,-0.7569902,0.0192
ARHGAP19,Kidney,-0.7602124,0.00295
ARHGAP26,Kidney,-1.1133878,1.02e-05
ARHGAP26-IT1,Kidney,-1.2,0.0276
ARHGAP29,Kidney,-1.112869,0.00144
ARHGEF38-IT1,Kidney,-0.6722551,0.00961
ARID1B,Kidney,-0.5932743,0.0021
ARID3A,Kidney,0.5862539,0.0164
ARID3B,Kidney,-0.6838745,0.00352247
ARIH2,Kidney,1.5593152,4.21e-05
ARL14,Kidney,-1.5276116,0.00224
ARL17B///ARL17A,Kidney,-0.9173689,0.0456
ARL3,Kidney,-0.6565792,0.00412
ARL8B,Kidney,-1.1076382,8.98e-06
ARNT2,Kidney,-0.9329476,0.0111
ARPC3,Kidney,-0.9595362,6.1e-06
ARPC4-TTLL3,Kidney,1.9875641,5.27e-07
ARPC4-TTLL3///TTLL3///ARPC4,Kidney,-0.8384907,0.00031899
ARRDC5,Kidney,-1.5851462,0.00942
ARSJ,Kidney,-1.4253923,2.65e-05
AS3MT,Kidney,1.0222168,0.0344
ASAP1-IT1,Kidney,1.3583826,0.00104
ASAP1-IT2,Kidney,1.7193687,0.000314
ASCL1,Kidney,1.0882276,0.0179
ASIC3,Kidney,1.4223149,0.00226
ASIC5,Kidney,-0.9444661,0.0325
ASMTL-AS1,Kidney,2.5239827,7.96e-13
ASTL,Kidney,-0.8442875,0.000133
ASXL1,Kidney,0.8543799,0.000967
ASXL2,Kidney,-0.8970451,0.000881
ASZ1,Kidney,-1.1835541,0.0151
ATF6,Kidney,-1.0362091,1.12e-05
ATF7,Kidney,-0.7717916,0.000117
ATG10,Kidney,-0.6155086,0.0051
ATG12,Kidney,1.2914178,0.0146097
ATOX1,Kidney,-0.9818237,0.00429
ATP1A2,Kidney,1.5698354,0.0018
ATP2C2,Kidney,-0.7620021,0.00402333
ATP5E,Kidney,-0.9418981,0.000114
ATP5H,Kidney,-0.9877153,9.36e-05
ATP5O,Kidney,-0.6377003,0.00547
ATP5SL,Kidney,1.1138472,0.00973
ATP6V1G3,Kidney,-2.08,0.00183
ATP9A,Kidney,-1.0323587,0.00329
ATP9B,Kidney,-0.6192492,0.0281
ATXN3L,Kidney,-1.6492833,0.00155
AUNIP,Kidney,-1.2940968,0.0103
AURKB,Kidney,-1.7978847,0.000958
