gene,tissue,matrisome_division,matrisome_category,logFC,adj_p_value
A2ML1,Liver,Matrisome-associated,ECM Regulators,-2.618697,3.31e-07
ADAM33,Liver,Matrisome-associated,ECM Regulators,1.033704,2.14e-05
ADAM8,Liver,Matrisome-associated,ECM Regulators,-0.68,0.00014
ADAMTS10,Liver,Matrisome-associated,ECM Regulators,-1.09,9.71e-10
ADAMTS7,Liver,Matrisome-associated,ECM Regulators,-0.873,9.88e-05
AGT,Liver,Matrisome-associated,ECM Regulators,3.906797,5.81e-09
AMBN,Liver,Core matrisome,ECM Glycoproteins,-0.714566,0.000331
ANGPT4,Liver,Matrisome-associated,Secreted Factors,-3.97411,1.76e-06
ANXA13,Liver,Matrisome-associated,ECM-affiliated Proteins,1.36,2.02e-11
ANXA8,Liver,Matrisome-associated,ECM-affiliated Proteins,-0.71232,0.00428
ANXA8L1,Liver,Matrisome-associated,ECM-affiliated Proteins,-3.209573,0.000399
ANXA9,Liver,Matrisome-associated,ECM-affiliated Proteins,2.759984,2.34e-13
ARTN,Liver,Matrisome-associated,Secreted Factors,-1.988802,1.98e-07
BMP15,Liver,Matrisome-associated,Secreted Factors,-2.917048,5.77e-09
BSPH1,Liver,Core matrisome,ECM Glycoproteins,1.000583,3.43e-05
C1QL4,Liver,Matrisome-associated,ECM-affiliated Proteins,-2.99964,0.000365
C1QTNF4,Liver,Matrisome-associated,ECM-affiliated Proteins,-1.735039,0.0272
C1QTNF8,Liver,Matrisome-associated,ECM-affiliated Proteins,-3.39983,1.96e-08
C1QTNF9B,Liver,Matrisome-associated,Secreted Factors,-3.182507,3.08e-06
CBLN2,Liver,Matrisome-associated,Secreted Factors,0.749,0.0414
CCL15,Liver,Matrisome-associated,Secreted Factors,0.976661,0.0064
CCL17,Liver,Matrisome-associated,Secreted Factors,-0.682819,0.0027
CCL7,Liver,Matrisome-associated,Secreted Factors,-2.026086,0.000189
CCN6,Liver,Core matrisome,ECM Glycoproteins,-2.913824,3.39e-06
CFC1,Liver,Matrisome-associated,Secreted Factors,0.650446,0.00226
CLEC18B,Liver,Matrisome-associated,ECM-affiliated Proteins,-2.771205,0.00012
CLEC4F,Liver,Matrisome-associated,ECM-affiliated Proteins,-3.00083,2.34e-05
COL18A1,Liver,Core matrisome,Collagens,-0.787,0.000286
COL20A1,Liver,Core matrisome,Collagens,-2.150436,0.000327
COL23A1,Liver,Core matrisome,Collagens,1.743492,7.71e-09
COL28A1,Liver,Core matrisome,Collagens,0.907,5.05e-06
COL9A1,Liver,Core matrisome,Collagens,0.754303,0.00295
COL9A2,Liver,Core matrisome,Collagens,-1.01,0.000243
CRELD2,Liver,Core matrisome,ECM Glycoproteins,-1.27,1.43e-11
CRHBP,Liver,Matrisome-associated,Secreted Factors,1.683332,8.89e-08
CRNN,Liver,Matrisome-associated,Secreted Factors,-1.108102,0.00571
CSH2,Liver,Matrisome-associated,Secreted Factors,0.699758,0.000366
CSHL1,Liver,Matrisome-associated,Secreted Factors,1.09962,1.99e-05
CST2,Liver,Matrisome-associated,ECM Regulators,-3.113885,2.38e-06
DHH,Liver,Matrisome-associated,Secreted Factors,1.952425,7.56e-11
EGFL7,Liver,Matrisome-associated,Secreted Factors,1.337483,2.01e-05
EGFLAM,Liver,Core matrisome,ECM Glycoproteins,-2.073368,5.34e-06
ELFN2,Liver,Matrisome-associated,ECM-affiliated Proteins,-4.467915,9.08e-07
EMILIN3,Liver,Core matrisome,ECM Glycoproteins,-3.013404,4.62e-07
F2,Liver,Matrisome-associated,ECM Regulators,-0.817,1.5e-08
FAM20A,Liver,Matrisome-associated,ECM Regulators,1.209657,0.016
FGF17,Liver,Matrisome-associated,Secreted Factors,-0.718,0.00129
FGF21,Liver,Matrisome-associated,Secreted Factors,2.17264,3.97e-09
FGF8,Liver,Matrisome-associated,Secreted Factors,-1.865019,6.88e-05
FGL1,Liver,Core matrisome,ECM Glycoproteins,3.077618,1.59e-08
FREM2,Liver,Matrisome-associated,ECM-affiliated Proteins,-0.974785,0.0123
FST,Liver,Matrisome-associated,Secreted Factors,-1.493792,0.0106
GDF1,Liver,Matrisome-associated,Secreted Factors,0.608433,0.0115
GDF2,Liver,Matrisome-associated,Secreted Factors,0.840384,0.000259
GDF3,Liver,Matrisome-associated,Secreted Factors,-4.02591,8.13e-07
GPC6,Liver,Matrisome-associated,ECM-affiliated Proteins,2.352967,2.27e-12
HGFAC,Liver,Matrisome-associated,Secreted Factors,-0.911,0.000332
HMSD,Liver,Matrisome-associated,ECM Regulators,1.41944,1.05e-07
HSPG2,Liver,Core matrisome,Proteoglycans,3.537156,2.06e-08
IFNA1,Liver,Matrisome-associated,Secreted Factors,0.667123,0.00693
IFNA5,Liver,Matrisome-associated,Secreted Factors,-0.817552,0.000901
