gene,tissue,logFC,adj_p_value
---,Liver,-0.7987467,0.01529
A1BG,Liver,-0.8073502,0.000115
A2ML1,Liver,-2.618697,3.31e-07
A2MP1,Liver,-0.908,5.78e-05
A3GALT2,Liver,-1.503876,0.00341
A4GALT,Liver,-0.8600381,0.000805
AADACP1,Liver,0.601,0.00157
AAMP,Liver,1.681254,1.41e-09
ABAT,Liver,2.629526,9.25e-08
ABCA7,Liver,-1.0780276,2.39e-08
ABCB10,Liver,0.609178,0.0484
ABCB9,Liver,-1.226652,0.0102
ABCC1,Liver,-0.688,1.87e-09
ABCC6P1,Liver,1.520569,1.85e-08
ABCC6P2,Liver,1.340087,2.64e-09
ABCD4,Liver,0.687371,0.00172
ABCG2,Liver,2.216052,4.37e-07
ABCG4,Liver,-1.478006,7.49e-05
ABCG5,Liver,0.72189,0.0355
ABHD1,Liver,0.792448,0.00197
ABHD2,Liver,2.740761,8.96e-12
ABHD6,Liver,0.643625,0.0128
ABL2,Liver,-1.42242,0.000267
ABLIM2,Liver,-0.634,6.07e-05
ABR-AS1,Liver,-0.6319013,0.00434
ABRAXAS1,Liver,-2.801085,2.78e-09
ABTB2,Liver,1.402297,0.000606
ACACA,Liver,-3.033092,2.92e-06
ACACB,Liver,0.70700011,0.0250387
ACADVL,Liver,3.695598,1.58e-12
ACAT1,Liver,1.1686,0.0273
ACBD4,Liver,1.671728,5.71e-06
ACCSL,Liver,-3.550315,8.13e-07
ACHE,Liver,-1.77,1.58e-06
ACIN1,Liver,2.361361,9.02e-09
ACKR3,Liver,-1.77,2.15e-08
ACOT4,Liver,1.056987,0.00356
ACOT6,Liver,-2.054168,9.11e-08
ACP4,Liver,1.512793,9.93e-08
ACP7,Liver,-0.766785,0.00141
ACR,Liver,1.573047,5.56e-05
ACSBG1,Liver,-2.562969,3.47e-07
ACSBG2,Liver,-1.365366,3.69e-06
ACSL5,Liver,1.486793,1.8e-05
ACSM2B,Liver,4.09261,3.39e-14
ACTC1,Liver,-0.597835,0.0233
ACTL10,Liver,-1.03262,0.00125
ACTN2,Liver,-0.604464,0.0166
ACTR10,Liver,1.775516,3.65e-08
ACTR2P2,Liver,0.816246,7.31e-05
ACTRT2,Liver,-3.882021,3.34e-06
ACVR1B,Liver,1.648733,2.1e-07
ACYP1,Liver,1.006121,4.23e-05
ADAM11,Liver,-3.025205,2.29e-06
ADAM21P1,Liver,-3.455075,1.85e-07
ADAM33,Liver,1.033704,2.14e-05
ADAM8,Liver,-0.840222,8.17e-06
ADAMTS10,Liver,-1.09,9.71e-10
ADAMTS7,Liver,-1.0410592,5.11e-06
ADAR,Liver,2.348457,1.18e-09
ADCY7,Liver,-0.635,1.35e-09
ADGRB3-DT,Liver,0.6840142,0.0495
ADGRF2P,Liver,-1.00222,0.000764
ADGRF3,Liver,1.143397,1.18e-05
ADH1A,Liver,1.183315,0.0141
ADH4,Liver,4.841773,3.09e-11
ADH5,Liver,1.098925,5.04e-06
ADM5,Liver,-0.8770967,0.000481
ADORA1,Liver,1.142755,8.09e-05
ADPRHL1,Liver,-1.758435,0.000374
ADRA1B,Liver,-0.992184,0.00364
ADRB3,Liver,-2.534755,2.96e-05
ADSS1,Liver,2.218896,0.000206
AEN,Liver,-1.01,1.71e-07
AFG2A,Liver,1.336894,5.29e-06
AGAP7P,Liver,0.750906,0.0014
AGO3,Liver,1.889509,3.67e-07
AGPAT2,Liver,2.104712,1.1e-09
AGPAT4,Liver,-1.311103,0.000191
AGRN,Liver,-1.0782746,1.31e-06
AGT,Liver,3.906797,5.81e-09
AGTRAP,Liver,-0.6575615,0.00094
AHRR,Liver,-2.381857,6.63e-05
AIP,Liver,-0.6577596,0.000601
AIRE,Liver,-1.348552,9.62e-08
AJM1,Liver,-1.186763,0.0273
AK6,Liver,1.813456,2.45e-10
AKAIN1,Liver,0.725,0.015
AKAP17A,Liver,2.927443,2.53e-10
AKAP8,Liver,-0.71472,0.0296
ALAD,Liver,2.420265,1.2e-10
ALAS1,Liver,1.100504,2.47e-06
ALDH16A1,Liver,1.981757,8.32e-05
ALDH1A2,Liver,-2.931414,5.36e-08
ALDH1A2-AS1,Liver,0.5896993,0.0265
ALKBH6,Liver,1.008104,7.47e-06
ALOX12B,Liver,-2.062628,0.0225
ALOX15P1,Liver,-0.6123016,0.0194
ALPI,Liver,-0.688516,0.00978
ALX1,Liver,-2.164412,6.66e-05
ALX3,Liver,-2.281075,1.41e-08
ALX4,Liver,-2.63736,6.71e-05
AMACR,Liver,2.731351,9.44e-12
AMBN,Liver,-0.714566,0.000331
AMDHD1,Liver,2.019422,0.000264
AMER1,Liver,1.380179,1.66e-05
AMHR2,Liver,-2.313685,5.7e-05
AMN,Liver,-0.7221183,0.000391
AMTN,Liver,-2.195111,6.34e-05
AMY2A,Liver,1.160639,3.52e-05
ANAPC1P2,Liver,-1.386505,2.56e-08
ANGPT4,Liver,-3.97411,1.76e-06
ANGPTL8,Liver,-0.9715417,0.00129
ANKFY1,Liver,1.884467,0.000496
ANKHD1-EIF4EBP3,Liver,-2.136457,2.64e-05
ANKK1,Liver,-1.12309,0.00122
ANKLE1,Liver,-1.058492,5.37e-07
ANKRD13A,Liver,-1.757936,7.21e-05
ANKRD13B,Liver,-0.6894946,0.00149
ANKRD20A20P,Liver,-1.227587,0.0049
ANKRD26P1,Liver,0.878126,1.84e-05
ANKRD27,Liver,0.649351,0.00106
ANKRD35,Liver,1.110849,2.05e-05
ANKRD37,Liver,-2.099845,0.00451
ANKRD53,Liver,1.026981,4.5e-06
ANKRD7,Liver,-0.925286,1.48e-05
ANO7,Liver,-1.411749,0.000531
ANO8,Liver,-0.770467,1.02e-05
ANP32B,Liver,-1.757552,2.31e-06
ANP32CP,Liver,-0.996841,0.000657
ANXA13,Liver,-0.65170124,0.0020888
ANXA2P2,Liver,-1.16,2.62e-07
ANXA2R,Liver,-0.8313285,1.5e-06
ANXA8,Liver,-0.71232,0.00428
ANXA8 /// ANXA8L1 /// ANXA8L2,Liver,-1.1146215,0.01959
ANXA8L1,Liver,-3.209573,0.000399
ANXA9,Liver,2.759984,2.34e-13
AOPEP,Liver,2.13741,1.28e-05
AOX3P-AOX2P,Liver,0.7614168,0.000117
APBA1,Liver,2.514216,6.29e-12
APCS,Liver,1.764637,4.96e-05
APEH,Liver,-1.460621,0.00446
APOA1-AS,Liver,-0.6595628,0.000169
APOA2,Liver,1.276976,9.32e-05
APOBEC3F,Liver,-0.99415,0.00217
APOBEC3H,Liver,-3.472899,1.07e-09
APOC4,Liver,1.872453,4.23e-05
APOL3,Liver,1.000703,0.000244
APOL5,Liver,-0.705993,0.0058
APOLTP,Liver,0.809547,0.000304
APTX,Liver,-1.787031,0.000341
AQP10,Liver,-1.869651,0.00331
AQP6,Liver,-1.361439,2.17e-05
AQP7P2,Liver,1.671916,1.07e-07
ARFIP2,Liver,1.631326,4.19e-09
ARGFX,Liver,-1.014672,3.68e-06
ARGFXP2,Liver,-1.368216,3.76e-06
ARHGAP27P1,Liver,-0.7007234,4.01e-05
ARHGAP28,Liver,-2.558644,4.81e-06
ARHGAP35,Liver,4.085889,2.05e-09
ARHGAP39,Liver,-0.5974326,0.000868
ARHGAP8,Liver,-2.952052,4.34e-09
ARHGDIB,Liver,-0.834,1.66e-08
ARHGDIG,Liver,-2.425636,6.42e-05
ARHGEF10L,Liver,1.985013,6.29e-08
ARHGEF19,Liver,-2.474809,7.46e-08
ARHGEF2,Liver,-0.619,5.32e-08
ARHGEF7,Liver,1.561712,2.59e-07
ARHGEF9,Liver,0.783064,0.000335
ARIH2OS,Liver,-2.32816,1.28e-06
ARK2N,Liver,1.011597,0.000566
ARL10,Liver,-2.273136,0.000315
ARL9,Liver,-1.531383,0.000387
ARLN,Liver,2.418386,1.31e-08
ARMC12,Liver,-1.17222,0.000111
ARMC6,Liver,2.048462,4.7e-08
ARMH3,Liver,-1.657393,0.000132
ARPC1A,Liver,1.907499,3.71e-06
ARPIN,Liver,-0.874536,0.00731
ARPP21,Liver,2.656792,0.000334
ARR3,Liver,-2.858304,4.18e-07
ARSD,Liver,2.963087,5.23e-12
ARSG,Liver,0.913819,0.00211
ARSH,Liver,-0.947503,0.000703
ARSI,Liver,-0.9650386,0.000124
ART3,Liver,-1.697998,5.59e-09
ART4,Liver,1.478231,2.02e-06
ARTN,Liver,-1.988802,1.98e-07
ASAH2,Liver,-1.650997,0.000148
ASAP3,Liver,-1.26627,0.0103
ASB18,Liver,-0.983828,0.0198
ASB2,Liver,1.122357,3.82e-06
ASB7,Liver,1.409983,2.1e-05
ASCC1,Liver,-1.426961,0.00329
ASCL2,Liver,1.196946,0.00504
ASGR1,Liver,-2.265103,3.1e-05
ASGR2,Liver,2.278145,1.55e-08
ASH2L,Liver,1.118514,8.29e-06
ASMT,Liver,-2.409411,4.86e-05
ASMTL,Liver,2.501011,5.63e-08
ASPDH,Liver,-0.5941426,0.00347
ASPG,Liver,-0.8798547,0.00021
ASPHD1,Liver,-1.758239,1.03e-05
ASPNAT,Liver,-1.687493,0.000168
ASPRV1,Liver,-1.55267,0.00332
ATAD3A,Liver,-0.822502,0.00052
ATF6-DT,Liver,0.666,0.000127
ATF7IP,Liver,0.864347,0.000112
ATOSA,Liver,2.106673,2.05e-12
ATP10A,Liver,-0.681,8.72e-05
ATP11AUN,Liver,-0.80141,0.000239
ATP13A1,Liver,-0.626083,0.000122
ATP2A1,Liver,-4.828643,1.32e-06
ATP2B2,Liver,1.756294,6.22e-06
ATP2C2,Liver,-1.47557,0.0049
ATP4B,Liver,-1.200661,0.00077
ATP5F1A,Liver,2.834039,4.33e-12
ATP5F1C,Liver,1.851375,2.95e-10
ATP5F1EP2,Liver,-3.081914,0.000435
ATP5MC2,Liver,2.656315,4.79e-12
ATP5MG,Liver,1.128602,1.2e-06
ATP5MJ,Liver,-1.477977,0.00295
ATP5MK,Liver,1.601158,0.0011
ATP5PB,Liver,0.895415,9.58e-05
ATP5PD,Liver,2.962931,2.09e-08
ATP5PO,Liver,2.156471,7.42e-13
ATP6,Liver,-0.752,0.000455
ATP6V0A1,Liver,-1.406595,0.0015
ATP6V0A2,Liver,-2.82815,2.4e-08
ATP6V0A4,Liver,-3.510408,3.67e-06
ATP6V1E1,Liver,-1.350272,1.51e-07
ATP6V1E2,Liver,-2.93658,0.000112
ATP6V1G2,Liver,-0.671274,0.0237
ATP7B,Liver,1.773242,3.65e-08
ATP8,Liver,-0.6671944,0.00354
ATP8B3,Liver,-0.7919904,5.06e-05
ATPSCKMT,Liver,1.042508,0.0007
ATRNL1,Liver,0.881399,0.000101
ATXN10,Liver,1.506822,5.93e-06
ATXN2,Liver,-1.630428,3.28e-10
ATXN8OS,Liver,-1.709748,0.000149
AUH,Liver,2.612177,1.01e-05
AURKA,Liver,-2.389865,0.000405
AURKAP1,Liver,1.195248,1.28e-05
